,ISO3,mean_MHC_child_weighted,mean_MHI_child_weighted,iso3,adm_name,u18_pop,color
78,AUT,2.384257129077101,5.01442699032704,AUT,Austria,1562150.0,blue
79,AZE,2.6998366558968416,6.374220203756253,AZE,Azerbaijan,2747051.0,green
80,BDI,3.254662899454686,5.232668535919424,BDI,Burundi,7250337.0,orange
81,BEL,2.3799731838097915,5.193186015481377,BEL,Belgium,2300201.0,blue
82,BEN,4.7152234126482,7.097984642211327,BEN,Benin,6896624.0,red
83,BFA,4.949674375945538,7.361140822106155,BFA,Burkina Faso,11453005.0,red
84,BGD,4.588205222127118,7.663505036918257,BGD,Bangladesh,58945360.0,red
85,BGR,2.4319412945787238,6.081812599005153,BGR,Bulgaria,1180648.0,green
86,BHR,2.481098237059564,2.7436140336399704,BHR,Bahrain,351170.0,blue
87,BHS,3.484733663187835,3.4973240314636733,BHS,Bahamas,89010.0,orange
88,BIH,2.6291400489479653,6.03897936735704,BIH,Bosnia and Herzegovina,515900.0,green
89,BLR,2.656245967302945,5.419907142612284,BLR,Belarus,1792218.0,blue
90,BLZ,3.273505918898349,5.783746285292191,BLZ,Belize,133344.0,red
91,BRB,2.8091348107528145,1.3882365457866217,BRB,Barbados,59725.0,blue
92,BRN,1.8493462821166928,3.573713770928253,BRN,Brunei Darussalam,114778.0,blue
93,BTN,1.6082403361154909,5.155104652104576,BTN,Bhutan,208367.0,blue
94,CHE,2.522092875305625,4.999618050663348,CHE,Switzerland,1593961.0,blue
95,COM,3.4763280698069123,1.6666867290467555,COM,Comoros,371458.0,orange
96,CPV,3.2806957981473355,3.602511691210383,CPV,Cape Verde,164769.0,orange
97,CRI,2.623719203085732,4.940989360537821,CRI,Costa Rica,1191440.0,blue
98,CUB,3.866813383984645,5.803582489534973,CUB,Cuba,2038205.0,red
99,CYP,2.6976294212954555,4.530415922986403,CYP,Cyprus,253507.0,blue
100,CZE,2.7071377819002187,4.988883696729408,CZE,Czechia,2026392.0,blue
101,DJI,3.0061090846515763,4.398879910300772,DJI,Djibouti,409779.0,blue
102,DMA,2.839983876654618,3.274669679031698,DMA,Dominica,14440.0,blue
103,DNK,2.1141099874777223,3.755774133482829,DNK,Denmark,1128654.0,blue
104,DOM,3.4372930278575664,5.021192088233715,DOM,Dominican Republic,3626138.0,orange
105,ECU,2.437668433476574,4.871521737446463,ECU,Ecuador,5412111.0,blue
106,ERI,4.515832627555479,6.022296804960496,ERI,Eritrea,1606584.0,red
107,EST,2.197056177405313,3.963483547453992,EST,Estonia,264506.0,blue
108,FJI,2.880849991934759,3.359446080567026,FJI,Fiji,294958.0,blue
109,FSM,2.9991551202336244,2.2744829613847264,FSM,Micronesia (Federated States of),33225.0,blue
110,GAB,3.073222595639403,4.391257540980632,GAB,Gabon,1061384.0,blue
111,GBR,2.260463824973212,4.583466222749789,GBR,United Kingdom of Great Britain & Northern Ireland,13876628.0,blue
112,GEO,2.022661216658826,5.691936138789947,GEO,Georgia,936650.0,green
113,GHA,4.421513949906783,6.785919147939592,GHA,Ghana,14402610.0,red
114,GIN,4.512831886828067,6.826718501787165,GIN,Guinea,6962287.0,red
115,GMB,4.566287033893824,6.236787549256297,GMB,Gambia,1289238.0,red
116,GNB,4.279875382648022,6.193511851542433,GNB,Guinea-Bissau,991856.0,red
117,GNQ,3.525487179734736,5.029281409884073,GNQ,Equatorial Guinea,808399.0,orange
118,GRC,2.200031655029945,5.092680304578062,GRC,Greece,1614945.0,blue
119,GTM,3.0009017946500927,5.534434303498375,GTM,Guatemala,6957738.0,blue
120,GUY,4.2260122332915495,4.82607176576698,GUY,Guyana,281357.0,orange
121,HND,3.8994839480311456,6.4568637667517095,HND,Honduras,3943859.0,red
122,HRV,2.6313699147856515,5.774377818214781,HRV,Croatia,663754.0,green
123,HTI,4.194275763157405,4.048077778532507,HTI,Haiti,4369564.0,orange
124,HUN,2.3857976797538134,6.227953803679045,HUN,Hungary,1702871.0,green
125,IRL,2.169025372592212,4.140116931907862,IRL,Ireland,1175298.0,blue
126,ISL,0.8134435511817083,2.539893760718078,ISL,Iceland,83771.0,blue
127,ISR,2.774747350982492,6.293199321236461,ISR,Israel,2536959.0,green
128,JAM,3.4944907347708485,4.357102342829316,JAM,Jamaica,670183.0,orange
129,JOR,3.4500932398796618,6.912857830537401,JOR,Jordan,4258512.0,red
130,KGZ,2.372476214580658,5.92180283064468,KGZ,Kyrgyzstan,2689821.0,green
131,KHM,6.217655412421111,8.041343283343325,KHM,Cambodia,6211093.0,red
132,KIR,2.1046465773840217,0.095206666254132,KIR,Kiribati,47860.0,blue
133,KNA,3.1826235314712834,2.5676955186082524,KNA,Saint Kitts and Nevis,10339.0,orange
134,KOR,2.369317349401273,5.568470469355543,KOR,Republic of Korea,6896494.0,blue
135,KWT,2.5811726522171226,4.547729564543128,KWT,Kuwait,1065070.0,blue
136,LAO,4.962692179764551,7.263802265834192,LAO,Lao People's Democratic Republic,2799987.0,red
137,LBN,1.735736907567217,4.367629305703327,LBN,Lebanon,1848616.0,blue
138,LBR,3.5171588514336687,5.304862540916659,LBR,Liberia,2595882.0,orange
139,LCA,2.9964605905907344,3.663075583086094,LCA,Saint Lucia,38966.0,blue
140,LKA,3.228833688902942,5.071695471115881,LKA,Sri Lanka,6180128.0,orange
141,LSO,2.8090718090194846,5.94496817409763,LSO,Lesotho,953829.0,green
142,LTU,2.5915623811993806,5.244104260941891,LTU,Lithuania,509386.0,blue
143,LUX,2.1042344266031088,4.382446266497409,LUX,Luxembourg,125867.0,blue
144,LVA,2.2964275869860464,4.739428105577322,LVA,Latvia,352447.0,blue
145,MDA,2.8635231845374824,6.671301562080551,MDA,Moldova,714906.0,green
146,MDV,2.291015078010798,0.0,MDV,Maldives,59350.0,blue
147,MHL,2.909828421984092,0.0443388788888541,MHL,Marshall Islands,14174.0,blue
148,MKD,2.888246618966955,6.50967662304217,MKD,North Macedonia,372435.0,green
149,MLT,2.121458323736525,3.1209300227665127,MLT,Malta,82027.0,blue
150,MNE,2.3737455275207715,5.604484232216077,MNE,Montenegro,138273.0,green
151,MUS,3.334162942652559,3.8399050680097737,MUS,Mauritius,241169.0,orange
152,MWI,3.6011485456995267,5.830035043918006,MWI,Malawi,10332558.0,red
153,NLD,2.7616889049247946,5.160767680998851,NLD,Netherlands,3317681.0,blue
154,NPL,2.5911431229398025,6.107826685694442,NPL,Nepal,10250381.0,green
155,NRU,1.934198225428327,0.0,NRU,Nauru,5060.0,blue
156,NZL,2.500287514768925,3.3377656307717416,NZL,New Zealand,1136543.0,blue
157,PAN,2.1615076061348377,5.003361632806642,PAN,Panama,1320562.0,blue
158,PHL,3.075681732897137,5.188991535202643,PHL,Philippines,38920921.0,blue
159,PRK,3.2192073142206903,5.479901169411466,PRK,Democratic People's Republic of Korea,5968304.0,orange
160,PRT,3.12892461497296,6.122894537659442,PRT,Portugal,1641414.0,red
161,QAT,2.455117675183143,6.144968762313057,QAT,Qatar,525151.0,green
162,ROU,2.788044503617159,6.060485475949159,ROU,Romania,3678231.0,green
163,RWA,3.5647697992395253,5.294716855545244,RWA,Rwanda,6267136.0,orange
164,SEN,3.9044854831898697,6.3115370666433925,SEN,Senegal,8270845.0,red
165,SGP,1.7198129425821982,3.597356552315856,SGP,Singapore,870561.0,blue
166,SLB,3.851968366881236,2.9169919992640776,SLB,Solomon Islands,347383.0,orange
167,SLE,4.63292024260171,6.599928202003366,SLE,Sierra Leone,3843554.0,red
168,SLV,3.0961797806095284,6.178069125055326,SLV,El Salvador,1913990.0,green
169,SRB,2.706515584148951,6.62441938445641,SRB,Serbia,1176151.0,green
170,STP,2.898839490919321,1.4176093204526088,STP,Sao Tome and Principe,104965.0,blue
171,SUR,3.9738414196501375,5.456195170841446,SUR,Suriname,195175.0,orange
172,SVK,2.591763082088395,5.323267334303536,SVK,Slovakia,1043143.0,blue
173,SVN,2.621546639674364,5.266896091861615,SVN,Slovenia,375674.0,blue
174,SWZ,2.740957229990122,6.507071451107757,SWZ,Eswatini,493250.0,green
175,SYC,2.041567325456217,2.054143263504891,SYC,Seychelles,30282.0,blue
176,SYR,3.946295982969758,7.518445202367233,SYR,Syrian Arab Republic,8929444.0,red
177,TGO,4.476842485148187,6.981063332942947,TGO,Togo,4352984.0,red
178,TJK,3.3074234132963336,6.896201196073352,TJK,Tajikistan,4387148.0,red
179,TLS,4.046880632720915,4.518015886064068,TLS,Timor-Leste,566005.0,orange
180,TON,2.2592566653257897,2.027584819511063,TON,Tonga,43787.0,blue
181,TTO,3.676294168402694,4.304738747870995,TTO,Trinidad and Tobago,325634.0,orange
182,TUN,3.206962797189345,5.640214962308365,TUN,Tunisia,3505062.0,red
183,TUV,2.65848946486961,0.0,TUV,Tuvalu,792.0,blue
184,UGA,3.9756659458622994,6.242359381811916,UGA,Uganda,25129259.0,red
185,URY,2.27206984543243,4.798040414971345,URY,Uruguay,767232.0,blue
186,VCT,3.528647215586892,2.4199966083153512,VCT,Saint Vincent and the Grenadines,27568.0,orange
187,VUT,3.554956163755995,2.236513856881829,VUT,Vanuatu,141923.0,orange
188,WSM,2.387118303741544,3.008898770572433,WSM,Samoa,85078.0,blue
189,AUS,0.0,0.0,AUS,Australia,5528342.0,blue
190,ESP,3.19174535208022,3.3885233832154835,ESP,Spain,7485991.0,orange
191,PRT,2.460379961865921,2.0579398014315684,PRT,Portugal,1641414.0,blue
192,PRT,2.8701160769867364,4.701062993601848,PRT,Portugal,1641414.0,blue
193,VEN,0.0,0.0,VEN,Venezuela,8674825.0,blue
