iso3,P1_geometric_avg,P2_arithmetic_avg,P1_P2_geometric_avg,rank_reverse
AFG,6.688369474599649,8.105275369207302,9.88592887598259,11.0
AGO,5.523996198166251,7.513540065216483,8.980121562757073,22.0
ALB,4.512588567161882,2.173053338838078,5.265834483133049,100.0
AND,10.0,5.062907088986337,9.646350987772157,12.0
ARE,7.240738951464725,5.218173494793762,8.680217749697102,26.0
ARG,1.5314567640269325,1.8578750782010915,3.2331892977254415,143.0
ARM,2.0995256159080498,1.7589768913219372,3.594797240297757,137.0
ATG,0.640331260686376,0.2035431064439587,0.6762517669352891,179.0
AUS,2.8059332015370493,0.2637112401611874,1.7930787441911404,156.0
AUT,0.44427742839961787,0.5594142925040207,1.0182448629756244,170.0
AZE,6.288105796888931,4.666945881245401,7.918528475185342,39.0
BDI,3.981136528941012,6.769811671585607,7.676063870107995,43.0
BEL,3.512221435387247,0.1461452026570657,1.501382918485396,163.0
BEN,4.133490016896064,7.733394315620825,8.169104139851425,33.0
BFA,6.887564954649021,8.52120883976741,10.0,10.0
BGD,5.546462551474421,3.933962656252492,7.103292213294261,52.0
BGR,0.444465176098651,2.278544408901064,2.07333190419073,152.0
BHR,2.172385873572373,4.267250970544331,5.154200713138901,101.0
BHS,3.0662530646837878,6.01256016844678,6.674445079093346,63.0
BIH,0.8782304751155485,3.549334366341676,3.3561708404450528,139.0
BLR,3.243539238172964,0.2538306793502635,1.8851328662809925,155.0
BLZ,4.301591898800685,3.66852115338223,6.299419189343092,73.0
BOL,6.18556260498131,3.359076965732106,6.976287294491895,55.0
BRA,3.708319081851462,2.1431805317899677,4.858985524288792,113.0
BRB,3.1278661777466583,3.997050162390016,5.77304856946806,87.0
BRN,0.9413508607438917,0.7790604457671465,1.7855151406399028,157.0
BTN,0.4962521184014984,6.038007127905233,3.302467037652083,141.0
BWA,3.8326872767109705,5.554260108636276,7.038974136010538,54.0
CAF,1.4670689831407315,9.54269912271758,6.023678813523168,82.0
CAN,1.744451961154588,0.2237669159143342,1.3051437478641923,167.0
CHE,1.8459252117416294,0.079319154115648,0.7325898351442214,177.0
CHL,3.336650646219558,1.8114389497385324,4.369912819214414,123.0
CHN,3.8374271554112585,3.661154274782811,6.031669373781117,81.0
CIV,2.062408620203502,6.503043974694978,5.92753209170941,85.0
CMR,4.504673347433089,6.471135158133183,7.899200255738911,40.0
COD,2.9790451527460386,7.519214323343674,7.172313964792313,49.0
COG,3.8980024955814208,4.740210065552222,6.6799863858668855,62.0
COL,4.046756548586228,3.6166250734405256,6.124682815987872,76.0
COM,5.576216608399584,5.665705331503735,8.134310652277984,35.0
CPV,6.60932833392356,3.2268725196001182,7.043814245838281,53.0
CRI,0.0,1.7954456498301985,0.0,188.5
CUB,3.14018466975479,4.280533372434967,5.932461456759318,84.0
CYP,2.6129236545273447,0.2389675632721347,1.6532331570203727,160.0
CZE,0.5203774638661852,3.5916741587300183,2.7127598197267555,147.0
DEU,1.4549879928752514,0.3912539753866225,1.5803578557300952,162.0
DJI,4.186521204877197,6.119784620162037,7.53504301308667,44.0
DMA,1.7224083968716124,6.9646268029865945,5.6837995208170495,89.0
DNK,1.7228910902382142,0.0793211780211419,0.698939925788973,178.0
DOM,2.3011423095331756,2.394257168707934,4.214324657937455,126.0
DZA,3.416129557519106,2.024236939907823,4.604804051706643,115.0
ECU,2.5717003467352035,4.540401880260129,5.626202123361773,91.0
EGY,6.359542841131884,2.869832343409747,6.649504710714733,65.0
ERI,4.913257477152118,8.988276467572645,9.183434536406118,20.0
ESP,4.91143375405156,2.2642628139504613,5.5234154519316165,93.0
EST,0.860515802655103,0.2502931879542427,0.9359136134813408,174.0
ETH,7.4196589849804395,8.878841677191367,10.0,6.0
FIN,0.0,0.1481087567898001,0.0,188.5
FJI,5.663199505182214,4.2971975068683,7.394207409430982,45.0
FRA,2.8838000785922566,0.1394779230550862,1.325761054998407,166.0
FSM,0.195671631950749,6.310029483900666,2.2660179777496037,150.0
GAB,2.9485027362408753,3.9841819262382816,5.639063406154762,90.0
GBR,2.154728442692579,0.1080039560702336,0.9799467558368902,172.0
GEO,2.2937749095558297,2.967380097969428,4.576644521781264,116.0
GHA,4.144342455560773,4.8850042128368125,6.909706358051371,59.0
GIN,5.894804533816635,8.428871026792505,9.581442921014531,13.0
GMB,6.118809170732833,5.503905946188752,8.325491537104801,30.0
GNB,3.079847272384563,6.602252757349639,6.9208867230352435,58.0
GNQ,2.6957956480552174,7.121368599145746,6.775298347144573,61.0
GRC,2.5020368173054455,2.1125601160863967,4.146190709732535,128.0
GRD,4.146820851945547,1.3417054917637052,4.230570706344108,124.0
GTM,3.29264208029651,5.52709231279146,6.642460543439458,66.0
GUY,5.5940926596877985,1.776074671187014,5.2921794064554595,98.0
HND,1.3894905408132818,4.607595902692473,4.469053956773125,119.0
HRV,1.8073039845462697,2.6799382388949167,4.0056914350353425,133.0
HTI,3.2261827434660204,6.431718141836792,6.972830373830716,56.0
HUN,2.747582695483673,0.1810619701095997,1.478041014454078,165.0
IDN,2.390346188295424,3.797448723053216,5.112971875752276,104.0
IND,3.4780812906213283,4.513775554607876,6.287309648659765,74.0
IRL,0.0,0.3917608952056979,0.0,188.5
IRN,3.6265025380763127,1.7232800558821997,4.42723055058024,122.0
IRQ,5.644130483256917,3.250731171648221,6.662551243858434,64.0
ISL,0.0,1.4822408892470702,0.0,188.5
ISR,0.8673410253757323,0.285341604029506,1.0157614383103637,171.0
ITA,2.854147278643741,0.1109017828666375,1.166551325740444,169.0
JAM,1.0365049436866838,2.862948731070329,3.2893954691235825,142.0
JOR,0.0,3.692646579240853,0.0,188.5
JPN,4.067152464964646,0.7376038871381325,3.3040768150499398,140.0
KAZ,4.386326775310549,1.999696386714144,5.046377187122452,105.0
KEN,2.718291101436007,5.235395251286218,6.060807220814929,77.0
KGZ,3.285702460692069,3.13319977521236,5.3641213316248235,96.0
KHM,6.171371564648723,5.626942364866132,8.418707398405637,28.0
KIR,9.618847565996802,4.887613064205014,9.39275500172231,16.0
KNA,2.5272575822264156,5.617399929040023,6.055266604209468,78.0
KOR,2.6692255633283986,2.5138000941536887,4.55133230065331,117.0
KWT,7.670324815086972,4.799060812996711,8.598571289901525,27.0
LAO,8.020588736994833,5.571476753057747,9.222622102486918,19.0
LBN,1.3458903322953237,4.078768802869818,4.208327145830569,127.0
LBR,2.9935739930601906,7.405545436428553,7.14498892165614,51.0
LBY,4.233376003017773,5.54882526623525,7.298780690414821,47.0
LCA,3.709970107882707,4.259776502360893,6.302865756403962,72.0
LIE,8.995019334415813,,,
LKA,2.3443903416843264,2.803079192614065,4.514644500409474,118.0
