ISO3,name,ucode,sum
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,32.71700939505416
ESH,Western Sahara,ESH_V1,9801.306907309316
PYF,French Polynesia,PYF_V1,10927.106465526427
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,3303.0653322555545
BMU,Bermuda,BMU_V1,2779.1649606192077
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,2049.408173812604
CYM,Cayman Islands,CYM_V1,2221.9599778362426
FLK,Falkland Islands (Malvinas),FLK_V1,22.419779133356872
MSR,Montserrat,MSR_V1,0.5657329931855202
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,20.655970632717672
TKL,Tokelau,TKL_V1,200.51926740258338
TCA,Turks and Caicos Islands,TCA_V1,435.1924193605999
ASM,American Samoa (USA),ASM_V1,8310.827855040507
GUM,Guam (USA),GUM_V1,12.925298912314625
VIR,United States Virgin Islands (USA),VIR_V1,1738.325075496628
GRL,Greenland,GRL_V1,126.92021137453918
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,492.4258393103878
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,834.7895530025282
SDN,Hala'ib Triangle,SDN1_V1,2669.5062510590333
SSD,Ilemi Triangle,SSD1_V1,0.0
xAB,Abyei,xAB_V1,0.0
xAC,Aksai Chin,xAC_V1,520.9792525544763
xJK,Jammu and Kashmir,xJK_V1,449741.62126810773
xJL,Sovereignty unsettled,xJL_V1,1657.2674958877274
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,135.47171739710896
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,42314.85724597155
TWN,Taiwan,TWN_V1,12850.379322442692
AFG,Afghanistan,AFG_V1,1712547.761574415
AGO,Angola,AGO_V1,63560.67934672223
ALB,Albania,ALB_V1,15894.198735077029
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,87680.77838269583
ARG,Argentina,ARG_V1,142583.78126899098
ARM,Armenia,ARM_V1,360997.8210128889
ATG,Antigua and Barbuda,ATG_V1,1506.1230362680244
AUS,Australia,AUS_V1,335039.4896622829
AUT,Austria,AUT_V1,26267.689681962365
AZE,Azerbaijan,AZE_V1,673917.3738712308
BDI,Burundi,BDI_V1,655172.6177918096
BEL,Belgium,BEL_V1,360150.44332096213
BEN,Benin,BEN_V1,219657.86760483915
BFA,Burkina Faso,BFA_V1,9.827040046453476
BGD,Bangladesh,BGD_V1,14873.384202722185
BGR,Bulgaria,BGR_V1,132196.94676228592
BHR,Bahrain,BHR_V1,38085.272767808536
BHS,Bahamas,BHS_V1,40693.39924661618
BIH,Bosnia and Herzegovina,BIH_V1,75.68957300033219
BLR,Belarus,BLR_V1,1676.22949943829
BLZ,Belize,BLZ_V1,5120.37630018907
BOL,Bolivia (Plurinational State of),BOL_V1,12599.703811189305
BRA,Brazil,BRA_V1,2594868.478909159
BRB,Barbados,BRB_V1,2220.3442533905522
BRN,Brunei Darussalam,BRN_V1,6643.239626874342
BTN,Bhutan,BTN_V1,1764.3271041522967
BWA,Botswana,BWA_V1,111.00762970745564
CAF,Central African Republic,CAF_V1,10746.05809028622
CAN,Canada,CAN_V1,343728.10457560286
CHE,Switzerland,CHE_V1,12569.84311215411
CHL,Chile,CHL_V1,245498.70139464724
CHN,China,CHN_V1,8872989.99182937
CIV,Côte d'Ivoire,CIV_V1,1653429.6447641212
CMR,Cameroon,CMR_V1,390366.7596567723
COD,Democratic Republic of the Congo,COD_V1,2225690.2006911896
COG,Congo,COG_V1,11837.181850284544
COL,Colombia,COL_V1,152108.3291980617
COM,Comoros,COM_V1,34775.11161928124
CPV,Cape Verde,CPV_V1,34335.08550101284
CRI,Costa Rica,CRI_V1,358016.7843279402
CUB,Cuba,CUB_V1,202107.70408184626
CYP,Cyprus,CYP_V1,85186.14726903982
CZE,Czechia,CZE_V1,229872.45371741249
DEU,Germany,DEU_V1,524945.4857221004
DJI,Djibouti,DJI_V1,95672.03038937018
DMA,Dominica,DMA_V1,2107.1612346864276
DNK,Denmark,DNK_V1,292382.29589697183
DOM,Dominican Republic,DOM_V1,9486.629161488483
DZA,Algeria,DZA_V1,1112303.2023512342
ECU,Ecuador,ECU_V1,530964.622014453
EGY,Egypt,EGY_V1,2155165.1790406806
ERI,Eritrea,ERI_V1,11627.537464300543
ESP,Spain,ESP_V1,597246.0892769414
EST,Estonia,EST_V1,97854.27849160011
ETH,Ethiopia,ETH_V1,3767745.8894107044
FIN,Finland,FIN_V1,204302.74698430276
FJI,Fiji,FJI_V1,11132.309900834278
FRA,France,FRA_V1,808882.257656833
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,65024.290374984506
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,1888532.5907398672
GEO,Georgia,GEO_V1,89197.41646523483
GHA,Ghana,GHA_V1,1750574.1810190133
GIN,Guinea,GIN_V1,283648.6865593427
GMB,Gambia,GMB_V1,21714.533210901882
GNB,Guinea-Bissau,GNB_V1,18971.558565296145
GNQ,Equatorial Guinea,GNQ_V1,5421.974473692388
GRC,Greece,GRC_V1,194766.6998598879
GRD,Grenada,GRD_V1,1179.5957243865316
GTM,Guatemala,GTM_V1,383008.09398624336
GUY,Guyana,GUY_V1,401.97491668782254
HND,Honduras,HND_V1,128681.54086646455
HRV,Croatia,HRV_V1,71970.1193413369
HTI,Haiti,HTI_V1,3622.6431611414055
HUN,Hungary,HUN_V1,10014.362633203098
IDN,Indonesia,IDN_V1,9605439.525185982
IND,India,IND_V1,4949399.16607989
IRL,Ireland,IRL_V1,266699.8356055575
IRN,Iran (Islamic Republic of),IRN_V1,4256558.938004687
IRQ,Iraq,IRQ_V1,1912118.636280301
ISL,Iceland,ISL_V1,7156.954544288854
ISR,Israel,ISR_V1,625108.339668962
ITA,Italy,ITA_V1,1210671.5919580315
JAM,Jamaica,JAM_V1,3761.738126537591
JOR,Jordan,JOR_V1,1254864.5453991806
JPN,Japan,JPN_V1,4384827.26982096
KAZ,Kazakhstan,KAZ_V1,43403.271025420094
KEN,Kenya,KEN_V1,2948233.3535082955
KGZ,Kyrgyzstan,KGZ_V1,159873.58297029568
KHM,Cambodia,KHM_V1,4258.944634034318
KIR,Kiribati,KIR_V1,323.0272949368346
KNA,Saint Kitts and Nevis,KNA_V1,995.3414593915363
KOR,Republic of Korea,KOR_V1,367645.76124344347
KWT,Kuwait,KWT_V1,160767.82341165084
LAO,Lao People's Democratic Republic,LAO_V1,0.0
LBN,Lebanon,LBN_V1,711664.2540391518
LBR,Liberia,LBR_V1,45290.88760991242
LBY,Libya,LBY_V1,149383.82862047773
LCA,Saint Lucia,LCA_V1,4823.83337459082
LIE,Liechtenstein,LIE_V1,0.0
LKA,Sri Lanka,LKA_V1,514323.7606790098
LSO,Lesotho,LSO_V1,0.0
LTU,Lithuania,LTU_V1,77855.6402952992
LUX,Luxembourg,LUX_V1,1089.3327967209866
LVA,Latvia,LVA_V1,37883.707230702974
MAR,Morocco,MAR_V1,92127.26614545504
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,875.321514329873
MDG,Madagascar,MDG_V1,84521.46403732759
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,3591188.1315904344
MHL,Marshall Islands,MHL_V1,3013.9302176862084
MKD,North Macedonia,MKD_V1,4142.257282150388
MLI,Mali,MLI_V1,4319.101956427097
MLT,Malta,MLT_V1,24433.148812467847
MMR,Myanmar,MMR_V1,13707.009186859399
MNE,Montenegro,MNE_V1,3003.5881883670304
MNG,Mongolia,MNG_V1,35543.61875299027
MOZ,Mozambique,MOZ_V1,43262.75431308676
MRT,Mauritania,MRT_V1,220796.86393309312
MUS,Mauritius,MUS_V1,36762.63081007245
MWI,Malawi,MWI_V1,339078.05206845026
MYS,Malaysia,MYS_V1,911174.6219083753
NAM,Namibia,NAM_V1,1363.5209677811931
NER,Niger,NER_V1,5.181875988841057
NGA,Nigeria,NGA_V1,1455490.6637000702
NIC,Nicaragua,NIC_V1,473423.9189516156
NLD,Netherlands,NLD_V1,61595.45846379492
NOR,Norway,NOR_V1,414364.1750404806
NPL,Nepal,NPL_V1,893307.0249556008
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,310504.36154854845
OMN,Oman,OMN_V1,83020.62107468737
PAK,Pakistan,PAK_V1,954985.1827144825
PAN,Panama,PAN_V1,317575.2614002803
PER,Peru,PER_V1,2623574.915980945
PHL,Philippines,PHL_V1,2533633.0044133286
PLW,Palau,PLW_V1,22.86234474182129
PNG,Papua New Guinea,PNG_V1,58587.71054421111
POL,Poland,POL_V1,92371.46391247952
PRK,Democratic People's Republic of Korea,PRK_V1,609665.0355648928
PRT,Portugal,PRT_V1,2032.2465194947863
PRY,Paraguay,PRY_V1,2227.6462751477957
PSE,State of Palestine,PSE_V1,983459.0946376399
QAT,Qatar,QAT_V1,122292.5974642563
ROU,Romania,ROU_V1,73871.44924620388
RUS,Russian Federation,RUS_V1,1272594.5630617714
RWA,Rwanda,RWA_V1,13273.181107580662
SAU,Saudi Arabia,SAU_V1,746087.3636153897
SDN,Sudan,SDN_V1,116982.09308070064
SEN,Senegal,SEN_V1,848504.139556896
SGP,Singapore,SGP_V1,113731.13400781275
SLB,Solomon Islands,SLB_V1,5270.251653927739
SLE,Sierra Leone,SLE_V1,133099.0517643458
SLV,El Salvador,SLV_V1,20714.44279826993
SMR,San Marino,SMR_V1,0.0
SOM,Somalia,SOM_V1,58200.10015920873
SRB,Serbia,SRB_V1,11508.283547873409
SSD,South Sudan,SSD_V1,9113.436796811035
STP,Sao Tome and Principe,STP_V1,15030.079926623077
SUR,Suriname,SUR_V1,11591.945779404079
SVK,Slovakia,SVK_V1,78791.39015133592
SVN,Slovenia,SVN_V1,21592.52531145246
SWE,Sweden,SWE_V1,630927.4242231629
SWZ,Eswatini,SWZ_V1,0.0
SYC,Seychelles,SYC_V1,2.4048959938809276
SYR,Syrian Arab Republic,SYR_V1,832024.9387513936
TCD,Chad,TCD_V1,3873.6134210154414
TGO,Togo,TGO_V1,353212.3864360227
THA,Thailand,THA_V1,502813.0746606612
TJK,Tajikistan,TJK_V1,385601.15808399545
TKM,Turkmenistan,TKM_V1,23529.971391763866
TLS,Timor-Leste,TLS_V1,4798.785948606611
TON,Tonga,TON_V1,57.06716969156382
TTO,Trinidad and Tobago,TTO_V1,6619.534923405741
TUN,Tunisia,TUN_V1,405445.54846041196
TUR,Republic of Türkiye,TUR_V1,8166227.713946806
TUV,Tuvalu,TUV_V1,0.0
TZA,United Republic of Tanzania,TZA_V1,2915059.9344644304
UGA,Uganda,UGA_V1,1426935.9213006278
UKR,Ukraine,UKR_V1,243127.9263661145
URY,Uruguay,URY_V1,71463.09030887336
USA,United States of America,USA_V1,1681518.9166670614
UZB,Uzbekistan,UZB_V1,83018.4094810801
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,2079.3567720351193
VEN,Venezuela,VEN_V1,33228.9545047637
VNM,Viet Nam,VNM_V1,462876.17625111004
VUT,Vanuatu,VUT_V1,7893.188290520334
WSM,Samoa,WSM_V1,16218.711744104003
YEM,Yemen,YEM_V1,2126301.724715284
ZAF,South Africa,ZAF_V1,530756.2333163429
ZMB,Zambia,ZMB_V1,206436.03358444266
ZWE,Zimbabwe,ZWE_V1,0.0
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,307.9703116464264
ESP,Canary Islands,ESP1_V1,90600.65300783978
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,36.32741789147258
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,1997.2187692823588
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,2344.4453753182847
BLM,Saint Barthélemy,BLM_V1,879.860908101923
MYT,Mayotte,MYT_V1,70850.28944755235
REU,Réunion,REU_V1,42356.599734973526
SPM,Saint Pierre et Miquelon,SPM_V1,24.850759357692414
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,891.3538325072036
MAF,Saint Martin,MAF_V1,2882.505437339784
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,4720.126855476634
IMN,Isle of Man,IMN_V1,5043.946744534038
JEY,Jersey,JEY_V1,9284.6153344079
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,833.9273941737737
xUK,Dekelia,xUK2_V1,1768.7142497040263
ABW,Aruba,ABW_V1,1426.319041977246
CUW,Curaçao,CUW_V1,3262.3625255430507
BES,Saba,BES1_V1,236.6988509126738
BES,Sint Eustatius,BES2_V1,381.70791237728275
BES,Bonaire,BES3_V1,3966.605365793247
SXM,Sint Maarten,SXM_V1,2973.7631485737293
BVT,Bouvet Island,BVT_V1,0.0
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,612.6005900283362
NIU,Niue,NIU_V1,3.9573949321227913
PRT,Azores Islands,PRT1_V1,5533.790335305152
PRT,Madeira Islands,PRT2_V1,11513.645669587146
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,2444.291155439916
PRI,Puerto Rico (USA),PRI_V1,3629.116608686095
VEN,Bird Island,VEN1_V1,0.0
