ISO3,name,ucode,sum
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,97.00785915454229
PYF,French Polynesia,PYF_V1,21391.088085889965
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,1.9051444235969992
BMU,Bermuda,BMU_V1,1710.3627107298846
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,17.92938311962484
CYM,Cayman Islands,CYM_V1,2.25757297873497
FLK,Falkland Islands (Malvinas),FLK_V1,260.82840587622326
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,216.0614149661954
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,17211.86133201356
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,2588.1074401604083
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,28.78938490152359
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,474.5709328053711
SDN,Hala'ib Triangle,SDN1_V1,178.1404336652189
SSD,Ilemi Triangle,SSD1_V1,0.0
xAB,Abyei,xAB_V1,0.0
xAC,Aksai Chin,xAC_V1,1335.5129858120326
xJK,Jammu and Kashmir,xJK_V1,46986.210596647725
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,23.929171223193407
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,6.0745330061763525
TWN,Taiwan,TWN_V1,238.93305682577193
AFG,Afghanistan,AFG_V1,72493.7317478715
AGO,Angola,AGO_V1,478.6314061304445
ALB,Albania,ALB_V1,0.16784258852986728
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,32390.694202750998
ARG,Argentina,ARG_V1,45318.92053194582
ARM,Armenia,ARM_V1,150894.805771624
ATG,Antigua and Barbuda,ATG_V1,0.22421383707619766
AUS,Australia,AUS_V1,58753.05850039184
AUT,Austria,AUT_V1,0.0
AZE,Azerbaijan,AZE_V1,406754.75575182773
BDI,Burundi,BDI_V1,94825.16841745377
BEL,Belgium,BEL_V1,152.00858490143435
BEN,Benin,BEN_V1,11691.591495093293
BFA,Burkina Faso,BFA_V1,0.0
BGD,Bangladesh,BGD_V1,1.5188089609146118
BGR,Bulgaria,BGR_V1,69801.78495709185
BHR,Bahrain,BHR_V1,11535.946531157304
BHS,Bahamas,BHS_V1,29418.22109160169
BIH,Bosnia and Herzegovina,BIH_V1,0.0
BLR,Belarus,BLR_V1,14.571168968454003
BLZ,Belize,BLZ_V1,817.2543304459432
BOL,Bolivia (Plurinational State of),BOL_V1,2014.7351644060109
BRA,Brazil,BRA_V1,901867.4053530683
BRB,Barbados,BRB_V1,57.18989861724424
BRN,Brunei Darussalam,BRN_V1,4722.291056426229
BTN,Bhutan,BTN_V1,15.560794122517109
BWA,Botswana,BWA_V1,0.0
CAF,Central African Republic,CAF_V1,0.0
CAN,Canada,CAN_V1,76547.37960872124
CHE,Switzerland,CHE_V1,330.0546050702048
CHL,Chile,CHL_V1,101507.54580341827
CHN,China,CHN_V1,1214752.8194979518
CIV,Côte d'Ivoire,CIV_V1,4227.225160220054
CMR,Cameroon,CMR_V1,1703.6920774877071
COD,Democratic Republic of the Congo,COD_V1,191849.91006191523
COG,Congo,COG_V1,717.9599885953398
COL,Colombia,COL_V1,1409.0770683669525
COM,Comoros,COM_V1,1024.0521168870487
CPV,Cape Verde,CPV_V1,5681.735803643804
CRI,Costa Rica,CRI_V1,140641.44283315752
CUB,Cuba,CUB_V1,2269.030284298536
CYP,Cyprus,CYP_V1,71279.62626617581
CZE,Czechia,CZE_V1,0.0
DEU,Germany,DEU_V1,11830.90287635439
DJI,Djibouti,DJI_V1,110807.96090404912
DMA,Dominica,DMA_V1,642.0110367471389
DNK,Denmark,DNK_V1,136926.41547120223
DOM,Dominican Republic,DOM_V1,0.0
DZA,Algeria,DZA_V1,225522.7402787556
ECU,Ecuador,ECU_V1,67597.68737630264
EGY,Egypt,EGY_V1,608853.928112911
ERI,Eritrea,ERI_V1,12133.638288599117
ESP,Spain,ESP_V1,417876.4199313399
EST,Estonia,EST_V1,7262.715944130542
ETH,Ethiopia,ETH_V1,1487849.3956544697
FIN,Finland,FIN_V1,24746.870962688125
FJI,Fiji,FJI_V1,5407.304580181939
FRA,France,FRA_V1,63632.197927411755
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,20778.026755635346
