ISO3,name,ucode,sum
KAZ,Kazakhstan,KAZ_V1,1416936.8575347771
KEN,Kenya,KEN_V1,2040433.0979174622
KGZ,Kyrgyzstan,KGZ_V1,282246.2872217534
KHM,Cambodia,KHM_V1,1129213.646203098
KIR,Kiribati,KIR_V1,0.0
KNA,Saint Kitts and Nevis,KNA_V1,0.0
KOR,Republic of Korea,KOR_V1,396809.1222546085
KWT,Kuwait,KWT_V1,299651.62799500395
LAO,Lao People's Democratic Republic,LAO_V1,730262.2961988882
LBN,Lebanon,LBN_V1,134.51304233202745
LBR,Liberia,LBR_V1,604992.7129397471
LBY,Libya,LBY_V1,480949.5023918782
LCA,Saint Lucia,LCA_V1,3064.8216172431175
LIE,Liechtenstein,LIE_V1,2270.053357508389
LKA,Sri Lanka,LKA_V1,220352.58962230326
LSO,Lesotho,LSO_V1,61516.27652507923
LTU,Lithuania,LTU_V1,981.0322720064889
LUX,Luxembourg,LUX_V1,46.55134806036949
LVA,Latvia,LVA_V1,113.44085167488083
MAR,Morocco,MAR_V1,2804150.0556998644
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,51902.27099473437
MDG,Madagascar,MDG_V1,2210086.5440976606
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,5824713.684479549
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,107716.464286304
MLI,Mali,MLI_V1,1110348.340268316
MLT,Malta,MLT_V1,0.0
MMR,Myanmar,MMR_V1,4180001.1820495254
MNE,Montenegro,MNE_V1,46077.55540567152
MNG,Mongolia,MNG_V1,57472.05692624083
MOZ,Mozambique,MOZ_V1,4566770.757475597
MRT,Mauritania,MRT_V1,499292.08915103856
MUS,Mauritius,MUS_V1,0.0
MWI,Malawi,MWI_V1,835776.9582062624
MYS,Malaysia,MYS_V1,166736.8300855317
NAM,Namibia,NAM_V1,202461.46367708198
NER,Niger,NER_V1,496455.7948518101
NGA,Nigeria,NGA_V1,1.0293961298386028E7
NIC,Nicaragua,NIC_V1,271650.7393931602
NLD,Netherlands,NLD_V1,4582.454451848667
NOR,Norway,NOR_V1,798.5597692575097
NPL,Nepal,NPL_V1,234594.11325734697
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,10447.3531734489
OMN,Oman,OMN_V1,365395.3118964557
PAK,Pakistan,PAK_V1,3.472101882779734E7
PAN,Panama,PAN_V1,36942.24440269736
PER,Peru,PER_V1,653352.4436625547
PHL,Philippines,PHL_V1,5103201.106094242
PLW,Palau,PLW_V1,0.0
PNG,Papua New Guinea,PNG_V1,1336178.6597562255
POL,Poland,POL_V1,195639.26883259614
PRK,Democratic People's Republic of Korea,PRK_V1,280011.3453837398
PRT,Portugal,PRT_V1,377054.649052447
PRY,Paraguay,PRY_V1,208435.51560567773
PSE,State of Palestine,PSE_V1,1183.206755618185
QAT,Qatar,QAT_V1,108419.53777885166
ROU,Romania,ROU_V1,528724.627870661
RUS,Russian Federation,RUS_V1,930551.8276082015
RWA,Rwanda,RWA_V1,518053.70149555773
SAU,Saudi Arabia,SAU_V1,677802.3686632768
SDN,Sudan,SDN_V1,7114004.744183304
SEN,Senegal,SEN_V1,851341.5281136933
SGP,Singapore,SGP_V1,0.0
SLB,Solomon Islands,SLB_V1,59791.749548154294
SLE,Sierra Leone,SLE_V1,1132344.0469867717
SLV,El Salvador,SLV_V1,373381.7449352852
SMR,San Marino,SMR_V1,1.2295018520681005
SOM,Somalia,SOM_V1,2749905.3709351043
SRB,Serbia,SRB_V1,261495.61099683793
SSD,South Sudan,SSD_V1,1599602.783254421
STP,Sao Tome and Principe,STP_V1,0.0
SUR,Suriname,SUR_V1,3893.244958581346
SVK,Slovakia,SVK_V1,51875.382458373606
SVN,Slovenia,SVN_V1,963.9142382688802
SWE,Sweden,SWE_V1,10029.992091931192
SWZ,Eswatini,SWZ_V1,99157.59296574353
SYC,Seychelles,SYC_V1,0.0
SYR,Syrian Arab Republic,SYR_V1,600136.1433580599
TCD,Chad,TCD_V1,2361085.291886899
TGO,Togo,TGO_V1,458613.0202343982
THA,Thailand,THA_V1,2895410.1861337763
TJK,Tajikistan,TJK_V1,169648.69055700733
TKM,Turkmenistan,TKM_V1,876177.1650811847
TLS,Timor-Leste,TLS_V1,21260.522656693305
TON,Tonga,TON_V1,0.0
TTO,Trinidad and Tobago,TTO_V1,139.9467669858652
TUN,Tunisia,TUN_V1,563937.8870613216
TUR,Republic of Türkiye,TUR_V1,231728.0862001173
TUV,Tuvalu,TUV_V1,0.0
TZA,United Republic of Tanzania,TZA_V1,2189519.55826444
UGA,Uganda,UGA_V1,3364312.3754044664
UKR,Ukraine,UKR_V1,988222.3830919185
URY,Uruguay,URY_V1,123873.96587420197
USA,United States of America,USA_V1,9152971.487960303
UZB,Uzbekistan,UZB_V1,3037367.634679768
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,0.0
VEN,Venezuela,VEN_V1,2788943.1980178026
VNM,Viet Nam,VNM_V1,4707764.712610295
VUT,Vanuatu,VUT_V1,10558.897831526472
WSM,Samoa,WSM_V1,0.0
YEM,Yemen,YEM_V1,1416320.757117264
ZAF,South Africa,ZAF_V1,2726088.0917446413
ZMB,Zambia,ZMB_V1,2797952.4961476545
ZWE,Zimbabwe,ZWE_V1,2181714.978241817
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,20959.449915640293
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,5064.498349892397
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,19042.400801554
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,1737.7654580507785
BLM,Saint Barthélemy,BLM_V1,0.0
MYT,Mayotte,MYT_V1,0.0
REU,Réunion,REU_V1,2.854698024370009
SPM,Saint Pierre et Miquelon,SPM_V1,0.0
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,0.0
MAF,Saint Martin,MAF_V1,0.0
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,0.0
IMN,Isle of Man,IMN_V1,0.0
JEY,Jersey,JEY_V1,0.0
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,0.0
xUK,Dekelia,xUK2_V1,0.0
ABW,Aruba,ABW_V1,0.0
CUW,Curaçao,CUW_V1,0.0
BES,Saba,BES1_V1,0.0
BES,Sint Eustatius,BES2_V1,0.0
BES,Bonaire,BES3_V1,0.0
SXM,Sint Maarten,SXM_V1,0.0
BVT,Bouvet Island,BVT_V1,0.0
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,0.0
NIU,Niue,NIU_V1,0.0
PRT,Azores Islands,PRT1_V1,0.0
PRT,Madeira Islands,PRT2_V1,1.0944209899753332
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,0.0
PRI,Puerto Rico (USA),PRI_V1,83647.28913094613
VEN,Bird Island,VEN1_V1,0.0
