ISO3,name,ucode,sum
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,16986.831223804504
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,158.2234226044304
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,7042.753423281101
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,56.95307321846485
xAB,Abyei,xAB_V1,31710.6396575895
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,3018.455910418971
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,376.5478201386208
TWN,Taiwan,TWN_V1,28451.123280080206
AFG,Afghanistan,AFG_V1,304391.94847341167
AGO,Angola,AGO_V1,740252.110937114
ALB,Albania,ALB_V1,1.411891012074193
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,1290.733170259744
ARG,Argentina,ARG_V1,785054.0601948082
ARM,Armenia,ARM_V1,3.061346982140094
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,44510.94427658422
AUT,Austria,AUT_V1,0.037220001220703125
AZE,Azerbaijan,AZE_V1,606.4890741730729
BDI,Burundi,BDI_V1,0.0
BEL,Belgium,BEL_V1,0.0
BEN,Benin,BEN_V1,12252.802810263227
BFA,Burkina Faso,BFA_V1,6750.732271121522
BGD,Bangladesh,BGD_V1,913507.4651198576
BGR,Bulgaria,BGR_V1,52.69367205069284
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,0.0
BIH,Bosnia and Herzegovina,BIH_V1,701.5157805750292
BLR,Belarus,BLR_V1,162.7864320129156
BLZ,Belize,BLZ_V1,9370.453932005163
BOL,Bolivia (Plurinational State of),BOL_V1,105682.47389936914
BRA,Brazil,BRA_V1,265363.08161433495
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,0.0
BTN,Bhutan,BTN_V1,1008.3563760172957
BWA,Botswana,BWA_V1,46162.61000260527
CAF,Central African Republic,CAF_V1,17061.135511977343
CAN,Canada,CAN_V1,5279.875097790859
CHE,Switzerland,CHE_V1,1023.1188913919032
CHL,Chile,CHL_V1,8472.001679772688
CHN,China,CHN_V1,1696249.9534847257
CIV,Côte d'Ivoire,CIV_V1,96615.97423347738
CMR,Cameroon,CMR_V1,820.2532630825744
COD,Democratic Republic of the Congo,COD_V1,431206.06539029005
COG,Congo,COG_V1,3346.9433448585796
COL,Colombia,COL_V1,312351.2155775332
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,0.0
CRI,Costa Rica,CRI_V1,233.61631173243853
CUB,Cuba,CUB_V1,3732.9533035345376
CYP,Cyprus,CYP_V1,0.0
CZE,Czechia,CZE_V1,0.01130799982638564
DEU,Germany,DEU_V1,3414.0377838965505
DJI,Djibouti,DJI_V1,858.5934941853378
DMA,Dominica,DMA_V1,0.0
DNK,Denmark,DNK_V1,0.0
DOM,Dominican Republic,DOM_V1,203691.75028673612
DZA,Algeria,DZA_V1,447830.62589912093
ECU,Ecuador,ECU_V1,2064.636684974774
EGY,Egypt,EGY_V1,68265.735237604
ERI,Eritrea,ERI_V1,41204.29527216314
ESP,Spain,ESP_V1,236976.05373907456
EST,Estonia,EST_V1,0.0
ETH,Ethiopia,ETH_V1,1227755.505258807
FIN,Finland,FIN_V1,0.0
FJI,Fiji,FJI_V1,0.0
FRA,France,FRA_V1,33714.75715553839
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,208.7809061035514
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,2.1153100116644055
GEO,Georgia,GEO_V1,211.89043142604186
