ISO3,name,ucode,pop_exposed_total,pop_River_Flood,pop_Coastal_Flood,pop_Tropical_Storm,pop_Drought,pop_Heatwave,pop_Extreme_Heat,pop_Fire,pop_Sand_and_Dust_Storm
ATA,Antarctica,ATA_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRL,Greenland,GRL_V1,139.1476702022024,17.611793011426926,121.53587719077547,0.0,0.0,139.1476702022024,0.0,0.0,0.0
AFG,Afghanistan,AFG_V1,1.71140117946734E7,1453305.4213473792,0.0,0.0,1.3311577207998434E7,1.2733752693623181E7,7927777.65357909,288717.85552087316,9347559.346255148
AGO,Angola,AGO_V1,1.2230184441141145E7,800270.3099621877,8400.564219552365,0.0,4644577.916931839,1.2085821003757717E7,2927254.819193285,6192182.327145501,978118.9926556958
ARG,Argentina,ARG_V1,6817091.7562085055,1521478.652284774,3380.4971233622464,0.0,4942528.928540065,6337189.993124934,1991414.0700697051,1695910.0037015239,113269.72991814527
AUS,Australia,AUS_V1,2503398.795339362,301112.8308286573,38844.098261570914,1408728.89804483,1030908.7681556367,1948804.7468421352,554125.9068024599,713687.124788552,39027.889349807585
BOL,Bolivia (Plurinational State of),BOL_V1,2914909.2609251384,164779.98036967753,0.0,0.0,1711131.1022087974,2909741.3838892477,1771710.4246682413,654448.2051529225,524511.2237257771
BRA,Brazil,BRA_V1,2.4364135316635244E7,2159237.150854968,9141.762818087867,0.0,1.3916042302429613E7,2.398882941739875E7,1.6088846447532315E7,6211905.25670232,137251.98676715503
BWA,Botswana,BWA_V1,866002.9823043252,61554.75078866176,0.0,0.0,86703.04882695003,827778.2727538568,845185.9093852901,211015.90665200213,27885.782696389106
CAF,Central African Republic,CAF_V1,2964811.4174345746,165119.14570322516,0.0,0.0,2663144.097728768,2964811.4174345746,2847267.880177343,1885702.650193886,94.06114068627357
CAN,Canada,CAN_V1,3219310.842037972,394166.7532686318,19372.490369872226,578703.0278240173,2493203.8142929585,3153887.185680014,0.0,209365.1741393551,9466.982384222294
CHL,Chile,CHL_V1,679815.2398972485,86528.30859506596,489.8620277779058,0.0,405656.8065916143,407332.325327199,0.0,388581.9500509598,158319.66033895768
CHN,China,CHN_V1,2.1492665414441377E8,6.500378004347378E7,1.3244546874446101E7,1.448155375282593E8,1.4376143577515772E8,1.5671353187718645E8,6.838641403198317E7,1.5151153598034559E7,2599491.647781544
CIV,Côte d'Ivoire,CIV_V1,1.1540146343359746E7,495848.24560134613,758.6327221031138,0.0,8262175.988079604,1.1530933786831839E7,6650303.993768251,1695136.8518827504,429.4299213513732
CMR,Cameroon,CMR_V1,1.0562022911851367E7,832082.6681420779,2046.4816828270755,0.0,7861310.010579106,1.0512518842760092E7,5677928.301419181,1672050.3892109138,37739.98790618655
COD,Democratic Republic of the Congo,COD_V1,3.6958899355153844E7,2607607.581890179,508.24566557746306,0.0,1.784066829174721E7,3.686709144463897E7,1.9449457608613092E7,2.281773838935214E7,68169.35634453577
COG,Congo,COG_V1,933146.985884875,437318.4471140046,559.2380956545637,0.0,561148.2151723172,868765.1619540093,95106.88712588318,260304.9655711788,20865.3130099453
COL,Colombia,COL_V1,6576862.377195659,922292.7238956575,25014.912715472925,1678244.8080543901,4148461.9809707347,6448206.40872912,2153222.4288108367,847119.2794529087,37833.13211321493
