iso3,adm0_name,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
MKD,North Macedonia,3.1633818745389357,1.0,1.0,2.5926605551317397,6.253439113994978,2.7112793478528516,3.496752768934207,1.0,7.970592017530776,1.0
MHL,Marshall Islands,1.0,6.644916445369634,7.276918532439336,1.0,1.7797059382694302,1.0,1.0,1.0,1.0,1.0
MDG,Madagascar,4.903881751115558,4.182812315999515,9.712688886453721,4.2696194992045555,4.2524893106799535,4.358585912241649,4.82618760958426,2.6913938171119822,8.968944742867247,9.80490076227272
MLT,Malta,1.0,1.0,1.0,1.6869326714691322,3.679027298139694,1.0,2.222114994622747,1.6913431896944877,4.636783339423867,1.0
MEX,Mexico,3.969651220699582,2.629712852186046,5.913951554872017,8.302624809718903,6.449726684583511,5.272528539253122,5.309494649232539,3.406856912909177,9.65368828369072,1.4918957757223046
MLI,Mali,4.4816533000334,1.0,1.0,3.9995473142818145,4.842092668240992,9.68133880677247,4.681391491502733,5.1726323307506075,9.3048856438811,3.108889041677947
MNE,Montenegro,2.699437164169183,1.7394876969859325,1.0,2.416308003724442,6.523754996549064,1.0,3.7208298976483474,1.0,7.531747525236323,1.0
MMR,Myanmar,6.203450698697807,7.34743494193865,8.22171244151598,6.041626502443504,4.595021873323746,8.506566566071626,5.287963471897831,2.6591021788275198,9.343225826377267,8.666948258053996
MNG,Mongolia,3.133330772752786,1.0,1.0,2.586466648732992,8.545214900880191,1.6066101426518553,2.4413753793150668,4.958438419993221,8.45855391733053,1.0
MOZ,Mozambique,3.5905088863549404,2.5546305652433237,8.292460997103186,6.014046724862372,5.821984961353864,6.042884339219347,7.87244837798354,2.4359865153703444,9.083100637176736,3.1263598614241364
MRT,Mauritania,4.16721138304376,2.1966104312019175,2.7299075447522902,2.961770529704669,3.775534792345476,8.330077237715978,3.093983623566779,9.520337141572297,8.643103230379603,2.9947536750754686
MWI,Malawi,2.5158717443334435,1.0,1.0,4.650634418380182,3.2292383591635696,3.4522420366487667,3.6237444577589364,1.896328998080725,8.892160969171753,3.0963953789216596
MUS,Mauritius,1.0,1.0,8.379384073223617,1.8228053904151773,1.9968834402524227,1.0,2.1800404028500955,1.0,6.411552926892876,1.0
NAM,Namibia,4.999322263990476,1.535623952859498,1.0,3.6731653088516905,6.325882780720062,7.537083253669109,4.911500782922963,5.344906781975955,8.458298758739428,2.7092083988200155
NER,Niger,3.570893085712469,1.0,1.0,4.4693406027054365,4.0529185756546315,9.721088373580953,2.761420395510754,7.291374561190688,9.349522726733815,3.1150837878648225
MYS,Malaysia,5.566612321900901,2.4640440478628385,2.4085810668058603,7.2997811627910485,4.0054600493921875,2.895206455207684,3.1210037478025567,2.061597077406822,8.734218029806998,2.0787952908079257
NGA,Nigeria,4.415174609616135,2.6997367017439338,1.0,9.937588682424284,4.6902596523114,9.60095426387834,4.5208761234015995,2.9240058664467323,9.954913856107261,3.2239414322122286
NIC,Nicaragua,2.4976804443474148,2.132872151515568,9.15454352322735,3.2325730450072454,4.601071734444348,5.012595067595617,3.6800389013634875,1.0,8.569281431034605,3.622758954953782
NOR,Norway,2.869009403377503,2.5100998612755445,1.0,6.067777881455074,7.772970532476122,1.0,2.013590152526454,1.7473018449873632,7.78749353366353,1.0
NRU,Nauru,1.0,1.0,1.0,1.0,1.7668198353168052,1.0,1.0,1.0,1.0,1.0
NPL,Nepal,3.706891405655515,1.0,1.0,5.262989447171201,2.223200746367011,7.402842395031679,2.863782869336961,2.0580579425982037,9.230189295972668,3.3258668695887934
NLD,Netherlands,6.281970178610729,9.537196058584279,1.0,6.381686690584267,4.087845919700495,1.0,2.4408055930257135,1.7254242502288164,8.770031735380417,1.0
OMN,Oman,3.8889879932286124,2.249650337233959,7.611945705466747,1.8476287422658164,2.725169391129981,7.911268438993244,2.6266213701768137,9.714070888384713,7.283021479471132,1.10400713684248
PAK,Pakistan,8.410939037127047,2.466667763273203,5.167991812385869,9.27052709833594,4.202966769635026,9.880382029399449,3.271666747877952,5.463015924894365,10.0,7.718080593415022
PAN,Panama,3.1027432626088984,2.2346023774235944,1.0,3.7556156168980186,4.21029030876727,1.8635075692498106,2.4448980179294373,1.2315512473075187,8.278166751321764,2.309698509042435
PER,Peru,3.8681426362214753,2.0375671559739876,1.0,7.192105338835634,5.295167779286716,2.8388567237575097,4.086699420629148,4.390641922464274,9.209929468879455,3.624858025277595
CAN,Canada,3.603879075945083,2.3597234396285263,3.6205259769377127,7.103028388373931,3.9984923025925854,1.0,2.99114943654666,2.266194463864079,8.91798740162898,1.0
PLW,Palau,1.0,1.335818847909155,6.742473607248035,1.5875802941625146,1.7819314698032007,1.0,1.0,1.0,1.0,1.0
PNG,Papua New Guinea,3.293904408528678,2.4033679849055343,3.955783489520069,4.818355572586261,3.491921659972804,1.4361525382677955,2.8980551998648245,1.0,8.314753479695748,9.143602880773454
POL,Poland,3.0611897434839737,2.3769664696716983,1.0,6.604188909949215,9.019931861527821,1.0,2.6299594141949685,1.6673506750227576,9.065551530958745,1.0
PHL,Philippines,5.164469103368689,4.92212260334465,10.0,7.804541883843233,3.555874852334437,3.854416877531393,3.171685375822634,2.3876937035070283,8.601788302769208,2.7969097354500594
PRY,Paraguay,3.3615087063545417,1.0,1.0,7.12733666939386,5.320365872010876,7.3503561140474565,4.48720615539559,1.8976107544699474,8.662609775705763,1.0
PRK,Democratic People's Republic of Korea,4.785849667909969,3.6071495789733126,9.447466492166981,3.286862338994699,2.8377302845610517,1.0,3.2478688130047715,2.146672572463607,8.559473157869688,2.743468239045053
PRT,Portugal,2.4551220755049155,2.0873487803136035,9.016486771997881,2.333307098345404,4.6316653236994965,2.76226979126249,6.505794630319567,2.034954532380077,8.323925324742916,1.0
QAT,Qatar,1.9321465153561763,1.560256140103953,1.0,1.3245670621921986,3.9518392206978934,8.116783552155178,1.7765446417721014,6.449329846289219,6.005089904819384,1.0
PSE,State of Palestine,1.5117920000283918,1.0,1.0,2.4998552300035013,6.210905518751332,4.687653172000159,2.6130827349254058,2.9968585334626026,8.708670383949398,1.0
RWA,Rwanda,2.1488633100468375,1.0,1.0,2.0786662263542026,4.770094347190348,1.0,2.4702355170710275,1.5249988124400338,9.03976109549128,2.9789264640540196
ROU,Romania,3.427700222217978,1.8432502906285533,1.0,9.081471965633106,9.585879515247699,1.0,2.7264347983829644,1.762117247356949,8.763342211290228,1.0
SAU,Saudi Arabia,3.5329519250926156,2.4114524706535487,1.0,3.091773522815309,6.570120649238818,9.093353155967359,3.3614095251730425,9.513157895322907,8.966993525624021,1.4650715366716909
SDN,Sudan,5.749545908489188,1.342975462787464,1.0,5.486766050977311,4.8471991309735225,9.86468745644736,4.326856340418559,8.306884083025446,9.429018004182094,9.999999999999998
SGP,Singapore,1.0,1.0585287064855755,1.0,6.160990558051261,2.0500173195075755,1.0,1.0,1.0,6.835612017817619,1.0
SEN,Senegal,3.735150634560619,2.3618881378596477,1.0,3.1043390865076828,3.588256174938805,8.09001188571554,5.097056317778834,3.7344333174543136,8.993768782183574,3.0812010428912817
SLB,Solomon Islands,1.0,3.899202766593497,8.337273998386248,4.881489199410659,2.4489511523068614,1.0,1.0,1.0,6.122856693170794,8.284234991123004
SLV,El Salvador,2.267266357075046,2.0296353103492457,6.280660824683938,2.6649866234009654,4.572539182781535,4.576816738147888,3.498566457753115,1.0,8.564959566335517,1.3342306281836969
SLE,Sierra Leone,3.0617102288161115,2.181697061347612,1.0,4.7556874491968575,2.7482410804329493,7.497162889928647,10.0,2.3432792884049647,8.769587154772294,3.0344095602837564
SOM,Somalia,5.042476128069681,2.3503542224823892,3.3919330800871563,3.5984965901696446,4.739592140873446,7.088612653574062,3.103446682288271,9.397427307090375,8.653931610268668,9.648743637986724
SMR,San Marino,1.0,1.0,1.0,1.897555150650648,3.537516392543397,1.0,1.0,1.0,5.972512130733249,1.0
NZL,New Zealand,2.505025450296322,1.9319988275611986,8.9113528601888,3.9461644603987054,2.944173671096383,1.0,2.8517923668465466,1.8147485112622213,7.455068410574235,1.0
SRB,Serbia,4.169730562435483,1.0,1.0,5.170548049578934,9.073182252824573,1.0,2.3044027982528563,1.0,8.431220106936955,1.0
SVK,Slovakia,3.9864104468612274,1.0,1.0,7.315339759724598,9.103658404563722,1.0,2.2046400180058376,1.0,8.383360641521213,1.0
SSD,South Sudan,6.676551224403637,1.0,1.0,3.47806795395268,4.754105511872291,9.244371902547048,9.28825818915406,2.4259580768655287,9.007902695925528,4.562523245412023
STP,Sao Tome and Principe,1.0,1.0,1.0,7.634032292422492,1.9640683902716327,1.0,1.0,1.0,3.466898409540823,2.774398853058784
SVN,Slovenia,2.6228888845464597,1.614439608363822,1.0,6.2020664559210585,6.339315536373772,1.0,2.1447179947957293,1.4965510914918354,7.9780470689226535,1.0
SUR,Suriname,7.868035958563285,1.2786594005647154,1.0,2.3702609087770368,4.175500392870577,2.820288018729449,1.6573337260590946,1.4869840964124774,7.704561252827806,3.7994867211781633
SWZ,Eswatini,1.6937944700277536,1.0,5.556098569090789,1.917369281152722,2.0329671881204785,3.7893163940859704,6.580882216503283,1.884122348969409,8.088013650193165,1.4480780624171257
SWE,Sweden,2.9967761016088357,2.26176966190474,1.0,6.0024001368907145,8.855077688343872,1.0,2.405649913894437,1.4326020989289034,8.287817677525101,1.0
TGO,Togo,2.534347528835772,1.742835824748264,1.0,6.994091852170184,4.675525444883146,7.345329435065366,4.7137828352848095,1.9204506491524538,8.668899208306993,3.0433122069985314
