ISO3,child_population,name
NGA,9.53492850020584E7,Nigeria
NIC,2024094.1034594143,Nicaragua
NLD,2814798.6949328645,Netherlands
NOR,810564.595541472,Norway
NPL,8805664.807565875,Nepal
NRU,1009.3273901178054,Nauru
NZL,902779.6393373247,New Zealand
OMN,1202441.5349564622,Oman
PAK,9.274571144214427E7,Pakistan
PAN,1123916.5265522061,Panama
PER,8541681.207693975,Peru
PHL,3.1441559959577717E7,Philippines
PLW,2227.5698796308725,Palau
PNG,3268611.8871307997,Papua New Guinea
POL,6019272.10992146,Poland
PRK,4982418.608893957,Democratic People's Republic of Korea
PRT,1304844.5717227187,Portugal
PRY,1998870.2265421706,Paraguay
PSE,2153753.899482185,State of Palestine
QAT,449917.7562595071,Qatar
ROU,3172608.5236191433,Romania
RUS,2.573117743530822E7,Russian Federation
RWA,5364960.74420394,Rwanda
SAU,8095880.174732795,Saudi Arabia
SDN,2.0205749749028075E7,Sudan
SEN,7053061.07948759,Senegal
SGP,742770.0404620371,Singapore
SLB,215303.5671282471,Solomon Islands
SLE,3170747.9926144327,Sierra Leone
SLV,1640238.9152907005,El Salvador
SMR,2261.063666356895,San Marino
SOM,8350469.116640148,Somalia
SRB,1390598.932000895,Serbia
SSD,4802729.641090501,South Sudan
STP,73000.76546313749,Sao Tome and Principe
SUR,172440.98800079472,Suriname
SVK,902589.6196359592,Slovakia
SVN,323951.58900897513,Slovenia
SWE,1766238.1671953474,Sweden
SWZ,432132.47578749084,Eswatini
SYC,22814.216568114975,Seychelles
SYR,7588806.9585748045,Syrian Arab Republic
TCD,9099657.43480599,Chad
TGO,3741708.797342555,Togo
THA,660477.3177271773,Thailand
TJK,3798796.222489084,Tajikistan
TKM,2353501.4497736767,Turkmenistan
TLS,472533.47159031854,Timor-Leste
TON,26403.40600174937,Tonga
TTO,269071.67664453434,Trinidad and Tobago
TUN,2956180.7509854683,Tunisia
TUR,1.892816958442737E7,Republic of Türkiye
TUV,385.3186848163824,Tuvalu
TZA,2.8544298145291902E7,United Republic of Tanzania
UGA,2.1624590967101995E7,Uganda
UKR,5549354.213330338,Ukraine
URY,691395.7146158059,Uruguay
USA,6.293479194142707E7,United States of America
UZB,1.105080765497921E7,Uzbekistan
VAT,8.201889576631434,Holy See
VCT,10439.370427928025,Saint Vincent and the Grenadines
VEN,7663653.566262384,Venezuela
VNM,2.3891614474428803E7,Viet Nam
VUT,90761.17347959678,Vanuatu
WSM,67127.86368781581,Samoa
YEM,1.6262375136884088E7,Yemen
ZAF,1.69302437801283E7,South Africa
ZMB,8824933.953455115,Zambia
ZWE,6837836.259407788,Zimbabwe
AUS,0.0,Ashmore and Cartier Islands
CXR,0.0,Christmas Island
CCK,0.0,Cocos (Keeling) Islands
HMD,0.0,Heard Island and McDonald Islands
NFK,0.0,Norfolk Island
FRO,9230.484732506877,Faroe Islands
ESP,246502.5320287145,Canary Islands
ALA,0.0,Åland Islands
ATF,0.0,Bassas da India
GUF,81928.80911614904,French Guiana
ATF,0.0,French Southern Territories
ATF,0.0,Europa Island
GLP,55670.553733884706,Guadeloupe
ATF,0.0,Juan de Nova Island
MTQ,45221.92247735585,Martinique
BLM,1614.8877943010161,Saint Barthélemy
MYT,107585.92208441153,Mayotte
REU,177798.95706497418,Réunion
SPM,23.203466275674014,Saint Pierre et Miquelon
xFR,0.0,Tromelin Island
WLF,772.7658734137777,Wallis and Futuna
MAF,6094.266124478551,Saint Martin
xFR,0.0,Glorioso Islands
IOT,0.0,Chagos Archipelagio
GGY,7196.231707912961,Guernsey
IMN,10495.295005666041,Isle of Man
JEY,14991.406499271154,Jersey
SGS,0.0,South Georgia and the South Sandwich Islands
xUK,2208.900781275857,Akrotiri
xUK,3049.689228342271,Dekelia
ABW,13373.833979975336,Aruba
CUW,20929.917263523104,Curaçao
BES,209.93624787961735,Saba
BES,336.132179874357,Sint Eustatius
BES,3815.7831282580228,Bonaire
SXM,5896.139967541156,Sint Maarten
BVT,0.0,Bouvet Island
SJM,0.0,Svalbard and Jan Mayen Islands
COK,541.3236838723222,Cook Islands
NIU,225.69967786241688,Niue
PRT,24066.61505266281,Azores Islands
PRT,23863.18613709596,Madeira Islands
UMI,0.0,Baker Island
UMI,0.0,Wake Island
UMI,0.0,Howland Island
UMI,0.0,Jarvis Island
UMI,0.0,Johnston Atoll
UMI,0.0,Kingman Reef
UMI,0.0,Midway Islands
UMI,0.0,Palmyra Atoll
UMI,0.0,Navassa Island
MNP,7614.932183412916,Northern Mariana Is. (USA)
PRI,416932.5798743577,Puerto Rico (USA)
VEN,0.0,Bird Island
