ISO3,name,ucode,sum
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,1.3141976603690315
ESH,Western Sahara,ESH_V1,31211.7334274038
PYF,French Polynesia,PYF_V1,529.2305161898919
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,14593.649806739202
BMU,Bermuda,BMU_V1,261.454905629158
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,157.56427595873967
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,299.3849407401739
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,149.78710990035358
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,3307.674142607562
VIR,United States Virgin Islands (USA),VIR_V1,2961.4035145885805
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,250.06046407669783
xAP,Arunachal Pradesh,xAP_V1,27983.45678405405
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,955.4663460424352
SSD,Ilemi Triangle,SSD1_V1,27.261438198387623
xAB,Abyei,xAB_V1,0.0
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,867432.8000278318
xJL,Sovereignty unsettled,xJL_V1,1678.181001418203
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,1.0661528643439797
HKG,Hong Kong,HKG_V1,69429.66354365145
TWN,Taiwan,TWN_V1,835804.1332101269
AFG,Afghanistan,AFG_V1,5344363.32898822
AGO,Angola,AGO_V1,5566962.846849583
ALB,Albania,ALB_V1,262907.71905639535
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,890583.1763098813
ARG,Argentina,ARG_V1,1889356.4576717368
ARM,Armenia,ARM_V1,238419.27430996337
ATG,Antigua and Barbuda,ATG_V1,8925.3111605942
AUS,Australia,AUS_V1,442814.711669764
AUT,Austria,AUT_V1,245753.26564525045
AZE,Azerbaijan,AZE_V1,538209.8598694808
BDI,Burundi,BDI_V1,2260808.042352565
BEL,Belgium,BEL_V1,169482.9766970821
BEN,Benin,BEN_V1,365805.5216526657
BFA,Burkina Faso,BFA_V1,289754.9133535161
BGD,Bangladesh,BGD_V1,1.7285286164071858E7
BGR,Bulgaria,BGR_V1,387903.0663635844
BHR,Bahrain,BHR_V1,6848.792624190071
BHS,Bahamas,BHS_V1,1345.6095393197759
BIH,Bosnia and Herzegovina,BIH_V1,198634.0920108084
BLR,Belarus,BLR_V1,813689.020233595
BLZ,Belize,BLZ_V1,55726.03777282675
BOL,Bolivia (Plurinational State of),BOL_V1,657367.7123079541
BRA,Brazil,BRA_V1,7528914.388208248
BRB,Barbados,BRB_V1,6.996875507925071
BRN,Brunei Darussalam,BRN_V1,10736.693269000774
BTN,Bhutan,BTN_V1,2663.4156372931734
BWA,Botswana,BWA_V1,385531.85140280606
CAF,Central African Republic,CAF_V1,26340.70373001403
CAN,Canada,CAN_V1,238603.9765019543
CHE,Switzerland,CHE_V1,484861.4169014214
CHL,Chile,CHL_V1,61327.126857219555
CHN,China,CHN_V1,7.60871422725989E7
CIV,Côte d'Ivoire,CIV_V1,2124795.957914816
CMR,Cameroon,CMR_V1,3989035.312284316
COD,Democratic Republic of the Congo,COD_V1,9301258.82966357
COG,Congo,COG_V1,575426.8835011531
COL,Colombia,COL_V1,2666954.5319548855
COM,Comoros,COM_V1,110696.52194316035
CPV,Cape Verde,CPV_V1,23197.59015351347
CRI,Costa Rica,CRI_V1,160347.4663310618
CUB,Cuba,CUB_V1,569472.3374756739
CYP,Cyprus,CYP_V1,62944.717156380284
CZE,Czechia,CZE_V1,369129.0993195922
DEU,Germany,DEU_V1,1611248.9121184028
DJI,Djibouti,DJI_V1,36431.787425176895
DMA,Dominica,DMA_V1,1028.5430967959414
DNK,Denmark,DNK_V1,46959.290510227205
DOM,Dominican Republic,DOM_V1,595395.2257500477
DZA,Algeria,DZA_V1,4814202.859322654
ECU,Ecuador,ECU_V1,197199.24329183504
EGY,Egypt,EGY_V1,1.4104691121729966E7
ERI,Eritrea,ERI_V1,186542.49590155663
ESP,Spain,ESP_V1,1308220.9217221055
EST,Estonia,EST_V1,17389.09941465378
ETH,Ethiopia,ETH_V1,1.681059227440899E7
FIN,Finland,FIN_V1,13674.943670664657
FJI,Fiji,FJI_V1,11432.71193771919
FRA,France,FRA_V1,4277346.663076977
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,283773.45214996795
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,169176.94820800918
GEO,Georgia,GEO_V1,181189.82061980083
GHA,Ghana,GHA_V1,1159761.6282928528
GIN,Guinea,GIN_V1,1015933.3829677848
GMB,Gambia,GMB_V1,371628.5947516126
GNB,Guinea-Bissau,GNB_V1,210941.36119893094
GNQ,Equatorial Guinea,GNQ_V1,267920.4742947435
GRC,Greece,GRC_V1,404018.672726285
GRD,Grenada,GRD_V1,491.91921143999286
GTM,Guatemala,GTM_V1,1072837.4357789527
GUY,Guyana,GUY_V1,25764.816050510697
HND,Honduras,HND_V1,1254544.7884297054
HRV,Croatia,HRV_V1,274896.42015967454
HTI,Haiti,HTI_V1,1304702.5105872552
HUN,Hungary,HUN_V1,359258.9344539851
IDN,Indonesia,IDN_V1,1.3796019487510871E7
IND,India,IND_V1,1.7360772170936835E8
IRL,Ireland,IRL_V1,4112.283128933104
IRN,Iran (Islamic Republic of),IRN_V1,6103185.54173536
IRQ,Iraq,IRQ_V1,4175717.8116686027
ISL,Iceland,ISL_V1,0.10301299847196788
ISR,Israel,ISR_V1,269684.81386975956
ITA,Italy,ITA_V1,3880009.6456754855
JAM,Jamaica,JAM_V1,129149.40053108746
JOR,Jordan,JOR_V1,341907.04944593896
JPN,Japan,JPN_V1,3020303.286300406
KAZ,Kazakhstan,KAZ_V1,1465261.3133472358
KEN,Kenya,KEN_V1,7249190.677932875
KGZ,Kyrgyzstan,KGZ_V1,84545.5915203716
KHM,Cambodia,KHM_V1,16109.755663494494
KIR,Kiribati,KIR_V1,0.0
KNA,Saint Kitts and Nevis,KNA_V1,390.1987076985632
KOR,Republic of Korea,KOR_V1,333000.6769517147
KWT,Kuwait,KWT_V1,164967.80295718322
LAO,Lao People's Democratic Republic,LAO_V1,184578.21003032284
LBN,Lebanon,LBN_V1,42360.859731543875
LBR,Liberia,LBR_V1,528735.3427603996
LBY,Libya,LBY_V1,700037.4285974288
LCA,Saint Lucia,LCA_V1,6718.2784198849195
LIE,Liechtenstein,LIE_V1,1377.2856587179842
LKA,Sri Lanka,LKA_V1,1078192.322293127
LSO,Lesotho,LSO_V1,489216.65277810075
LTU,Lithuania,LTU_V1,170468.24955744328
LUX,Luxembourg,LUX_V1,7218.401200133102
LVA,Latvia,LVA_V1,33420.975588568326
MAR,Morocco,MAR_V1,2486486.2268188423
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,141854.62015507658
MDG,Madagascar,MDG_V1,2234159.3785355
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,9380652.076163137
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,220596.03878271367
MLI,Mali,MLI_V1,348181.52570513624
MLT,Malta,MLT_V1,16805.927139803418
MMR,Myanmar,MMR_V1,1138568.7638226263
MNE,Montenegro,MNE_V1,36971.22702750354
MNG,Mongolia,MNG_V1,178165.00967881232
MOZ,Mozambique,MOZ_V1,3331620.134515208
MRT,Mauritania,MRT_V1,617853.1305618456
MUS,Mauritius,MUS_V1,31874.193046226308
MWI,Malawi,MWI_V1,2382733.4174464843
MYS,Malaysia,MYS_V1,605703.2565008292
NAM,Namibia,NAM_V1,256375.0246434637
NER,Niger,NER_V1,4799201.5550867105
NGA,Nigeria,NGA_V1,1.7993898997911148E7
NIC,Nicaragua,NIC_V1,618551.0986349457
NLD,Netherlands,NLD_V1,486369.1044134858
NOR,Norway,NOR_V1,116220.3179346757
NPL,Nepal,NPL_V1,1806505.9398565367
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,10627.370819076656
OMN,Oman,OMN_V1,259108.90588011843
PAK,Pakistan,PAK_V1,2.8954170205890745E7
PAN,Panama,PAN_V1,154798.03387552605
PER,Peru,PER_V1,1855180.5303386198
PHL,Philippines,PHL_V1,6347322.910716601
PLW,Palau,PLW_V1,205.3971039827586
