iso3,adm0_name,air_pollution_absolute,air_pollution_relative,agricultural_drought_absolute,agricultural_drought_relative,drought_spi_absolute,drought_spi_relative,drought_spei_absolute,drought_spei_relative,coastal_flood_absolute,coastal_flood_relative,extreme_heat_absolute,extreme_heat_relative,fire_frequency_absolute,fire_frequency_relative,fire_FRP_absolute,fire_FRP_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,tropical_storm_absolute,tropical_storm_relative,sand_dust_absolute,sand_dust_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
GAB,Gabon,6.988289158165477,9.321636243121622,6.310991843361977,3.8834669517821507,6.605822425692525,5.585899501776323,6.682412492243921,6.169380337676535,3.9681563932970696,1.0,1.0,1.0,5.076152474543404,1.2273068369656883,3.7907041070149172,1.0,6.530992647351846,4.848178170941616,6.962343905967843,7.397725268133532,1.0,1.0,5.412505131503904,2.1294942386798894,1.0,1.0,3.003748228761626,1.0,6.991421466472094,10.0,1.0,1.0
GBR,United Kingdom of Great Britain & Northern Ireland,8.696048491422584,9.760058146391819,7.500330499374222,2.3211257252751802,8.713050780363796,9.994104732764647,8.707691252930545,9.919667325799116,7.267465406350363,2.1857961153907004,1.0,1.0,6.6409199631510525,1.0,7.667545357733097,1.6079756074081009,4.949734969628768,1.0,6.73938539649848,1.2644289539483522,7.369415435658539,1.99679206396176,6.554389218755039,1.3750694490570696,8.636472799579874,6.607722522236706,2.8492005455592424,1.0,1.0,1.0,1.0,1.0
GEO,Georgia,6.956240904472832,9.984314620805213,6.243296555606575,3.946904403528727,6.249352619944339,3.9752768162644823,6.13064966679331,3.46451615548323,4.37377195542437,1.0,4.637095356065085,1.167174449211307,4.133922473811543,1.0,5.056341957834585,1.2127677512942965,5.986284171664169,2.854367533767842,5.655669759550483,1.9472332372079477,5.545968825427101,1.946208940972757,5.15068394698935,1.8202919193503848,1.0,1.0,3.3108436507027874,1.0,1.0,1.0,1.0,1.0
GHA,Ghana,8.689660695061065,9.354225768540616,8.528843879848365,7.506833672593799,8.239410503595062,5.140059437126692,8.217773929026668,5.001842743295503,4.881107851684272,1.0,8.393551430679695,6.269530583743712,8.971974136961453,6.474315240868268,7.240119781228003,1.2087253079356737,8.685912904295838,8.668522976552481,8.854437735464536,9.050167683539431,1.0,1.0,6.657258097285846,1.4447195734670983,1.0,1.0,5.142722474142083,1.0,8.731441981958346,10.0,1.0,1.0
GIN,Guinea,8.262631999146393,9.979148322700338,7.673208665142095,4.5790493546597055,6.808834858030442,1.8827612521789798,6.952379031815138,2.1227817035522336,5.1977835383243125,1.0,7.955869781377114,6.5728124243386015,9.187001459843978,10.0,8.82070229474378,8.407737338499985,7.990757424416641,6.470469900082123,8.297591722715193,8.22144825183096,1.0,1.0,5.785383965726634,1.166939317675138,1.0,1.0,5.265531007021412,1.0,8.257557769866203,10.0,1.0,1.0
GMB,Gambia,7.135299755154813,9.588178858506296,7.126513776446862,9.471910029800958,1.0,1.0,4.745976122673631,1.1307020898276354,3.56681642621901,1.0,6.8735935496824005,6.716779022252735,6.489879553729651,3.3901573675630643,7.141459731972462,5.816681137839625,6.669740606333658,4.916051315501744,7.118299491030435,7.656948723807729,1.0,1.0,5.108512387028506,1.5009259858869328,1.0,1.0,4.3842707445417926,1.0,7.148286444223267,10.0,1.0,1.0
GNB,Guinea-Bissau,6.832624424187896,7.997927957836791,6.564651216847258,5.607233443164046,1.0,1.0,2.3061929710730666,1.0,3.3752987111670154,1.0,6.884936918188233,8.590660852806106,6.800427530002343,5.911880973526623,7.0050994185901825,6.31112295298251,6.396786515526697,4.344254731865168,7.029972825676999,8.592966875531582,1.0,1.0,4.485967797305516,1.1654438813203103,1.0,1.0,3.3391489766042928,1.0,6.963500416897141,10.0,1.0,1.0
GNQ,Equatorial Guinea,6.834143521646501,9.626960513390753,6.613270144192256,7.1200897837678925,6.619239511284075,7.177264691933265,6.61854106917812,7.170547881705774,2.9200719050089705,1.0,1.0,1.0,2.486102039959977,1.0,1.0,1.0,6.558524420009224,6.302632572270008,6.8794018685385465,8.432826102521062,4.030136664219536,1.01898631198938,5.386572827317831,2.4745393769400033,1.0,1.0,3.6136284879564387,1.0,6.788266871760358,9.936851151956542,1.0,1.0
GRC,Greece,7.243727931424566,9.092511899368617,6.653615099161744,4.2167926274811505,4.994608469765488,1.1682234295771354,5.406578969919828,1.3968090608962913,4.355752388197578,1.0,5.825079926308197,1.8362826554313043,6.192159559313117,2.1627133225904576,7.55267214279109,7.52714612465188,6.553157024686071,3.5869514992773173,6.435404769729149,2.845573432543465,5.91488995613063,1.9569473473219938,4.5689697075800595,1.0592333113352956,1.0,1.0,3.6010476162678544,1.0,1.0,1.0,1.0,1.0
GTM,Guatemala,8.262275594154257,9.980114802288393,7.232296962695141,2.775487316879771,7.592357520452449,4.152817654823902,7.327419166341965,3.0689165481991054,4.027364328196725,1.0,6.379856169941522,1.4134153643234582,7.809547861922924,3.396470271099784,7.662886603809518,2.51068455703144,8.252184160570971,9.199671265304735,8.417173898332663,9.661907336011106,1.0,1.0,5.571154421198628,1.0705870558757735,7.867501960996415,3.7767641394587947,1.0,1.0,2.6279781272012315,1.0,7.424785016341271,3.6886852501623704
HRV,Croatia,6.7232332010248825,9.864566370558467,6.516638921087518,7.430765545972419,6.562348261490916,7.9048045161983165,5.472474467211438,2.2220448538411937,3.6913744277477956,1.0,1.0,1.0,4.404138507081813,1.0535912447085156,5.708962524644498,2.3563327427504372,5.563317575155201,2.3494135524481785,6.584318092332796,6.798270061831792,4.027260838219086,1.0454967572425002,5.148690413086154,2.228822742841629,1.0,1.0,1.3313386448313311,1.0,1.0,1.0,1.0,1.0
HUN,Hungary,7.3447559222160965,9.971897888615185,7.140397086774431,7.531614390128711,7.333231764181008,9.812984443732116,6.846572123676516,5.127417475471595,1.0,1.0,1.0,1.0,3.4491884082019033,1.0,5.903991074470463,1.5183079610405747,5.965196138437831,1.9452158029433217,6.59122702515826,3.228491093295312,5.2561806432960605,1.268491624036483,5.9705478336766316,2.7097975605501436,1.0,1.0,1.2769254502315968,1.0,1.0,1.0,1.0,1.0
IDN,Indonesia,9.807157738858967,9.222165941533918,9.009829733592039,3.3537015446577505,9.813498194175942,9.303471788013937,9.80751023880661,9.22666542533001,7.711852081254081,1.0,8.100423760947846,1.5143468325557001,9.141723867385348,1.9623970403684878,8.942785041448849,1.4590332023372405,9.67609606172726,7.127696887181463,9.880250061363924,7.612366785849764,5.140897642398026,1.0,8.39013520427225,2.3211249015401583,7.908829837901471,1.1732451126856351,5.659137847621903,1.0,8.632049010319989,2.4215298491233312,9.141550454377896,4.227530744223088
IND,India,10.0,9.906656801756483,10.0,8.788710115347564,10.0,4.120492859746035,10.0,6.623873968697757,7.565831595090664,1.0,10.0,9.319282485521207,10.0,1.448172861018823,10.0,1.2351238826567088,9.887343862338914,2.535601568217788,9.318091488013266,1.4563473898528352,6.7321347468441335,1.0,10.0,4.022221377574948,10.0,4.218340641456836,9.631950760190195,1.0522551395825332,9.681184670104097,2.3433146717863336,10.0,8.758706727429477
IRL,Ireland,7.037050225019758,9.096743444434784,5.587246510478591,1.7934397160271391,7.105211542020964,9.999852784522247,7.104113798601363,9.984546855645844,4.877057628077935,1.2127543570359733,1.0,1.0,3.8766100133583357,1.0,4.9744837837778455,1.0660654245602985,1.0,1.0,1.0,1.0,5.579005161717427,1.7753283686647037,4.735321302867494,1.2449055489752217,7.518761792594175,10.0,1.0,1.0,1.0,1.0,1.0,1.0
IRN,Iran (Islamic Republic of),9.067496302679693,9.850871258175406,8.202762127247306,3.280107249999555,8.752576327886894,6.423225312572001,7.822121989446224,2.2309174117966246,7.027277515066428,1.0,8.765797274387477,6.536277445486311,8.167518686449501,1.9150757009466632,7.676688799548753,1.2202352171508877,8.797123155800747,6.359148902022423,9.012757827488471,7.027244025754816,7.7311758741284144,1.9794531026116826,7.7599194264922655,2.770177765485111,6.8980539693086325,1.0537908782045922,9.8255285498409,4.665256076555278,3.503482738600633,1.0,5.168373021211984,1.0
IRQ,Iraq,8.941201787053501,9.991490208431546,8.192609704961901,3.787411756686267,7.4515982660175375,1.8319418881857938,2.923470082907582,1.0,5.562012477246181,1.0,8.941147684284175,9.990735939043102,8.516527374358274,3.050958638743715,8.85360908791548,3.5311958474129304,8.99415386547757,9.984143228247685,9.083502186936986,9.296413158114392,6.082560399093362,1.0064051395317581,8.649823181545756,9.993853182351081,1.0,1.0,9.500849530870841,3.961962358924189,1.0,1.0,1.0,1.0
ISL,Iceland,5.064973790814191,6.474483281098846,1.0,1.0,4.839024758606426,4.843351297952716,4.025060006200037,2.0368593363764087,3.937750318085523,5.116694133542248,1.0,1.0,1.0,1.0,1.0,1.0,3.7015104217953554,1.5766225251684718,3.8054752179632114,1.6350379367827768,2.6455442376239633,1.0442246892650373,3.169084703791396,1.387496349241334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ISR,Israel,7.603805610609399,9.96289313210062,7.099331113342078,5.082727889120334,1.6842740767622728,1.0,1.0,1.0,2.1003403630780384,1.0,6.546446174491347,2.695268812724887,3.5540252867409863,1.0,7.309268847791454,3.902051124812534,7.357677929006883,6.721972854878208,7.5425818014583585,7.384187920436857,7.158293259088213,5.284231917782549,3.4975233101217884,1.0,1.0,1.0,6.732086216864607,1.5772223034495063,1.0,1.0,1.0,1.0
ITA,Italy,8.367114734688224,9.269683434909325,8.175519204881356,7.139358561047705,7.478199265370197,3.045216311761491,6.93044389211153,1.8305084928771655,5.934963498389973,1.0,6.012810815669624,1.1343597432934829,7.2396085531363,1.7141590991024886,7.437939941371971,1.7688390879223725,8.306634244768727,7.977637672321741,8.338371265408362,7.012361349679702,6.291645303213086,1.2354134902791327,6.678279176082137,1.8697753287059657,1.0,1.0,4.1610533254148585,1.0,1.0,1.0,1.0,1.0
JOR,Jordan,7.943886755149251,10.0,7.3471081079211835,4.54618790639276,7.812060392598127,8.334545954148256,4.417138796904487,1.0,1.0,1.0,7.867507403233532,8.99423467841748,4.303925287546946,1.0,6.791625961228007,1.6927659624275928,7.2541849783292065,3.8665130200638513,7.521436377140318,4.646266367567683,6.7752923876758775,2.3643415209582934,4.125496951003562,1.0,1.0,1.0,8.237628426172725,3.713906351135969,1.0,1.0,1.0,1.0
JPN,Japan,8.76346318466326,8.852663741450115,8.3696082213979,5.248652996304704,8.742545992584862,8.601654359221254,8.419189493252073,5.591831366776728,8.89419055823216,10.0,1.0,1.0,6.518709514754736,1.0,7.669062971696789,1.4342135195876549,8.057304337231521,3.4081049654424995,8.628950099349908,5.786343092720734,8.250640162237548,4.252417288094309,7.891386079110271,4.1890716010111095,9.015443143597157,10.0,4.304549748037685,1.0,1.0,1.0,1.0,1.0
KAZ,Kazakhstan,8.263510292508137,9.924597115867254,7.78641302191614,5.243453801986023,8.180554061197261,8.846631560411671,8.122311970078234,8.167775102027443,1.0,1.0,7.531760500611757,3.841043355127309,6.738865078231935,1.3722224985981417,7.7931537168216565,2.8149817657204985,5.9362407774122214,1.1497831796517637,7.257217674408278,2.4364078347864018,8.065741565957921,7.111409458845628,6.87937448629825,2.618081726773962,1.0,1.0,8.004949473494031,2.1605290989844494,1.0,1.0,1.0,1.0
KEN,Kenya,9.06198394004452,9.656463793788085,8.635670994285991,5.455505214977646,7.3593554487550925,1.5499934291430897,7.87874047906584,2.331579088306191,3.816162792544213,1.0,7.609211686137694,1.8495995807345884,7.126818272329729,1.0089903818439654,8.990946039807802,3.3882583489188405,9.083802331812656,9.233828930307851,9.231584158070124,9.286871146780804,1.0,1.0,6.51165016441068,1.1116141113666267,1.0,1.0,8.721785455211919,1.7939329431832105,8.96767461660374,9.317671623755752,4.710028391328066,1.0
KGZ,Kyrgyzstan,7.637896269274368,9.907134136245103,7.456948914691875,7.724885687733948,7.633844619539076,9.85134436913061,7.644566976846594,9.999746693039251,1.0,1.0,5.990707416734145,1.6269218492997983,5.847257281379001,1.2585628624774063,6.316677544356917,1.5676375539862917,5.156214756308879,1.100145545091413,6.233765448454675,1.768600217532021,6.989834427525517,4.108003332771287,5.271031743516126,1.2352420205000871,1.0,1.0,6.439199509304823,1.3339405352593972,1.0,1.0,1.0,1.0
KHM,Cambodia,8.160712174884027,9.603647374341573,8.015961570882457,7.871299480809332,7.974975518823966,7.446760906880405,6.707618755734483,1.8434600488450714,4.218092669665811,1.0,8.156312107528704,9.545119153436849,8.124447847422639,5.225969024546929,6.7765206085670115,1.3645753597066914,8.233756946015074,9.938979119107746,8.324547033534575,9.443626889909547,1.0,1.0,7.610279905859047,6.919622446165831,8.447226356661032,9.98158057058346,6.076774055990947,1.0074373327815347,7.451327471219637,4.154014999989588,8.179200098895613,10.0
KOR,Republic of Korea,8.209696986973563,9.351056616864934,6.280660612543695,1.3460284237549516,6.6669200202971055,1.6996341064043432,6.215951380914593,1.3047123736101751,6.170731514189155,1.0814345236166403,1.0,1.0,6.43907019448204,1.1627212271447334,6.576653935658099,1.1633237895297226,6.309863846775846,1.341810826925242,7.039067646116355,2.0293491201193814,5.528644608878446,1.0335137349538916,6.761118491495894,2.3503651856171954,8.50680792891462,10.0,4.628278431483716,1.0,1.0,1.0,1.0,1.0
KWT,Kuwait,6.577677321637429,5.372644344038403,4.247812514777754,1.0339549925547773,6.884680899396802,8.059811194598534,5.028909317478133,1.3232514655430414,5.086828615680179,1.7501779891273586,6.925680174571738,8.524314166986851,5.808117329150699,2.0562591523085993,5.420694731657685,1.4145160731222375,6.965588746788534,8.52431416698685,7.071518476765832,8.52431416698685,4.254429811258413,1.026910177881193,5.486514872225275,2.27891669068051,1.0,1.0,7.143285088153423,3.674524602128397,1.0,1.0,1.0,1.0
LAO,Lao People's Democratic Republic,7.6692384088592025,9.97915354479063,7.0126819744261475,4.219685465298218,7.233022710222929,5.552103062325708,7.555748372345207,8.529008278472267,1.0,1.0,7.265657095964446,5.790622201111291,8.383111666547638,10.0,8.442585610226471,10.0,7.655631107542893,9.204838738095148,7.740116458438968,8.796425611102329,1.0,1.0,6.689171336706346,4.2074774290951495,7.740161260871159,6.581910788909104,4.245242722595712,1.0,6.9373798454791356,4.179449850355148,7.430411153601067,7.891454154883505
LBN,Lebanon,7.400200079176406,9.999024612686474,6.93300849851617,5.346195459198998,4.3260290332657565,1.0,1.0,1.0,3.606751837057798,1.0,3.07996702162726,1.0,3.7779002287784276,1.0,6.737780285096928,2.8502757633180664,5.439526776139839,1.3372897570444509,5.644082616410305,1.4260405990202827,4.835807528306968,1.077472239880797,3.4070962751832234,1.0,1.0,1.0,5.7406163578351705,1.152359409708244,1.0,1.0,1.0,1.0
LBR,Liberia,7.619755127327597,9.976692281982547,6.961917635299926,4.212284989184063,7.544491318083626,8.987327096885911,7.545659650314597,9.00182805962011,3.878871228090809,1.0,2.457396588381328,1.0,7.537225577882653,5.81061677040822,6.915019794315928,2.6091849105774605,6.90579777839036,3.761302880425261,7.559514712970885,7.399799916016439,1.0,1.0,6.8095180247034435,5.199324121230563,1.0,1.0,3.0032077502349153,1.0,7.568661716218518,10.0,1.0,1.0
LBY,Libya,7.532326006454198,9.595410403284442,7.358176092075965,7.557777421547009,5.995968096926059,1.7305712844680001,4.930648385189382,1.0691882253159457,5.209695314032773,1.0,7.300887586305226,6.998056490202293,5.680450654129515,1.2113774181774248,6.847562189186364,2.6228061177139166,5.0811742681625685,1.1025250628990781,6.530028372525291,2.429928816142793,7.50713381353923,8.8373768435604,5.458880879783097,1.4470048351599942,1.0,1.0,8.148325586579633,5.420201968974121,1.0,1.0,1.0,1.0
LIE,Liechtenstein,3.7557587037170244,10.0,2.943344501080425,3.521239310317575,3.7557587037170244,10.0,3.7557587037170244,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8235813263977594,10.0,3.214601188091378,5.194092787709129,2.787759272906342,4.7408480052355255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LKA,Sri Lanka,8.122043202029797,9.14361815171682,6.7703113780685324,1.9430042075591327,8.055247715113328,8.341136174061482,8.128344138186012,9.223651352204058,4.102366637578683,1.0,7.312258236933452,3.284738557163768,5.2337032063919615,1.0,6.084365777551339,1.0,8.086555252844416,8.15970790737688,8.06592321247009,6.731142214533539,1.0,1.0,6.532661403951243,2.030687789882413,8.445568144232327,10.0,3.581532908688876,1.0,1.0,1.0,1.0,1.0
LSO,Lesotho,6.9692060887116,10.0,6.773714375576738,7.6431900531921215,5.2360886600345395,1.5447081894185906,4.485990493227909,1.110060454982863,1.0,1.0,1.0,1.0,1.259493691374693,1.0,5.90134980566723,2.164180731648949,7.007335298771842,9.971316924657202,7.116115617369593,10.0,1.0,1.0,3.632724445057502,1.0,1.0,1.0,4.913958253935968,1.0650423991880342,1.0,1.0,1.0,1.0
LTU,Lithuania,6.559154310021809,9.9802639023588,6.19012233788,6.057133538898609,6.518279875595844,9.428585398739338,2.098995902586484,1.0,2.857235000542652,1.0,1.0,1.0,2.2066336589890088,1.0,4.303703928163829,1.065695756728471,6.436994515462276,8.020822051671251,6.26201746160443,5.643976939298679,6.042172610790793,4.974086041643446,4.115640409989965,1.205956053306501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LUX,Luxembourg,5.649867977962926,10.0,1.958920369657934,1.0,5.649867977962926,10.0,5.649867977962926,10.0,1.0,1.0,1.0,1.0,4.5710993892037255,3.0658203734515475,1.764489066414257,1.0,4.135406143060278,1.7700501789997847,5.7643069674721445,10.0,1.0,1.0,3.2408434802337243,1.2397607665541184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LVA,Latvia,6.315589003749073,9.929763393597534,5.004021091838391,2.113739306331399,6.299909554247224,9.715238272796087,4.360810262553121,1.3578911564573373,2.9029917891095613,1.0,1.0,1.0,1.8126017936903467,1.0,4.661966780879027,1.5395144565765948,6.310018250853476,9.378305173230583,6.347336464220398,8.685425810320433,4.03619923879415,1.1828746052832373,5.266354953999837,3.991027210434556,1.0,1.0,1.2433773363913083,1.0,1.0,1.0,1.0,1.0
MAR,Morocco,8.593272010237362,9.932997636847588,8.365924485089076,7.274547795318161,6.48557758350683,1.2641208498008443,7.117896280409045,1.8462445091417088,4.816142417833461,1.0,8.202219323095306,5.860089540852974,5.814177682758279,1.0,8.095339075045189,2.559294666368602,8.28587092383768,6.132650412921075,8.43090448407403,6.256651084064026,8.109320851239168,4.899464114932945,6.607176918440679,1.5384132048140344,8.798363787906155,9.999999999999996,8.878982423374223,3.2389450987413397,1.0,1.0,1.0,1.0
MCO,Monaco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2547900568979724,1.1638583634516413,1.2593143114307095,1.1638583634516413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAN,Canada,8.25641829444643,9.628162366732177,7.639501711835976,4.291238186220445,7.957458018651863,6.419240463041625,7.834196958583128,5.469348200246938,5.353100491715114,1.0,1.0,1.0,5.736028485733097,1.0,7.166910842469335,1.6407908942124638,4.588417535374065,1.0,5.354764851448496,1.0,8.334431598507694,10.0,6.552204158659171,1.8936648150747857,7.192890354964807,1.7399943146306236,4.674264360162509,1.0,1.0,1.0,1.0,1.0
MDA,Moldova,6.781370572821485,9.999964838830621,6.595225095267908,7.740474151750262,6.781373092426161,10.0,6.669511950130989,8.565642619432783,1.0,1.0,1.0,1.0,2.2437544183231473,1.0,6.0853136831892645,3.1646439004144145,6.32526961578491,5.182636602646172,6.517574851403292,5.85660222286747,6.559519619513146,7.223994068962031,4.643059529035016,1.4296771343010621,1.0,1.0,1.3626807004173642,1.0,1.0,1.0,1.0,1.0
MDG,Madagascar,8.667512578178343,9.276849482421937,7.212422709016014,1.8055887101560633,7.626650382795576,2.6022626488526406,7.290422472887613,1.9196205836312346,7.307497486869817,2.27243801027125,7.543613055191658,2.3996280177704423,8.16385072757322,2.7987123648128653,8.171926074976696,2.3917545177037076,8.137572863374299,4.356425154245291,8.576710244834885,6.413941161589686,3.978343744316507,1.0,7.485976185381171,3.054651931143779,8.904151289962288,9.999999999999998,6.513807614108373,1.0,8.69102967870094,10.0,8.69102967870094,10.0
MKD,North Macedonia,6.355942100850612,9.991172843129647,6.162953542687463,7.662551606796975,1.0,1.0,3.917121652663581,1.1240249069322128,1.0,1.0,4.078805644757237,1.1845736814024819,4.570947713644026,1.4925420982557398,5.592741051300374,3.259003904134462,6.138912512641472,7.083283499785162,6.146117795334868,6.352811216822873,4.937389613527756,1.9534588648276014,4.674339903666242,2.0503544882273057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEX,Mexico,9.371698703181352,9.939827514656065,8.667812403669348,3.9743390847911297,9.240550201699604,8.293076513259518,9.162828046716104,7.462632671728008,6.628165161377934,1.0,8.468325260292342,3.165792908655687,8.912535795146002,2.7019014055352253,9.198658787123929,2.933938266787616,9.267033854120587,7.973514993482347,9.339354267462827,7.2276633154572565,7.1219499156813,1.16912307293998,7.702631340153692,1.9513263255159736,8.817652290851408,3.7600233972427843,8.325936135716868,1.2366707526822331,1.0,1.0,4.495660341342475,1.0
MLI,Mali,8.664440356403984,9.988332869898594,8.419362925524037,7.1416246201789235,6.342195781808725,1.1660633444638826,5.593147610752932,1.0,1.0,1.0,8.665276943436965,9.999999999999995,8.00686861464271,2.570550677117521,8.094942448525947,2.375246742596617,8.560429989705543,8.070374225776657,8.78827071769847,9.148320841929342,1.0,1.0,7.286493923654989,2.624354025803866,1.0,1.0,8.742299332922316,2.6677175763222873,8.658365479640379,10.0,1.0,1.0
MLT,Malta,4.767301924791033,4.508152946480341,4.648074395962313,3.906212163090177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.677433213423642,4.412464853294979,5.206370414124894,7.672128770099055,5.016442676334111,5.458618914434738,1.0,1.0,1.0,1.0,1.0,1.0,2.6639784530382777,1.0028039047738033,1.0,1.0,1.0,1.0
MNE,Montenegro,5.706543291145543,9.93653987687024,4.893294771496009,3.4996849504657432,2.2938098184413667,1.0,3.161404145856668,1.0905612319293065,2.9393209920385828,1.0,1.0,1.0,4.874733949414701,3.8792585548267478,4.260526737125932,2.002289777330575,5.489589530031786,7.087920849738206,5.5383389225211985,6.8077683595406135,4.961243507663635,3.8512804093043638,3.870525033758598,1.8093698480309792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MMR,Myanmar,8.785428001397097,9.932123662386863,8.49702076573005,6.704459242227397,7.6803925663219985,2.5635736603267394,7.871974476097197,3.1292470400054744,8.177336405890134,6.221126024017537,8.616657838519362,7.872775495471112,8.257167173563833,2.8279320374081225,8.566722349064792,3.196210011355039,8.715802060579168,8.399815188030407,8.789409009426887,7.721045901727307,1.0,1.0,7.908101867877736,4.614613273025737,8.765291579336171,7.287882719167881,6.3634185311316696,1.0,8.381171179037363,6.29514022014272,8.753211706674254,10.0
MNG,Mongolia,7.161613718834143,9.986080599157916,4.620365174255477,1.0926501046610035,5.081161322601234,1.281459960135875,4.961712350325115,1.2190760880638218,1.0,1.0,2.5204479856869035,1.0,4.397664047735095,1.0,5.410843922956822,1.2837916500009587,4.9517921972840515,1.2022497787424549,6.961592314664844,6.26864914239095,7.166438492361655,9.678104136256051,5.323714500519294,1.766557471661179,1.0,1.0,7.083662331471217,3.02979597853599,1.0,1.0,1.0,1.0
MOZ,Mozambique,8.811154228406862,9.35938789871518,8.528883457109592,6.387966746011182,7.73297622762599,2.5237715517834407,7.9550230657416705,3.1795718688250902,6.259917461527996,1.0,8.188752728149284,4.159497120159495,9.609935589174887,10.0,8.7929652717707,3.6823181694321283,8.490597454580113,5.692752076807893,8.675614085430599,6.080386341974227,7.2120750636812065,1.5905186837002954,7.04350056687589,1.7487445450326589,8.830142764274035,7.358899988794208,5.372314096415714,1.0,8.852840676965293,10.0,1.0,1.0
MWI,Malawi,8.471421356049675,9.329768027725837,8.38867444866473,8.325307590646752,6.6689317816569655,1.4383731214764062,6.564602726848754,1.3600473514930425,1.0,1.0,6.799238228280595,1.5555756272030854,7.808084358392142,2.5089610774549667,6.779877236771021,1.0970651551597363,7.814702170649001,3.7742027507570843,8.21700332390731,5.275921805150862,1.0,1.0,5.7866902040035395,1.0530407997656532,1.0,1.0,3.3217756150807793,1.0,8.521271047430604,10.0,1.0,1.0
MRT,Mauritania,7.587952307308605,9.840745262291676,5.689571591892115,1.3936477891128058,5.914957334628626,1.5939511056365374,5.157941456251981,1.1233428051076535,4.648711116344595,1.0,7.488760621688776,8.579245505866714,5.129802904417826,1.0,6.711834729287945,2.230363390702931,4.534727803826151,1.0,7.168317571404088,4.645030126759219,6.200349948649876,1.944749976968673,6.2124117332018205,2.664178618842705,6.004369612331944,1.191742334088827,8.647611995189457,8.994263776872657,7.525135582995372,9.920802800920269,1.0,1.0
NAM,Namibia,7.154492320353308,9.9954174397185,5.329861714641329,1.4611275899091205,6.438821970206181,3.9379200356747703,5.308808420784935,1.4435720757631312,2.3027605614396536,1.0,6.966752453794779,7.720366125425991,6.217833523081707,2.6279822287714794,6.838829697220845,4.262176836008521,7.125650370441722,9.071921911768788,7.20806880386028,8.75591340211904,5.217957806599445,1.3686371471265546,6.098181398892846,3.896223023994234,1.0,1.0,7.213635615560756,3.448190261633589,6.85887117762735,7.3191386212096745,1.0,1.0
NER,Niger,8.737560952932526,9.999999999999996,8.59885193245678,8.256506991357366,7.001149327786035,1.541502126655616,5.969167419634768,1.0388123087588035,1.0,1.0,8.737461102929439,9.998606693881651,5.280391003371163,1.0,7.3361178987784985,1.2748753425282349,7.827935369246708,3.0067678082988767,7.744228541623797,2.4521686635188336,1.0,1.0,6.926965529734284,1.7589603282180266,1.0,1.0,9.454564630626342,4.852978248828968,8.726951342329091,10.0,1.0,1.0
MYS,Malaysia,8.386801439964144,9.092108795579628,7.255587642152719,2.3504459409358036,8.354061803883805,8.691016545682025,8.313892409890784,8.225660040163804,5.829636012796419,1.0,6.691507712630443,1.5154329514236782,7.319365603683506,1.7670504622504288,6.2583520118197065,1.0,8.055239587119775,5.48425690573933,8.296741933443165,6.354472582673125,1.0,1.0,7.439012786936662,3.954769348953477,5.587919316584443,1.0,3.8976345173511757,1.0,4.744291478612444,1.0,3.521198383599722,1.0
NLD,Netherlands,7.773339862135206,9.890255290633782,6.5027269007002815,2.1862862855614353,7.7685009208347875,9.82378991755733,7.24202896332698,4.882153248800751,8.552702611089858,10.0,1.0,1.0,5.525127292676833,1.0,5.555951730709465,1.0,4.098821237186307,1.0,7.500302918945725,5.556556610776524,7.778667127858199,9.428920715337036,6.995114920272178,5.349111496322637,1.0,1.0,2.7746636791542296,1.0,1.0,1.0,1.0,1.0
NGA,Nigeria,10.0,9.905695492538163,9.94630544209749,8.475473271392987,9.898573977822274,7.940903832686269,9.900605218256132,7.9628637311058945,6.981087651178422,1.0,9.981213846502586,8.89198842602696,9.950594116081874,3.3227963193115886,8.844864139655645,1.1901886802189923,9.999999999999998,8.400195828038182,9.983694928469355,6.66289783324156,1.0,1.0,8.527786778936559,2.176794115067012,1.0,1.0,7.649027954177612,1.0,10.0,10.0,1.0,1.0
NPL,Nepal,8.516097183119133,9.999821183491504,8.22146920501941,6.692449488009268,7.042467851504567,1.855718629391041,7.311173740943932,2.339026505449148,1.0,1.0,8.177900384587046,6.318305862111522,6.121198625587963,1.0,7.111030871866657,1.3104780467300376,6.096086684812198,1.1192414858375455,5.969269711982462,1.0608445031340596,3.1282804551839307,1.0,6.809830656735151,1.9268309121695733,1.0,1.0,3.884820723003321,1.0,4.761312144730304,1.0,7.464632496581768,2.911986387562041
