iso3,adm0_name,air_pollution_absolute,air_pollution_relative,agricultural_drought_absolute,agricultural_drought_relative,drought_spi_absolute,drought_spi_relative,drought_spei_absolute,drought_spei_relative,coastal_flood_absolute,coastal_flood_relative,extreme_heat_absolute,extreme_heat_relative,fire_frequency_absolute,fire_frequency_relative,fire_FRP_absolute,fire_FRP_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,tropical_storm_absolute,tropical_storm_relative,sand_dust_absolute,sand_dust_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
VUT,Vanuatu,5.165077788016117,4.733049333758471,4.07563058477724,1.6272406801227461,4.914661686163473,3.5126599214603753,4.908149906238901,3.4867644124029775,3.565933419549705,1.8737251583667653,1.0,1.0,2.5719965117554042,1.0,2.5384055112985346,1.0,2.423888277055131,1.0,5.8273136955827125,9.754178877157155,1.0,1.0,1.0,1.0,6.3393305864479785,10.0,1.0,1.0,4.768054018190948,3.211344963052866,5.695135971246609,10.0
FJI,Fiji,5.918187609118952,6.759756479667268,4.902123083364319,2.138875150495172,1.0,1.0,1.0,1.0,5.153902731165678,6.879073653684724,1.0,1.0,2.8586531332472123,1.0,2.003879019878037,1.0,1.0,1.0,6.331444716415306,9.973417818389468,1.0,1.0,1.0,1.0,6.7473920029936,10.0,1.0,1.0,1.0,1.0,1.0,1.0
STP,Sao Tome and Principe,4.470079278472971,2.6926640060033034,5.317201364787701,7.456040099374043,5.49941227997825,9.568991644325862,5.49941227997825,9.568991644325862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.642568709331265,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.515083617160007,10.0,1.0,1.0
NRU,Nauru,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.559267948047961,9.188399552746725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLB,Solomon Islands,5.9682963883337745,6.282790617658601,5.372014462525888,3.06064421181835,5.692292398577348,4.426887582073776,5.4862117205527205,3.4728877917792587,4.658494236102056,3.1043114333912403,1.0,1.0,1.0,1.0,1.0,1.0,2.8445227493782492,1.0,6.422248070279349,9.741503079126922,1.0,1.0,1.0,1.0,6.814949356359891,9.63507043643564,1.0,1.0,6.234706384105854,9.896446640035403,6.265352146765917,10.0
AFG,Afghanistan,8.981393176217953,9.999028999824054,8.759935133056825,7.379358317659353,8.056490677467025,3.1067446138219026,8.048662861179034,3.0804953181708306,1.0,1.0,8.356364520070953,4.391462847970319,5.895952095900746,1.0,7.314815014889417,1.0815531460662309,8.35289851358039,4.121061467804354,8.275646599834317,3.2617310966839224,7.419874389609404,1.6825818251192164,7.381734768756223,2.1003721027031093,1.0,1.0,10.0,6.534749716147973,7.5699418711695365,2.057223133480262,8.938353478896593,10.0
AGO,Angola,8.907960887893152,9.997989083933186,8.012969666415476,3.2097402180357464,8.845781007646714,9.170573355778481,8.798994024501916,8.598034280228452,4.930604061505267,1.0,7.703442811615405,2.3396282122391807,9.631191775896852,10.0,8.619554762585153,2.9241521107212476,8.870597187990443,8.824991127473787,8.956037952183234,8.206346402731386,1.0,1.0,6.8529329356426345,1.465445272861015,1.0,1.0,8.323461110641595,1.603756020565013,8.894601363534722,10.0,1.0,1.0
ALB,Albania,6.636333760993239,9.971057873896235,6.3548532626608125,6.791684007463291,1.0,1.0,5.144704878730871,1.8270075004182291,5.376556769559684,4.7041346746913595,1.0,1.0,4.776800535673667,1.3674938568170423,5.338973822271923,1.904172190232873,6.495717502425231,7.810982751739708,6.47640645842633,6.702157133542271,4.706985752400232,1.3802322680743426,5.233501698745981,2.6716191198902512,1.0,1.0,2.5051797829904836,1.0,1.0,1.0,1.0,1.0
SYC,Seychelles,2.6325377748859715,1.276662182791357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.813941125289819,9.998515135778273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AND,Andorra,4.135118453412359,10.0,3.7074403523508215,5.624165644168795,4.135118453412359,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.1562330086229355,10.0,4.212277587714789,10.0,2.9176088134857876,2.4308281468766677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,United Arab Emirates,7.42736294596723,9.533121719429092,4.7549728435656196,1.0516900462902734,1.0,1.0,1.0,1.0,6.5555872521836065,6.006641554390869,7.399457358416532,9.171497722438007,5.492346872519079,1.1680507188366198,5.922901670525153,1.400864399811275,7.1798525922205965,6.444402773989054,7.548566895870688,9.068303333459616,4.019637944290146,1.0,6.078898323109593,2.6842445473321273,1.0,1.0,8.573701229041427,10.0,1.0,1.0,1.0,1.0
ARM,Armenia,6.746088912636379,9.801825045711379,6.372239743705775,5.918684899104152,5.918858358214559,3.4068369097358953,5.29448372202166,1.8669431393738898,1.0,1.0,3.4847625483822355,1.0,2.6338798446881673,1.0,4.432517008975637,1.0145879689709603,6.633279154836764,7.967472672326949,6.637097765894244,7.019996205887136,3.571577205907637,1.0,4.425361470092323,1.2729549177188637,1.0,1.0,4.2737157322808645,1.0,1.0,1.0,1.0,1.0
AUT,Austria,7.2904884406875095,9.998665091447114,6.756903553171149,4.916099559885231,7.290584105375411,10.0,6.590013660146727,4.0105092535890305,1.0,1.0,1.0,1.0,4.742181826678101,1.0,3.9584138548828913,1.0,5.518309715546604,1.480490608881994,6.88136510256455,4.814028612237546,5.7308637741193404,1.727242618408069,5.917381420283563,2.7218522661074322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AZE,Azerbaijan,7.585678613906879,9.041010444301401,7.290395187929512,6.077268817936984,7.432160737185201,7.333716474023705,7.419171126307136,7.206879545407299,1.0,1.0,6.7951058214536015,3.3253558048100587,4.953646954833907,1.0,6.534117396115352,1.8173296237347714,6.702086888029157,2.8847017004781805,7.308995475665806,5.123234241727194,6.762904438504835,3.131093425495124,6.0123615492127325,2.0662018146192445,1.0,1.0,6.699952901509834,1.4985593682994631,1.0,1.0,1.0,1.0
BDI,Burundi,8.290020946748493,9.992797871287998,7.41240948396254,3.2705955697352636,5.757846852046037,1.0953626838365087,6.687789820370284,1.6855329300175048,1.0,1.0,1.0,1.0,7.032302026886292,1.650747812689294,7.38843048536404,1.9304095373618486,8.31017088671591,9.60057702013432,8.469966364809142,10.0,1.0,1.0,5.044402040591091,1.0,1.0,1.0,3.5596479334031668,1.0,8.236042045401943,10.0,1.0,1.0
BEL,Belgium,7.542648672750351,10.0,6.696512726779236,3.3894621328223202,7.542648672750351,10.0,7.482556808153685,9.19892944596458,6.250369464760373,3.590096670946575,1.0,1.0,5.998084176747662,1.4965039794872197,6.0247466687224005,1.4028890728227443,3.22686308204069,1.0,7.499054119653297,7.599804720676275,7.517462611169613,9.204769370581346,5.59479822073574,1.6132453662724677,1.0,1.0,1.995221954893165,1.0,1.0,1.0,1.0,1.0
BEN,Benin,8.243146713666277,9.795682711503456,8.051048233953427,7.526219563569466,7.862190069439773,5.86090276777025,7.823100957593123,5.572513021462311,3.870075144363185,1.0,8.07930663152094,7.819575617059344,8.410151382122097,6.5775320588146045,7.094630179925947,1.5936851274487827,8.274050790805898,9.556712399811097,8.404301153934846,9.570800815280306,1.0,1.0,6.261354982252941,1.5401300223344792,1.0,1.0,3.9435342072594666,1.0,8.25695751872485,10.0,1.0,1.0
BFA,Burkina Faso,8.588287947565938,9.998726728068839,8.481933432180112,8.629556168637148,5.620028963865951,1.0045257954876443,4.397015369382916,1.0,1.0,1.0,8.588379194826784,10.0,7.769618070264242,2.2521693845768107,7.661170113773737,1.7935693430214852,8.387472788472637,7.099546127483367,8.52379207936347,7.147414427866193,1.0,1.0,5.421194705113869,1.0,1.0,1.0,7.9934058446306455,1.6547682207702854,8.588379194826784,10.0,1.0,1.0
BGD,Bangladesh,9.64204145334375,9.811727801471923,9.599257617747885,9.245827953926117,9.464706717862754,7.690118374035603,9.56154159491021,8.776868743724192,9.298188812293585,6.912820377826112,9.533052769036447,8.440210386231302,7.009889987906384,1.0,8.191677196450588,1.1054820860674037,8.212282464756775,1.8299224826499354,8.413363638777547,1.936366823086968,1.0,1.0,9.44570215238004,10.0,9.65321064118847,9.196764433720748,6.644023377124148,1.0,7.809872687852426,1.4936038826822289,7.940661473142576,1.6258364265040528
BGR,Bulgaria,7.06970314218794,9.478591472346363,6.845282627974225,6.981231739174878,6.590090249725456,5.013149793631593,6.707784235983361,5.825819561848768,2.4765332340698483,1.0,1.0,1.0,4.498113870856999,1.0,6.118349674087561,2.2513824298530563,6.590942874082005,4.789228753315328,6.623560378403675,4.420446329435602,5.95153600062172,2.430194493815238,4.882026939978299,1.3482101804851947,1.0,1.0,1.1487080811267907,1.0,1.0,1.0,1.0,1.0
AUS,Australia,7.881010765230183,7.267565104769499,7.079041509184194,2.7656413043208135,7.489685239626009,4.396229671299485,7.3488588590842525,3.7183058898284878,5.839769994273476,1.0,6.6249064444513355,1.8336826988127015,7.291952398667512,2.4466832840637878,7.820302825239104,3.4789959293149257,5.413645897049619,1.046735370365062,6.083459502689469,1.2429644739002776,7.924063580863482,7.268154757285015,6.342887896715299,1.8369857953033826,7.856117541417279,4.445384130461372,5.687008850472843,1.0,1.0,1.0,1.0,1.0
BIH,Bosnia and Herzegovina,6.568843747074599,9.999931850534878,6.372401306827442,7.633318933733741,6.456479690278279,8.559676672408749,5.221093600951514,2.0575194093945135,1.0,1.0,1.0,1.0,4.724712892126986,1.3952635003094773,4.519337906019372,1.1755901783096507,5.3738286612423565,2.29719058894278,6.329097507517985,6.078446021787669,3.810805901686024,1.0347735068413628,4.648639192487353,1.673430980551995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BRA,Brazil,9.511795493371675,9.518709825576833,8.691607366372995,3.353601055581788,9.047106032205955,5.127910507014806,9.040745312093893,5.086918124984353,5.5645893718714685,1.0,8.855349129522507,4.052153427883513,8.892883050883626,2.1984348473222823,9.65953174303298,3.7566276353584196,9.244026838266235,6.153592883116541,9.376212410249455,6.043183910620074,7.624962154634774,1.3445815141677993,7.785063414452459,1.804115200049413,1.0,1.0,6.715661018110772,1.0,6.803536157076319,1.0487492291918241,8.133298031543168,2.0529428363952205
BRN,Brunei Darussalam,5.34956583913047,7.196297347361317,3.8006832206245384,1.4923604641767403,1.0,1.0,1.0,1.0,1.9778109051286932,1.0,1.0,1.0,4.543332070074779,3.2044477767644577,2.624026420717637,1.0,5.519705412767346,8.702488469138816,5.5994875261928225,8.696963453247218,1.0,1.0,4.379224410457388,3.386047398007537,1.0,1.0,1.0,1.0,2.2669042927916925,1.0,1.0,1.0
BLR,Belarus,7.379774195496788,9.995644448861267,7.00385629627911,6.011640768074385,7.363531453146791,9.771885724700146,5.876633513042648,1.8133760644609955,1.0,1.0,1.0,1.0,5.113360326665768,1.023583891110381,5.830649208138,1.4081374092883445,6.732122514388596,4.079146771070932,7.01621308436444,5.074764214990488,6.962570542125439,5.52372981285934,5.477632603342315,1.673980659540342,1.0,1.0,2.4073714014733256,1.0,1.0,1.0,1.0,1.0
