ISO3,name,ucode,pop_exposed
ATA,Antarctica,ATA_V1,0.0
GRL,Greenland,GRL_V1,3123.4519841646857
AFG,Afghanistan,AFG_V1,2.04775696666798E7
AGO,Angola,AGO_V1,1.8103173280278627E7
ARG,Argentina,ARG_V1,1.1072750597399356E7
AUS,Australia,AUS_V1,5167736.192680964
BOL,Bolivia (Plurinational State of),BOL_V1,4237363.99078558
BRA,Brazil,BRA_V1,4.1072278555842295E7
BWA,Botswana,BWA_V1,943242.9373040833
CAF,Central African Republic,CAF_V1,2975714.116296065
CAN,Canada,CAN_V1,6688354.312509981
CHL,Chile,CHL_V1,2284869.694650305
CHN,China,CHN_V1,2.665006479032426E8
CIV,Côte d'Ivoire,CIV_V1,1.4732512288887862E7
CMR,Cameroon,CMR_V1,1.3500959401495084E7
COD,Democratic Republic of the Congo,COD_V1,5.593134833356706E7
COG,Congo,COG_V1,2636388.1402706574
COL,Colombia,COL_V1,1.2882625651235977E7
DEU,Germany,DEU_V1,1.3824547825241122E7
DZA,Algeria,DZA_V1,1.6066687443444557E7
EGY,Egypt,EGY_V1,4.267847415939132E7
ESP,Spain,ESP_V1,6805862.84602575
ETH,Ethiopia,ETH_V1,5.984964088591714E7
FIN,Finland,FIN_V1,933884.1247893302
FRA,France,FRA_V1,1.2905973034997795E7
IDN,Indonesia,IDN_V1,7.215670899253483E7
IND,India,IND_V1,4.2538518251430285E8
IRN,Iran (Islamic Republic of),IRN_V1,2.4219284233220033E7
IRQ,Iraq,IRQ_V1,1.9720150512471795E7
ITA,Italy,ITA_V1,8098050.569644546
JPN,Japan,JPN_V1,1.7091876190552734E7
KAZ,Kazakhstan,KAZ_V1,6584867.471306779
KEN,Kenya,KEN_V1,2.4437916687006585E7
LBY,Libya,LBY_V1,2366267.9180893116
MAR,Morocco,MAR_V1,1.1591231329185287E7
MDG,Madagascar,MDG_V1,1.4339500274873551E7
MEX,Mexico,MEX_V1,3.77947077042896E7
MLI,Mali,MLI_V1,1.2879655662844306E7
MMR,Myanmar,MMR_V1,1.5242829690954357E7
MNG,Mongolia,MNG_V1,1248284.167240891
MOZ,Mozambique,MOZ_V1,1.7153184955547437E7
MRT,Mauritania,MRT_V1,2255492.2007971336
MYS,Malaysia,MYS_V1,7641822.65480622
NAM,Namibia,NAM_V1,1265413.5862383572
NER,Niger,NER_V1,1.4327366795044301E7
NGA,Nigeria,NGA_V1,1.1053758518626504E8
NOR,Norway,NOR_V1,815088.6603702608
OMN,Oman,OMN_V1,1391667.1686355353
PAK,Pakistan,PAK_V1,1.0439774122710153E8
PER,Peru,PER_V1,9504244.152664592
PNG,Papua New Guinea,PNG_V1,2207563.868494714
POL,Poland,POL_V1,6705460.284857008
PRY,Paraguay,PRY_V1,2239497.526261225
RUS,Russian Federation,RUS_V1,2.9135336602827277E7
SAU,Saudi Arabia,SAU_V1,9172722.376024118
SDN,Sudan,SDN_V1,2.3479986450751834E7
SOM,Somalia,SOM_V1,9122376.52682818
SSD,South Sudan,SSD_V1,5582588.967389142
SWE,Sweden,SWE_V1,1881876.617464715
TCD,Chad,TCD_V1,1.0581631249421654E7
THA,Thailand,THA_V1,1.31916816918983E7
TKM,Turkmenistan,TKM_V1,2734743.413874314
TUR,Republic of Türkiye,TUR_V1,1.8850510222805403E7
TZA,United Republic of Tanzania,TZA_V1,3.274078255823345E7
UKR,Ukraine,UKR_V1,5784409.9303019075
USA,United States of America,USA_V1,7.11295626108913E7
UZB,Uzbekistan,UZB_V1,1.2733810436550152E7
VEN,Venezuela,VEN_V1,8823199.29672503
