ISO3,name,ucode,pop_exposed
ATA,Antarctica,ATA_V1,0.0
GRL,Greenland,GRL_V1,0.0
AFG,Afghanistan,AFG_V1,2040467.7382821685
AGO,Angola,AGO_V1,282881.70688034495
ARG,Argentina,ARG_V1,40422.485788153695
AUS,Australia,AUS_V1,36698.020920687086
BOL,Bolivia (Plurinational State of),BOL_V1,243885.6862419566
BRA,Brazil,BRA_V1,557392.25159963
BWA,Botswana,BWA_V1,20987.043697509154
CAF,Central African Republic,CAF_V1,1680757.9011695196
CAN,Canada,CAN_V1,249.1287433981229
CHL,Chile,CHL_V1,11.558995031693485
CHN,China,CHN_V1,1.0511232793728042E7
CIV,Côte d'Ivoire,CIV_V1,494594.91617211176
CMR,Cameroon,CMR_V1,818173.7165223394
COD,Democratic Republic of the Congo,COD_V1,3955709.2680379157
COG,Congo,COG_V1,88761.38736138743
COL,Colombia,COL_V1,241844.3092648795
DEU,Germany,DEU_V1,120.81765290081967
DZA,Algeria,DZA_V1,70910.76490386753
EGY,Egypt,EGY_V1,414942.880631633
ESP,Spain,ESP_V1,259979.74284843245
ETH,Ethiopia,ETH_V1,926007.7370236276
FIN,Finland,FIN_V1,0.0
FRA,France,FRA_V1,579.7855426355143
IDN,Indonesia,IDN_V1,221175.7722547782
IND,India,IND_V1,2.3797806297758896E7
IRN,Iran (Islamic Republic of),IRN_V1,361853.0501333177
IRQ,Iraq,IRQ_V1,1348247.1012193419
ITA,Italy,ITA_V1,366.16203971079085
JPN,Japan,JPN_V1,256494.03950898655
KAZ,Kazakhstan,KAZ_V1,61318.05812519425
KEN,Kenya,KEN_V1,391206.5096780402
LBY,Libya,LBY_V1,16610.56462896282
MAR,Morocco,MAR_V1,1162479.9638208004
MDG,Madagascar,MDG_V1,1260726.2682244638
MEX,Mexico,MEX_V1,351822.88301860256
MLI,Mali,MLI_V1,2255142.706442271
MMR,Myanmar,MMR_V1,8518816.887753025
MNG,Mongolia,MNG_V1,1.4410090064629912
MOZ,Mozambique,MOZ_V1,3784237.40939247
MRT,Mauritania,MRT_V1,230061.80038101898
MYS,Malaysia,MYS_V1,361.02857422590364
NAM,Namibia,NAM_V1,49072.89004837604
NER,Niger,NER_V1,3182358.566091396
NGA,Nigeria,NGA_V1,1.1036376830918094E7
NOR,Norway,NOR_V1,0.0
OMN,Oman,OMN_V1,32539.183464919293
PAK,Pakistan,PAK_V1,1.3205951304175138E7
PER,Peru,PER_V1,44591.059115789656
PNG,Papua New Guinea,PNG_V1,29294.56205152808
POL,Poland,POL_V1,0.0
PRY,Paraguay,PRY_V1,7958.721913941966
RUS,Russian Federation,RUS_V1,4549.446746533261
SAU,Saudi Arabia,SAU_V1,37915.15019805411
SDN,Sudan,SDN_V1,7907225.812817928
SOM,Somalia,SOM_V1,1773410.3134677538
SSD,South Sudan,SSD_V1,3195090.984178061
SWE,Sweden,SWE_V1,0.0
TCD,Chad,TCD_V1,2751715.6102481456
THA,Thailand,THA_V1,2241714.9422774133
TKM,Turkmenistan,TKM_V1,167093.16216655567
TUR,Republic of Türkiye,TUR_V1,53985.83303384403
TZA,United Republic of Tanzania,TZA_V1,110268.7778997092
UKR,Ukraine,UKR_V1,161.47686999034065
USA,United States of America,USA_V1,459088.1859263119
UZB,Uzbekistan,UZB_V1,89911.47730620363
VEN,Venezuela,VEN_V1,1152712.7323539231
VNM,Viet Nam,VNM_V1,7252516.009954042
YEM,Yemen,YEM_V1,957871.4237398565
ZAF,South Africa,ZAF_V1,174296.1802748453
ZMB,Zambia,ZMB_V1,220140.29564213788
ZWE,Zimbabwe,ZWE_V1,81624.49001476775
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,3762.2991079493772
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,4.841682585053072
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,25.306867304619622
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,12.596228778362274
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,217.31869175491454
xAB,Abyei,xAB_V1,68854.64161087497
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,8574.202585445182
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,0.0
TWN,Taiwan,TWN_V1,4800.400715578618
ALB,Albania,ALB_V1,945.049350268615
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,31436.249880175794
ARM,Armenia,ARM_V1,114.96721730107674
ATG,Antigua and Barbuda,ATG_V1,0.0
AUT,Austria,AUT_V1,0.0
AZE,Azerbaijan,AZE_V1,1972.519831744618
BDI,Burundi,BDI_V1,167.02505882808975
BEL,Belgium,BEL_V1,119.52667418657802
BEN,Benin,BEN_V1,947629.7824755437
BFA,Burkina Faso,BFA_V1,1100007.4685275313
BGD,Bangladesh,BGD_V1,2551717.0853370437
BGR,Bulgaria,BGR_V1,0.0
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,192.3366198024466
BIH,Bosnia and Herzegovina,BIH_V1,0.0
BLR,Belarus,BLR_V1,10.048820044845343
BLZ,Belize,BLZ_V1,356.2100886020481
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,0.0
BTN,Bhutan,BTN_V1,0.0
CHE,Switzerland,CHE_V1,0.0
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,524.742940492928
CRI,Costa Rica,CRI_V1,308.1865177659866
CUB,Cuba,CUB_V1,60264.24629088259
CYP,Cyprus,CYP_V1,62.68465498753358
CZE,Czechia,CZE_V1,0.0
DJI,Djibouti,DJI_V1,3542.062965126073
DMA,Dominica,DMA_V1,0.0
DNK,Denmark,DNK_V1,0.0
DOM,Dominican Republic,DOM_V1,12897.893164625413
ECU,Ecuador,ECU_V1,27.85759603884071
ERI,Eritrea,ERI_V1,181701.84282453146
EST,Estonia,EST_V1,0.0
FJI,Fiji,FJI_V1,0.0
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,351.9777069091797
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,1023.95424778652
GEO,Georgia,GEO_V1,20.495897874236107
GHA,Ghana,GHA_V1,1698693.2174662142
GIN,Guinea,GIN_V1,1098333.2034384902
GMB,Gambia,GMB_V1,125529.07317125276
GNB,Guinea-Bissau,GNB_V1,63338.164801539475
GNQ,Equatorial Guinea,GNQ_V1,22.246757984161377
GRC,Greece,GRC_V1,146.5699654746691
GRD,Grenada,GRD_V1,0.0
GTM,Guatemala,GTM_V1,201553.71937229866
GUY,Guyana,GUY_V1,9633.141512992166
HND,Honduras,HND_V1,110388.8410527486
HRV,Croatia,HRV_V1,243.48104988626986
HTI,Haiti,HTI_V1,22744.502235126405
HUN,Hungary,HUN_V1,0.0
IRL,Ireland,IRL_V1,0.0
ISL,Iceland,ISL_V1,0.0
ISR,Israel,ISR_V1,210.56161142344055
JAM,Jamaica,JAM_V1,975.7061662828221
JOR,Jordan,JOR_V1,1363.9924885375497
KGZ,Kyrgyzstan,KGZ_V1,156.2132077028208
KHM,Cambodia,KHM_V1,5236058.453958244
KIR,Kiribati,KIR_V1,0.0
KNA,Saint Kitts and Nevis,KNA_V1,0.0
KOR,Republic of Korea,KOR_V1,420.63710439190925
KWT,Kuwait,KWT_V1,5377.962702847086
LAO,Lao People's Democratic Republic,LAO_V1,705258.1538159183
LBN,Lebanon,LBN_V1,6.044402971863747
LBR,Liberia,LBR_V1,3399.1222050786573
LCA,Saint Lucia,LCA_V1,0.0
LIE,Liechtenstein,LIE_V1,0.0
LKA,Sri Lanka,LKA_V1,1750.0117027176655
LSO,Lesotho,LSO_V1,0.0
LTU,Lithuania,LTU_V1,0.0
LUX,Luxembourg,LUX_V1,0.0
LVA,Latvia,LVA_V1,0.0
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,0.0
MDV,Maldives,MDV_V1,0.0
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,7.592419009510195
MLT,Malta,MLT_V1,0.0
MNE,Montenegro,MNE_V1,0.0
MUS,Mauritius,MUS_V1,0.0
MWI,Malawi,MWI_V1,10977.858002666851
NIC,Nicaragua,NIC_V1,74994.61151787362
NLD,Netherlands,NLD_V1,235.84093937883154
NPL,Nepal,NPL_V1,51.953046038746834
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,0.46534206967540637
PAN,Panama,PAN_V1,3.1385810282081366
PHL,Philippines,PHL_V1,79190.37605685335
PLW,Palau,PLW_V1,0.0
PRK,Democratic People's Republic of Korea,PRK_V1,24136.42956540056
PRT,Portugal,PRT_V1,16893.10307755661
PSE,State of Palestine,PSE_V1,0.8247460427529671
QAT,Qatar,QAT_V1,24.500194098421616
ROU,Romania,ROU_V1,0.0
RWA,Rwanda,RWA_V1,511.0830215628532
SEN,Senegal,SEN_V1,769675.3416294234
SGP,Singapore,SGP_V1,0.0
SLB,Solomon Islands,SLB_V1,857.7313405113478
SLE,Sierra Leone,SLE_V1,319811.9573898836
SLV,El Salvador,SLV_V1,34829.19676930772
SMR,San Marino,SMR_V1,0.0
SRB,Serbia,SRB_V1,0.005032999957620632
STP,Sao Tome and Principe,STP_V1,0.0
SUR,Suriname,SUR_V1,866.2916543830652
SVK,Slovakia,SVK_V1,0.0
SVN,Slovenia,SVN_V1,0.0
SWZ,Eswatini,SWZ_V1,17408.242570770046
SYC,Seychelles,SYC_V1,0.0
SYR,Syrian Arab Republic,SYR_V1,369248.46451121505
TGO,Togo,TGO_V1,580622.3708902389
TJK,Tajikistan,TJK_V1,11004.345180877373
TLS,Timor-Leste,TLS_V1,5093.860548917437
TON,Tonga,TON_V1,0.0
TTO,Trinidad and Tobago,TTO_V1,0.0
TUN,Tunisia,TUN_V1,6310.42643698589
TUV,Tuvalu,TUV_V1,0.0
UGA,Uganda,UGA_V1,776833.6891460095
URY,Uruguay,URY_V1,0.0
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,0.0
VUT,Vanuatu,VUT_V1,32.46453773230314
WSM,Samoa,WSM_V1,0.0
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,899.0799736339652
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,796.8087344476953
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,0.0
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,0.0
BLM,Saint Barthélemy,BLM_V1,0.0
MYT,Mayotte,MYT_V1,0.0
REU,Réunion,REU_V1,0.0
