ISO3,child_population_exposed_75,child_population_exposed_80,child_population_exposed_90,Region
MNE,46057.37628530575,40372.81455612047,23449.31936968118,Europe and Central Asia
MNG,68512.16247482362,32084.49812533965,10037.004762242414,East Asia and Pacific
MNP,0.0,0.0,0.0,
MOZ,13545514.197141964,12189148.42134141,8745212.010487165,Eastern and Southern Africa
MRT,1502424.8777186645,1354597.1262503238,507278.6434854138,West and Central Africa
MSR,239.11149629428985,0.0,0.0,Latin America and the Caribbean
MTQ,0.0,0.0,0.0,
MUS,0.0,0.0,0.0,
MWI,3078931.946980137,1761078.201854196,709327.2255395014,Eastern and Southern Africa
MYS,2096074.7068696143,1329775.665301882,504588.6295450571,East Asia and Pacific
MYT,0.0,0.0,0.0,
NAM,741993.4677635343,616387.0711467516,285281.0018572865,Eastern and Southern Africa
NCL,0.0,0.0,0.0,
NER,9605430.225557346,7919931.450150705,3581132.2788110105,West and Central Africa
NFK,0.0,0.0,0.0,
NGA,99997504.46902633,94247767.5755364,51092640.9949472,West and Central Africa
NIC,1428914.5310769642,1263050.9046468905,805964.9908483358,Latin America and the Caribbean
NIU,0.0,0.0,0.0,East Asia and Pacific
NLD,992974.2833691224,500363.4177466439,0.0,
NOR,6629.883592704574,0.0,0.0,
NPL,5197537.279106644,3992423.741839666,1250588.874226544,South Asia
NRU,0.0,0.0,0.0,East Asia and Pacific
NZL,62961.73208959771,13135.693478371337,0.0,
OMN,795643.201530713,665851.6896745389,436753.6119244443,Middle East and North Africa
PAK,94214529.66802868,90437817.22774751,65877813.66859059,South Asia
PAN,344243.3912888248,176887.9102137067,7993.054317937332,Latin America and the Caribbean
PCN,0.0,0.0,0.0,
PER,2083191.0356727657,1294946.597723705,798582.0869556202,Latin America and the Caribbean
PHL,15962558.270861909,12861387.043979572,8389496.918646792,East Asia and Pacific
PLW,0.0,0.0,0.0,East Asia and Pacific
PNG,148568.11257405605,90927.24295338336,30605.972281064656,East Asia and Pacific
POL,1139069.0819450058,503610.4821892685,0.0,
PRI,0.0,0.0,0.0,
PRK,1417999.5706999698,888347.1587712022,28800.682004297072,East Asia and Pacific
PRT,1158075.308617441,980493.4078327653,465919.29938538047,
PRY,2084370.291956412,2046934.9843446289,1067341.317878603,Latin America and the Caribbean
PSE,732584.7470629748,710142.7962291178,224477.12350169552,Middle East and North Africa
PYF,0.0,0.0,0.0,
QAT,257411.73018061416,129122.73941096412,16018.634747484382,Middle East and North Africa
REU,0.0,0.0,0.0,
ROU,2069245.4429972088,1539541.6500406277,573194.558738579,Europe and Central Asia
RUS,18157811.36879396,12729295.923632296,5867992.725294855,
RWA,455091.0419116923,89897.15524095473,0.0,Eastern and Southern Africa
SAU,6603408.005648704,5807005.086189224,2616359.8198912204,Middle East and North Africa
SDN,22091271.459379807,21300503.526849978,17247105.265972544,Middle East and North Africa
SEN,5062561.87728958,4601687.783422096,2481619.301180989,West and Central Africa
SGP,0.0,0.0,0.0,
SGS,0.0,0.0,0.0,
SHN,0.0,0.0,0.0,
SJM,0.0,0.0,0.0,
SLB,0.0,0.0,0.0,East Asia and Pacific
SLE,3081395.6313366317,2989391.94135861,1298767.0986234269,West and Central Africa
SLV,1027537.605157616,740620.9070019494,426577.718755787,Latin America and the Caribbean
SMR,0.0,0.0,0.0,
SOM,3960306.352648739,3305375.883799134,1633015.1029349738,Eastern and Southern Africa
SPM,0.0,0.0,0.0,
SRB,900446.4558555417,674289.3255524122,361714.2351804203,Europe and Central Asia
SSD,5412082.380532112,5324898.273352329,4329037.594236375,Eastern and Southern Africa
STP,0.0,0.0,0.0,West and Central Africa
SUR,51074.67279720597,27483.27694484626,734.9176666024141,Latin America and the Caribbean
SVK,224137.6062075153,153503.09818218934,3407.4704690604785,
SVN,88483.9168027656,46885.08194024394,42.86747064395036,
SWE,28890.58755056713,5024.468629901744,0.0,
SWZ,346344.6106398351,320407.9132637254,124219.25738222248,Eastern and Southern Africa
SXM,0.0,0.0,0.0,
SYC,0.0,0.0,0.0,
SYR,8420633.823163448,8037752.14237513,6213859.79329238,Middle East and North Africa
TCA,0.0,0.0,0.0,Latin America and the Caribbean
TCD,8459471.244739018,8038328.501423308,6383549.047809362,West and Central Africa
TGO,3321023.419249417,2863999.1054261103,1579596.0416723513,West and Central Africa
THA,11415288.266622052,10986279.115489868,8141825.630367397,East Asia and Pacific
TJK,3391738.074550848,2842061.251290718,1432714.1323190224,Europe and Central Asia
TKL,0.0,0.0,0.0,East Asia and Pacific
TKM,2643535.1810095957,2618408.573208783,2381357.8826924656,Europe and Central Asia
TLS,15247.26882950574,5325.012094592817,0.0,East Asia and Pacific
TON,0.0,0.0,0.0,East Asia and Pacific
TTO,0.0,0.0,0.0,Latin America and the Caribbean
TUN,2342279.8291356824,2028774.865921446,784716.3396346853,Middle East and North Africa
TUR,12623586.107393865,10918372.6161056,5115685.0904905405,Europe and Central Asia
TUV,0.0,0.0,0.0,East Asia and Pacific
TWN,745861.2902993476,569593.7736522029,5131.589989296626,
TZA,5195749.94896617,2941907.4574219123,860382.0464303482,Eastern and Southern Africa
UGA,10259271.78595323,7333988.75400723,2798161.593839325,Eastern and Southern Africa
UKR,3658315.170841722,2119629.100360307,993960.79244494,Europe and Central Asia
UMI,0.0,0.0,0.0,
URY,278724.8988033694,201256.69898460613,138707.96807135135,Latin America and the Caribbean
USA,44050163.831784114,36048035.1159511,17893223.138243303,
UZB,12070101.19892767,11579021.031569673,7426120.5777962,Europe and Central Asia
VAT,20.176179152844,20.176179152844,0.0,
VCT,0.0,0.0,0.0,Latin America and the Caribbean
VEN,5215279.279652763,4769614.751658459,3415064.7480113204,Latin America and the Caribbean
VGB,0.0,0.0,0.0,Latin America and the Caribbean
VIR,0.0,0.0,0.0,
VNM,23601829.37450652,22738015.00026192,19605708.42846058,East Asia and Pacific
VUT,0.0,0.0,0.0,East Asia and Pacific
WLF,0.0,0.0,0.0,
WSM,0.0,0.0,0.0,East Asia and Pacific
YEM,5547618.707966261,3560384.747352681,2285843.925407473,Middle East and North Africa
ZAF,9198357.227520874,6981103.473048612,2441173.871110301,Eastern and Southern Africa
ZMB,4580536.041402085,2644878.470852661,1063746.8166157687,Eastern and Southern Africa
ZWE,4990131.736286222,3563485.4169687573,1217746.980368118,Eastern and Southern Africa
xAB,81844.50318652063,81844.50318652063,79773.71128518114,
xAC,0.0,0.0,0.0,
xAP,9242.706231704618,3129.803171675404,5.745497472847209,
