iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
MEX,Mexico,162,heatwave_duration_ecmwf_2014-2024,27159514.845607266,38372192.37058584,128401222.49271417
LTU,Lithuania,147,heatwave_duration_ecmwf_2014-2024,497924.249539489,509385.6883266349,2866930.8639708417
LIE,Liechtenstein,146,heatwave_duration_ecmwf_2014-2024,6875.375215402418,6875.375215402418,39265.798917740125
LUX,Luxembourg,148,heatwave_duration_ecmwf_2014-2024,125548.26587690244,125867.0302164336,665461.0224727879
NLD,Netherlands,177,heatwave_duration_ecmwf_2014-2024,36444.71811257838,3317680.67254458,18029909.14211523
NRU,Nauru,173,heatwave_duration_ecmwf_2014-2024,0.0,5059.941487204168,8613.227694908777
MDA,Moldova,165,heatwave_duration_ecmwf_2014-2024,714904.2326672807,714905.6177402587,3053511.398903851
MNG,Mongolia,167,heatwave_duration_ecmwf_2014-2024,739490.2224635489,1283535.698081247,3451239.7879313785
QAT,Qatar,201,heatwave_duration_ecmwf_2014-2024,302080.761323433,525150.737422447,3007344.2378927646
PRT,Portugal,199,heatwave_duration_ecmwf_2014-2024,189607.64888447127,1561451.1712607555,9846609.236506822
PAN,Panama,191,heatwave_duration_ecmwf_2014-2024,994618.8221048856,1320561.9096532748,4412833.509139626
POL,Poland,198,heatwave_duration_ecmwf_2014-2024,1742099.1745364054,6980331.054883395,38556795.89185388
OMN,Oman,187,heatwave_duration_ecmwf_2014-2024,128268.88447678558,1426698.5282886918,5015295.953208735
PLW,Palau,189,heatwave_duration_ecmwf_2014-2024,1338.0405487396465,3711.196084086777,12098.356533180977
NOR,Norway,186,heatwave_duration_ecmwf_2014-2024,663457.236559096,1020170.81650001,5140974.828135762
ROU,Romania,203,heatwave_duration_ecmwf_2014-2024,3022861.090261225,3678230.568512474,19057441.41506777
KOR,Republic of Korea,202,heatwave_duration_ecmwf_2014-2024,202918.9489015096,6896493.618111062,51290231.02927133
NZL,New Zealand,179,heatwave_duration_ecmwf_2014-2024,170531.30836693477,1136540.3256396777,5062980.142566763
SVN,Slovenia,224,heatwave_duration_ecmwf_2014-2024,368576.5575314736,375673.5193777197,2111647.805266223
SVK,Slovakia,223,heatwave_duration_ecmwf_2014-2024,1002300.323245821,1043142.8692212112,5519449.023483421
SGP,Singapore,222,heatwave_duration_ecmwf_2014-2024,640741.1628288397,870560.5797558889,5793304.950766583
SAU,Saudi Arabia,215,heatwave_duration_ecmwf_2014-2024,8374767.236770231,9337856.872349331,32986551.47901121
SYC,Seychelles,220,heatwave_duration_ecmwf_2014-2024,0.0,30281.259579967493,110503.57742409957
TON,Tonga,245,heatwave_duration_ecmwf_2014-2024,0.0,43787.1485636697,90938.38558309886
WSM,Samoa,212,heatwave_duration_ecmwf_2014-2024,22359.72164688576,85078.33689061862,193052.459911529
SMR,San Marino,213,heatwave_duration_ecmwf_2014-2024,5133.700184291561,5133.700184291561,32591.888848521667
LCA,Saint Lucia,209,heatwave_duration_ecmwf_2014-2024,21837.198221642087,38966.40876717017,173094.362651723
KNA,Saint Kitts and Nevis,208,heatwave_duration_ecmwf_2014-2024,3986.277548780575,10339.276502371737,42147.38899991664
VCT,Saint Vincent and the Grenadines,211,heatwave_duration_ecmwf_2014-2024,10171.516182641044,27568.271910107986,96941.14682992118
GBR,United Kingdom of Great Britain & Northern Ireland,256,heatwave_duration_ecmwf_2014-2024,147075.39142280887,13876628.58854951,67080705.1627506
TUV,Tuvalu,252,heatwave_duration_ecmwf_2014-2024,0.0,792.4737835331314,3207.772182548676
ARE,United Arab Emirates,255,heatwave_duration_ecmwf_2014-2024,1757380.2079221513,2031447.4917321051,10654430.703493768
TKM,Turkmenistan,250,heatwave_duration_ecmwf_2014-2024,16850.542250395793,2721095.0510312743,7503070.336105566
TTO,Trinidad and Tobago,246,heatwave_duration_ecmwf_2014-2024,277925.4912492531,325634.2330082643,1482464.5980286642
CHE,Switzerland,237,heatwave_duration_ecmwf_2014-2024,1592594.3198761712,1593960.8623976891,8906052.082603708
THA,Thailand,240,heatwave_duration_ecmwf_2014-2024,12606938.159293888,13239586.11497724,71226456.4779607
MKD,North Macedonia,241,heatwave_duration_ecmwf_2014-2024,372490.5429986404,372490.5429986404,1828061.7942779767
SWE,Sweden,236,heatwave_duration_ecmwf_2014-2024,1751480.8486912183,2075435.3078660225,10107469.821243083
SUR,Suriname,233,heatwave_duration_ecmwf_2014-2024,185763.55104199864,195175.26057338997,630537.7498989897
SLB,Solomon Islands,225,heatwave_duration_ecmwf_2014-2024,73196.9152625274,347383.34427543654,699018.2144060401
ZAF,South Africa,227,heatwave_duration_ecmwf_2014-2024,8086781.303638348,19551218.439929903,62854799.041708514
ESP,Spain,229,heatwave_duration_ecmwf_2014-2024,4832789.8345165225,7175341.206914464,44020734.282278255
BTN,Bhutan,31,heatwave_duration_ecmwf_2014-2024,305.6175282107981,208366.5742227184,789279.2014167488
AFG,Afghanistan,1,heatwave_duration_ecmwf_2014-2024,13134242.023278715,20941093.53802295,42009524.65616982
RUS,Russian Federation,204,heatwave_duration_ecmwf_2014-2024,16284292.566076985,29901256.440315537,144449917.3718363
COM,Comoros,58,heatwave_duration_ecmwf_2014-2024,269324.5843975224,371458.19433222926,799634.3457163497
SRB,Serbia,2648,heatwave_duration_ecmwf_2014-2024,1118179.306010112,1616523.370020472,8447227.708104627
MNE,Montenegro,2647,heatwave_duration_ecmwf_2014-2024,126176.31422446936,138275.6116227951,622926.0901820723
UZB,Uzbekistan,261,heatwave_duration_ecmwf_2014-2024,838720.0921096624,12807239.362695623,35870616.3785686
VNM,Viet Nam,264,heatwave_duration_ecmwf_2014-2024,16395828.816018758,28020535.73073192,100066740.29425308
DMA,Dominica,289,heatwave_duration_ecmwf_2014-2024,6182.946085813992,14440.4033222003,58363.58971034234
URY,Uruguay,260,heatwave_duration_ecmwf_2014-2024,0.0,767231.8597110452,3371693.0755634974
USA,United States of America,259,heatwave_duration_ecmwf_2014-2024,18073805.90821449,72972657.96535072,341972922.558874
KGZ,Kyrgyzstan,138,heatwave_duration_ecmwf_2014-2024,27783.56587056123,2689821.243125588,7128243.330953766
LAO,Lao People's Democratic Republic,139,heatwave_duration_ecmwf_2014-2024,2606352.8094026726,2799986.6963744243,7773182.864683836
NPL,Nepal,175,heatwave_duration_ecmwf_2014-2024,98546.73266233582,10250380.76052714,29642061.05948545
