ISO3,name,ucode,child_population_exposed
JAM,Jamaica,JAM_V1,545060.5657744322
JOR,Jordan,JOR_V1,767701.3117808191
JPN,Japan,JPN_V1,1.1070557119846355E7
KAZ,Kazakhstan,KAZ_V1,3505196.324663908
KEN,Kenya,KEN_V1,6397463.308288243
KGZ,Kyrgyzstan,KGZ_V1,934856.4942098232
KHM,Cambodia,KHM_V1,4829748.276382309
KIR,Kiribati,KIR_V1,342.7430019527674
KNA,Saint Kitts and Nevis,KNA_V1,2890.2579876127784
KOR,Republic of Korea,KOR_V1,5066282.763863115
KWT,Kuwait,KWT_V1,892055.493712231
LAO,Lao People's Democratic Republic,LAO_V1,1937248.5963925873
LBN,Lebanon,LBN_V1,575160.8913816467
LBR,Liberia,LBR_V1,2126470.0606400985
LBY,Libya,LBY_V1,715449.5857579067
LCA,Saint Lucia,LCA_V1,6750.014034504834
LIE,Liechtenstein,LIE_V1,7110.973723088565
LKA,Sri Lanka,LKA_V1,4981668.531889637
LSO,Lesotho,LSO_V1,409092.3007527825
LTU,Lithuania,LTU_V1,365614.52832455613
LUX,Luxembourg,LUX_V1,83857.22175255763
LVA,Latvia,LVA_V1,305900.57160178665
MAR,Morocco,MAR_V1,2601326.2829270917
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,218039.6795736276
MDG,Madagascar,MDG_V1,7216447.329849356
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,2.5492824174886543E7
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,169697.38528950704
MLI,Mali,MLI_V1,2487525.8660182925
MLT,Malta,MLT_V1,0.0
MMR,Myanmar,MMR_V1,7410990.953852843
MNE,Montenegro,MNE_V1,86878.69676340916
MNG,Mongolia,MNG_V1,522880.10421498574
MOZ,Mozambique,MOZ_V1,1.0309167514627624E7
MRT,Mauritania,MRT_V1,48747.13248084163
MUS,Mauritius,MUS_V1,0.0
MWI,Malawi,MWI_V1,5164263.918654999
MYS,Malaysia,MYS_V1,7443166.68730358
NAM,Namibia,NAM_V1,694666.0032151687
