iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
LBN,LBN,141,Lebanon,State,coastal_flood_100yr_jrc_2024,2806.6948257166214,1848836.920784989,5712309.3572406
JOR,JOR,130,Jordan,State,coastal_flood_100yr_jrc_2024,38.68585395812988,4258481.420526452,11524558.162343549
MAR,MAR,169,Morocco,State,coastal_flood_100yr_jrc_2024,13184.969242411056,11603413.342636012,37562571.69452273
SYR,SYR,238,Syrian Arab Republic,State,coastal_flood_100yr_jrc_2024,1815.08272636123,8833088.122707725,23915629.34854489
SDN,SDN,280,Sudan,State,coastal_flood_100yr_jrc_2024,268.64469039440155,23488029.045502547,49911281.58073561
SAU,SAU,215,Saudi Arabia,State,coastal_flood_100yr_jrc_2024,35411.97700710708,9328833.826892264,32945916.14528758
EGY,EGY,284,Egypt,State,coastal_flood_100yr_jrc_2024,1106875.889444042,43376419.52835636,114454361.4192514
YEM,YEM,269,Yemen,State,coastal_flood_100yr_jrc_2024,34266.14547959203,18814808.98563314,39572946.35670203
TUN,TUN,248,Tunisia,State,coastal_flood_100yr_jrc_2024,56700.01612716354,3504858.494188296,12116869.540838895
DZA,DZA,4,Algeria,State,coastal_flood_100yr_jrc_2024,152.484000362223,16175632.459756386,45659901.1577073
STP,STP,214,Sao Tome and Principe,State,coastal_flood_100yr_jrc_2024,76.15251863002777,104865.66544531602,216524.5402317532
MDV,MDV,154,Maldives,State,coastal_flood_100yr_jrc_2024,0.0,110809.98496625746,245759.77551621463
TGO,TGO,243,Togo,State,coastal_flood_100yr_jrc_2024,1212.113246607547,4349295.341023058,9364149.79302982
GNQ,GNQ,76,Equatorial Guinea,State,coastal_flood_100yr_jrc_2024,1166.0216491222382,806666.0510012305,1832484.2318274712
CAF,CAF,49,Central African Republic,State,coastal_flood_100yr_jrc_2024,0.0,2937655.690099033,5183525.560837803
NER,NER,181,Niger,State,coastal_flood_100yr_jrc_2024,0.0,14377519.899668785,26753611.39018842
GIN,GIN,106,Guinea,State,coastal_flood_100yr_jrc_2024,21483.34100776492,6960201.42112035,14547361.200268423
SLE,SLE,221,Sierra Leone,State,coastal_flood_100yr_jrc_2024,9832.218979138048,3843305.6299135946,8473084.115281714
GMB,GMB,90,Gambia,State,coastal_flood_100yr_jrc_2024,2666.9147028735456,1288774.4491890026,2698802.3399611125
GNB,GNB,105,Guinea-Bissau,State,coastal_flood_100yr_jrc_2024,2087.422666996717,987242.7783076442,2153080.7494400544
