ISO3,name,ucode,child_population_exposed
KWT,Kuwait,KWT_V1,0.0
LAO,Lao People's Democratic Republic,LAO_V1,1746010.981647055
LBN,Lebanon,LBN_V1,0.0
LBR,Liberia,LBR_V1,0.0
LBY,Libya,LBY_V1,0.0
LCA,Saint Lucia,LCA_V1,27685.07539871417
LIE,Liechtenstein,LIE_V1,0.0
LKA,Sri Lanka,LKA_V1,5924918.883011281
LSO,Lesotho,LSO_V1,0.0
LTU,Lithuania,LTU_V1,0.0
LUX,Luxembourg,LUX_V1,0.0
LVA,Latvia,LVA_V1,0.0
MAR,Morocco,MAR_V1,1.159123132918529E7
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,0.0
MDG,Madagascar,MDG_V1,1.433950027487355E7
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,1.2251441178593459E7
MHL,Marshall Islands,MHL_V1,3768.096495898244
MKD,North Macedonia,MKD_V1,0.0
MLI,Mali,MLI_V1,0.0
MLT,Malta,MLT_V1,0.0
MMR,Myanmar,MMR_V1,1.079316973935672E7
MNE,Montenegro,MNE_V1,0.0
MNG,Mongolia,MNG_V1,0.0
MOZ,Mozambique,MOZ_V1,1.2406711637183733E7
MRT,Mauritania,MRT_V1,86306.40941185296
MUS,Mauritius,MUS_V1,226204.97432321968
MWI,Malawi,MWI_V1,0.0
MYS,Malaysia,MYS_V1,34238.89840010618
NAM,Namibia,NAM_V1,0.0
NER,Niger,NER_V1,0.0
NGA,Nigeria,NGA_V1,0.0
NIC,Nicaragua,NIC_V1,2350507.870668489
NLD,Netherlands,NLD_V1,0.0
NOR,Norway,NOR_V1,0.0
NPL,Nepal,NPL_V1,0.0
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,1048361.8725512377
OMN,Oman,OMN_V1,989692.8853383575
PAK,Pakistan,PAK_V1,2.1918855717720527E7
PAN,Panama,PAN_V1,0.0
PER,Peru,PER_V1,0.0
PHL,Philippines,PHL_V1,3.6452347553351425E7
PLW,Palau,PLW_V1,2571.564498347647
