ISO3,name,ucode,child_population_exposed
KAZ,Kazakhstan,KAZ_V1,4322135.320821865
KEN,Kenya,KEN_V1,1.9625810279607225E7
KGZ,Kyrgyzstan,KGZ_V1,2473125.963002019
KHM,Cambodia,KHM_V1,5857021.751004832
KIR,Kiribati,KIR_V1,0.0
KNA,Saint Kitts and Nevis,KNA_V1,0.0
KOR,Republic of Korea,KOR_V1,6260729.34385571
KWT,Kuwait,KWT_V1,523968.2237291087
LAO,Lao People's Democratic Republic,LAO_V1,2776163.643839478
LBN,Lebanon,LBN_V1,1794593.6101190962
LBR,Liberia,LBR_V1,2458475.5151940566
LBY,Libya,LBY_V1,1763992.7066320693
LCA,Saint Lucia,LCA_V1,0.0
LIE,Liechtenstein,LIE_V1,0.0
LKA,Sri Lanka,LKA_V1,5451142.626880611
LSO,Lesotho,LSO_V1,938905.3423988705
LTU,Lithuania,LTU_V1,568.0476110506328
LUX,Luxembourg,LUX_V1,0.0
LVA,Latvia,LVA_V1,204639.4993874627
MAR,Morocco,MAR_V1,9057512.57809085
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,457329.6901929549
MDG,Madagascar,MDG_V1,1412697.4265988355
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,2.3089874870712996E7
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,372240.5950530576
MLI,Mali,MLI_V1,1.2863575280744202E7
MLT,Malta,MLT_V1,2395.677431591819
MMR,Myanmar,MMR_V1,1.5234350361479232E7
MNE,Montenegro,MNE_V1,120904.44894162432
MNG,Mongolia,MNG_V1,907876.7229231755
MOZ,Mozambique,MOZ_V1,6628445.430953059
MRT,Mauritania,MRT_V1,2459985.8496282874
MUS,Mauritius,MUS_V1,0.0
MWI,Malawi,MWI_V1,9546825.55145589
MYS,Malaysia,MYS_V1,6690697.362533776
NAM,Namibia,NAM_V1,653679.2632223285
NER,Niger,NER_V1,1.4327366795044297E7
NGA,Nigeria,NGA_V1,1.0960907812270658E8
NIC,Nicaragua,NIC_V1,2174159.2957136114
NLD,Netherlands,NLD_V1,0.0
NOR,Norway,NOR_V1,0.0
NPL,Nepal,NPL_V1,1.0235990491614552E7
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,0.0
OMN,Oman,OMN_V1,1037036.0893136514
PAK,Pakistan,PAK_V1,1.0765963023353013E8
PAN,Panama,PAN_V1,957416.9950021186
PER,Peru,PER_V1,9319293.197799195
PHL,Philippines,PHL_V1,2.7352564249250993E7
PLW,Palau,PLW_V1,0.0
PNG,Papua New Guinea,PNG_V1,1593632.783798125
POL,Poland,POL_V1,6089432.915644407
PRK,Democratic People's Republic of Korea,PRK_V1,5150794.205241597
PRT,Portugal,PRT_V1,3260.7891517058015
PRY,Paraguay,PRY_V1,957171.7028939789
PSE,State of Palestine,PSE_V1,2499707.960520808
QAT,Qatar,QAT_V1,284338.02767209354
ROU,Romania,ROU_V1,3310849.5689132046
RUS,Russian Federation,RUS_V1,6405171.714680962
RWA,Rwanda,RWA_V1,6215920.38589847
SAU,Saudi Arabia,SAU_V1,8872770.497048168
SDN,Sudan,SDN_V1,2.303465573796455E7
SEN,Senegal,SEN_V1,7908565.363029254
SGP,Singapore,SGP_V1,577500.0335968873
SLB,Solomon Islands,SLB_V1,0.0
SLE,Sierra Leone,SLE_V1,3612936.5262453365
SLV,El Salvador,SLV_V1,1884209.022653318
SMR,San Marino,SMR_V1,0.0
SOM,Somalia,SOM_V1,3653563.7337284083
SRB,Serbia,SRB_V1,1617179.6427826316
SSD,South Sudan,SSD_V1,5577012.5856834715
STP,Sao Tome and Principe,STP_V1,887.2526031914879
SUR,Suriname,SUR_V1,193771.06570242482
SVK,Slovakia,SVK_V1,910541.9041237475
SVN,Slovenia,SVN_V1,204805.2794033842
SWE,Sweden,SWE_V1,0.0
SWZ,Eswatini,SWZ_V1,385534.03602635127
SYC,Seychelles,SYC_V1,0.0
SYR,Syrian Arab Republic,SYR_V1,8810977.888021007
TCD,Chad,TCD_V1,1.0577237675305413E7
TGO,Togo,TGO_V1,4098225.2044427022
THA,Thailand,THA_V1,766085.584375672
TJK,Tajikistan,TJK_V1,4323189.245043293
TKM,Turkmenistan,TKM_V1,2719677.342747609
TLS,Timor-Leste,TLS_V1,0.0
TON,Tonga,TON_V1,0.0
TTO,Trinidad and Tobago,TTO_V1,71582.23887264065
TUN,Tunisia,TUN_V1,2375611.010255602
TUR,Republic of Türkiye,TUR_V1,2.135429650868391E7
TUV,Tuvalu,TUV_V1,0.0
TZA,United Republic of Tanzania,TZA_V1,2.6985488095164746E7
UGA,Uganda,UGA_V1,2.4540981814865038E7
UKR,Ukraine,UKR_V1,3341555.760096337
URY,Uruguay,URY_V1,5702.026104723875
USA,United States of America,USA_V1,210590.11570860134
UZB,Uzbekistan,UZB_V1,1.2820907288934074E7
VAT,Holy See,VAT_V1,7.025249537299661
VCT,Saint Vincent and the Grenadines,VCT_V1,0.0
VEN,Venezuela,VEN_V1,7856659.55478043
VNM,Viet Nam,VNM_V1,2.404824195482893E7
VUT,Vanuatu,VUT_V1,0.0
WSM,Samoa,WSM_V1,0.0
YEM,Yemen,YEM_V1,1.8080997036468245E7
ZAF,South Africa,ZAF_V1,1.162557599034325E7
ZMB,Zambia,ZMB_V1,1.0113149244222721E7
ZWE,Zimbabwe,ZWE_V1,5949583.253312353
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
