ISO3,name,ucode,child_population_exposed
KWT,Kuwait,KWT_V1,0.0
LAO,Lao People's Democratic Republic,LAO_V1,0.0
LBN,Lebanon,LBN_V1,0.0
LBR,Liberia,LBR_V1,0.0
LBY,Libya,LBY_V1,1770719.4639063787
LCA,Saint Lucia,LCA_V1,0.0
LIE,Liechtenstein,LIE_V1,7111.026556582722
LKA,Sri Lanka,LKA_V1,0.0
LSO,Lesotho,LSO_V1,171431.3974789255
LTU,Lithuania,LTU_V1,496603.720521446
LUX,Luxembourg,LUX_V1,127608.66612787843
LVA,Latvia,LVA_V1,328524.2763361535
MAR,Morocco,MAR_V1,6840873.875673972
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,711867.2095299987
MDG,Madagascar,MDG_V1,0.0
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,294459.1913144754
MHL,Marshall Islands,MHL_V1,0.0
MKD,North Macedonia,MKD_V1,336623.7095299358
MLI,Mali,MLI_V1,0.0
MLT,Malta,MLT_V1,0.0
MMR,Myanmar,MMR_V1,0.0
MNE,Montenegro,MNE_V1,86790.98366541084
MNG,Mongolia,MNG_V1,1282561.5083055142
MOZ,Mozambique,MOZ_V1,5591601.439862746
MRT,Mauritania,MRT_V1,387853.42420900153
MUS,Mauritius,MUS_V1,0.0
MWI,Malawi,MWI_V1,455072.4556885959
MYS,Malaysia,MYS_V1,0.0
NAM,Namibia,NAM_V1,62757.08863888156
NER,Niger,NER_V1,0.0
NGA,Nigeria,NGA_V1,0.0
NIC,Nicaragua,NIC_V1,0.0
NLD,Netherlands,NLD_V1,3159428.7416668297
NOR,Norway,NOR_V1,772967.8414529773
NPL,Nepal,NPL_V1,164309.6863319802
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,36574.663017815095
OMN,Oman,OMN_V1,7008.215059791327
PAK,Pakistan,PAK_V1,3.3652342667085595E7
PAN,Panama,PAN_V1,0.0
PER,Peru,PER_V1,0.0
PHL,Philippines,PHL_V1,0.0
PLW,Palau,PLW_V1,0.0
PNG,Papua New Guinea,PNG_V1,288.02427695691586
POL,Poland,POL_V1,6961914.26327455
PRK,Democratic People's Republic of Korea,PRK_V1,1615455.526462028
PRT,Portugal,PRT_V1,1141159.1044919535
PRY,Paraguay,PRY_V1,19246.02293332498
PSE,State of Palestine,PSE_V1,0.0
QAT,Qatar,QAT_V1,0.0
ROU,Romania,ROU_V1,2744385.335365071
RUS,Russian Federation,RUS_V1,2.9219250378658064E7
RWA,Rwanda,RWA_V1,0.0
SAU,Saudi Arabia,SAU_V1,0.0
SDN,Sudan,SDN_V1,0.0
SEN,Senegal,SEN_V1,77880.39231865336
SGP,Singapore,SGP_V1,0.0
SLB,Solomon Islands,SLB_V1,0.0
SLE,Sierra Leone,SLE_V1,0.0
SLV,El Salvador,SLV_V1,0.0
SMR,San Marino,SMR_V1,570.9289566564246
SOM,Somalia,SOM_V1,0.0
SRB,Serbia,SRB_V1,1616977.369367843
SSD,South Sudan,SSD_V1,0.0
STP,Sao Tome and Principe,STP_V1,0.0
