iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
LBN,LBN,141,Lebanon,State,fire_FRP_nasa_2001-2024,128585.75636454512,1848836.920784989,5712309.3572406
JOR,JOR,130,Jordan,State,fire_FRP_nasa_2001-2024,137645.57137765753,4258481.420526452,11524558.162343549
MAR,MAR,169,Morocco,State,fire_FRP_nasa_2001-2024,698901.3525697902,11603413.342636012,37562571.69452273
SYR,SYR,238,Syrian Arab Republic,State,fire_FRP_nasa_2001-2024,1254839.9855083425,8833088.122707725,23915629.34854489
SDN,SDN,280,Sudan,State,fire_FRP_nasa_2001-2024,1882311.2673138755,23488029.045502547,49911281.58073561
SAU,SAU,215,Saudi Arabia,State,fire_FRP_nasa_2001-2024,252851.8767695891,9328833.826892264,32945916.14528758
EGY,EGY,284,Egypt,State,fire_FRP_nasa_2001-2024,804139.3835498377,43376419.52835636,114454361.4192514
YEM,YEM,269,Yemen,State,fire_FRP_nasa_2001-2024,138667.89472710108,18814808.98563314,39572946.35670203
TUN,TUN,248,Tunisia,State,fire_FRP_nasa_2001-2024,139260.29361624242,3504858.494188296,12116869.540838895
DZA,DZA,4,Algeria,State,fire_FRP_nasa_2001-2024,2291074.1340988628,16175632.459756386,45659901.1577073
STP,STP,214,Sao Tome and Principe,State,fire_FRP_nasa_2001-2024,0.0,104865.66544531602,216524.5402317532
MDV,MDV,154,Maldives,State,fire_FRP_nasa_2001-2024,0.0,110809.98496625746,245759.77551621463
TGO,TGO,243,Togo,State,fire_FRP_nasa_2001-2024,23467.813638270138,4349295.341023058,9364149.79302982
GNQ,GNQ,76,Equatorial Guinea,State,fire_FRP_nasa_2001-2024,0.0,806666.0510012305,1832484.2318274712
CAF,CAF,49,Central African Republic,State,fire_FRP_nasa_2001-2024,34264.538936729754,2937655.690099033,5183525.560837803
NER,NER,181,Niger,State,fire_FRP_nasa_2001-2024,270424.0655827516,14377519.899668785,26753611.39018842
GIN,GIN,106,Guinea,State,fire_FRP_nasa_2001-2024,1730905.39651936,6960201.42112035,14547361.200268423
SLE,SLE,221,Sierra Leone,State,fire_FRP_nasa_2001-2024,1904299.4618982784,3843305.6299135946,8473084.115281714
GMB,GMB,90,Gambia,State,fire_FRP_nasa_2001-2024,212970.1812735447,1288774.4491890026,2698802.3399611125
GNB,GNB,105,Guinea-Bissau,State,fire_FRP_nasa_2001-2024,177390.1393072689,987242.7783076442,2153080.7494400544
MLI,MLI,155,Mali,State,fire_FRP_nasa_2001-2024,699991.0191471662,12888878.856979078,24131568.3998254
GAB,GAB,89,Gabon,State,fire_FRP_nasa_2001-2024,3253.999870143831,1027726.1765308188,2446619.770895445
CPV,CPV,47,Cape Verde,State,fire_FRP_nasa_2001-2024,1920.0089109145545,164827.75995643815,501385.47753986326
CMR,CMR,45,Cameroon,State,fire_FRP_nasa_2001-2024,166158.87176642183,13805317.027192367,28730853.387374736
GHA,GHA,94,Ghana,State,fire_FRP_nasa_2001-2024,241823.0406320943,14409017.928483415,34006944.05067461
BEN,BEN,29,Benin,State,fire_FRP_nasa_2001-2024,200909.62761325,6901106.326111014,14303355.685126474
BFA,BFA,42,Burkina Faso,State,fire_FRP_nasa_2001-2024,407385.3095599819,11452998.510190822,23295771.853971068
MRT,MRT,159,Mauritania,State,fire_FRP_nasa_2001-2024,124689.78690191732,2509836.371586768,5054278.81779694
CIV,CIV,66,Côte d'Ivoire,State,fire_FRP_nasa_2001-2024,120075.05369959334,15023786.89711138,31498460.333327264
LBR,LBR,144,Liberia,State,fire_FRP_nasa_2001-2024,160517.67088117855,2592556.2565637752,5456162.01303268
SEN,SEN,278,Senegal,State,fire_FRP_nasa_2001-2024,577817.705745903,8272207.755110648,18117367.862522725
TCD,TCD,50,Chad,State,fire_FRP_nasa_2001-2024,696265.4275588327,10561736.399399374,19888346.06861138
COD,COD,68,Democratic Republic of the Congo,State,fire_FRP_nasa_2001-2024,3663227.368651258,56381060.83611684,107219316.18813863
NGA,NGA,182,Nigeria,State,fire_FRP_nasa_2001-2024,1784822.3865736087,110644735.8766128,229590634.90543824
CCK,CCK,56,Cocos (Keeling) Islands,Territory,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
MYT,MYT,161,Mayotte,Territory,fire_FRP_nasa_2001-2024,0.0,147634.14469493,277282.4937516196
IOT,IOT,38,Chagos Archipelagio,Territory,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
xUK,xUK,1015,Akrotiri,Territory,fire_FRP_nasa_2001-2024,435.95860363016817,3439.753306853785,22690.938010521924
REU,REU,206,Réunion,Territory,fire_FRP_nasa_2001-2024,6988.712592549533,224537.72307396837,852714.9809319193
COG,COG,59,Congo,State,fire_FRP_nasa_2001-2024,20024.15096980244,2954338.4737682007,6215403.9365353
CXR,CXR,54,Christmas Island,Territory,fire_FRP_nasa_2001-2024,0.0,0.0,811.3838603116517
xFR,xFR,1013,Glorioso Islands,Territory,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
xSR,xSR,216,Scarborough Reef,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
xAP,xAP,15,Arunachal Pradesh,Sovereignty unsettled,fire_FRP_nasa_2001-2024,32019.041955597488,316070.9274903285,978825.6229220572
xAC,xAC,2,Aksai Chin,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,3438.9183999950105,13407.303098457278
xxx,xxx,52,China/India,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.6051669716835022,732.2037546315175,1583.0022750562512
xPI,xPI,193,Paracel Islands,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,86.26219733395412,419.141173358992
xSK,xSK,218,Senkaku Islands,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
xSI,xSI,230,Spratly Islands,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,0.0,0.0
TWN,TWN,288,Taiwan,Special Region or Province,fire_FRP_nasa_2001-2024,58298.05659819499,3323357.063422192,23123129.83152925
MAC,MAC,149,Macao,Special Region or Province,fire_FRP_nasa_2001-2024,0.0,106444.16538303928,588561.0491349165
xJK,xJK,285,Jammu and Kashmir,Sovereignty unsettled,fire_FRP_nasa_2001-2024,89686.47393265215,4724840.357535148,14458474.533882707
HKG,HKG,281,Hong Kong,Special Region or Province,fire_FRP_nasa_2001-2024,2281.047837141263,809855.4847836299,6416595.8426142605
BEL,BEL,27,Belgium,State,fire_FRP_nasa_2001-2024,52863.86751100655,2300217.4732490163,11735678.526262924
LUX,LUX,148,Luxembourg,State,fire_FRP_nasa_2001-2024,259.6053274348378,125880.92999996606,665488.9159145015
BRN,BRN,40,Brunei Darussalam,State,fire_FRP_nasa_2001-2024,758.819469515037,114778.69782310272,452556.379840337
LVA,LVA,140,Latvia,State,fire_FRP_nasa_2001-2024,9651.546644051445,352476.9483869648,1874322.021287544
GBR,GBR,256,United Kingdom of Great Britain & Northern Ireland,State,fire_FRP_nasa_2001-2024,411734.434974995,13833633.36514639,66801101.24706387
SVK,SVK,223,Slovakia,State,fire_FRP_nasa_2001-2024,17891.373267243267,1043138.9547115172,5519415.897061884
SGP,SGP,222,Singapore,State,fire_FRP_nasa_2001-2024,0.0,863181.0494423833,5744095.112007035
FIN,FIN,84,Finland,State,fire_FRP_nasa_2001-2024,2672.9132048298297,991548.9208887324,5481302.3885392025
AUT,AUT,18,Austria,State,fire_FRP_nasa_2001-2024,4011.5045419269904,1562148.624465223,9130651.449956167
LTU,LTU,147,Lithuania,State,fire_FRP_nasa_2001-2024,6172.15673835176,509050.7715009928,2863772.09982621
