iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
BHR,21,Bahrain,State,air_pollution_pm25_1998-2023,134205.3155037452,351169.7106405367,1562977.9903079737
BGD,23,Bangladesh,State,air_pollution_pm25_1998-2023,57724604.88068532,58945359.85490561,172282053.34904954
BGR,41,Bulgaria,State,air_pollution_pm25_1998-2023,1112932.3373677304,1180648.3503514074,6741985.340096511
BIH,34,Bosnia and Herzegovina,State,air_pollution_pm25_1998-2023,515896.40087407257,515900.2682900799,3178220.9781453223
BLR,26,Belarus,State,air_pollution_pm25_1998-2023,1791359.688777938,1792218.359636827,9086125.035881724
BHS,20,Bahamas,State,air_pollution_pm25_1998-2023,50281.291357596165,89010.40666834546,378414.52378583257
BLZ,28,Belize,State,air_pollution_pm25_1998-2023,106903.87746569575,133344.08516904924,403465.63457591634
BRA,37,Brazil,State,air_pollution_pm25_1998-2023,47263984.250496864,49906109.47267371,207339589.87432373
BOL,33,Bolivia (Plurinational State of),State,air_pollution_pm25_1998-2023,4389855.616026407,4394806.995631343,12311327.341311123
BRB,24,Barbados,State,air_pollution_pm25_1998-2023,48188.4860221449,59724.79769552406,271879.1577990625
BRN,40,Brunei Darussalam,State,air_pollution_pm25_1998-2023,79379.90218561693,114778.39665357309,452552.1935456375
CAF,49,Central African Republic,State,air_pollution_pm25_1998-2023,2934119.1755328174,2934123.207042857,5180632.931148907
BWA,35,Botswana,State,air_pollution_pm25_1998-2023,937641.6573633356,937762.2783159384,2460012.0798487505
BTN,31,Bhutan,State,air_pollution_pm25_1998-2023,208366.5742227184,208366.5742227184,789279.2014167488
AUS,17,Australia,State,air_pollution_pm25_1998-2023,3866700.282633191,5528342.114577034,25513813.69843833
CHE,237,Switzerland,State,air_pollution_pm25_1998-2023,1552954.302899743,1593960.8623976891,8906052.082603708
CHL,51,Chile,State,air_pollution_pm25_1998-2023,3989967.78552838,4013981.81805903,19256100.464150906
CHN,53,China,State,air_pollution_pm25_1998-2023,271066942.1424954,279052029.1044772,1408196081.6632087
CIV,66,Côte d'Ivoire,State,air_pollution_pm25_1998-2023,14854215.592157545,15023795.128891729,31498581.02338414
CMR,45,Cameroon,State,air_pollution_pm25_1998-2023,13758851.81143408,13770790.33555219,28665192.916732945
COG,59,Congo,State,air_pollution_pm25_1998-2023,2864137.5744051468,2955038.354785083,6206506.644251352
COM,58,Comoros,State,air_pollution_pm25_1998-2023,164886.3904492443,371458.19433222926,799634.3457163497
COD,68,Democratic Republic of the Congo,State,air_pollution_pm25_1998-2023,54533631.17326286,56518034.82409517,107520679.36553958
CPV,47,Cape Verde,State,air_pollution_pm25_1998-2023,78311.73865114182,164769.3002462379,500529.7018722176
COL,57,Colombia,State,air_pollution_pm25_1998-2023,12998934.941192873,13013575.106477208,52128715.14884685
CYP,64,Cyprus,State,air_pollution_pm25_1998-2023,188459.1661494802,253506.5784821285,1306885.8992871277
CRI,61,Costa Rica,State,air_pollution_pm25_1998-2023,1167876.5282166195,1191440.431202106,5097139.791024169
CZE,65,Czechia,State,air_pollution_pm25_1998-2023,2026392.149701571,2026392.149701571,10797115.170909977
CUB,279,Cuba,State,air_pollution_pm25_1998-2023,1997993.0086441,2038204.995428952,10901386.021685028
DJI,70,Djibouti,State,air_pollution_pm25_1998-2023,161140.22994624235,409779.4402882336,1121101.3562784237
DEU,93,Germany,State,air_pollution_pm25_1998-2023,14009363.31910396,14040926.585459478,84390700.88974392
DMA,289,Dominica,State,air_pollution_pm25_1998-2023,11159.991377966182,14440.4033222003,58363.58971034234
DNK,69,Denmark,State,air_pollution_pm25_1998-2023,945594.4858859353,1128654.178546772,5805348.825645145
DOM,72,Dominican Republic,State,air_pollution_pm25_1998-2023,3424112.73434358,3626137.5981383873,11247326.528267344
ECU,73,Ecuador,State,air_pollution_pm25_1998-2023,5364714.849824366,5412111.231325219,17981501.774913546
DZA,4,Algeria,State,air_pollution_pm25_1998-2023,15838484.729869558,16139589.60339114,45535929.88414952
EGY,284,Egypt,State,air_pollution_pm25_1998-2023,43061071.04723869,43437953.59144933,114593975.80522698
ERI,77,Eritrea,State,air_pollution_pm25_1998-2023,1427511.707960526,1606584.4996666152,3486964.7724528024
ESP,229,Spain,State,air_pollution_pm25_1998-2023,6350880.266851522,7175342.6927733375,44022725.33000858
FIN,84,Finland,State,air_pollution_pm25_1998-2023,893130.2947538279,991544.3611350833,5481231.60395948
ETH,79,Ethiopia,State,air_pollution_pm25_1998-2023,59658065.42963181,60017167.317169525,130475844.22602253
EST,78,Estonia,State,air_pollution_pm25_1998-2023,255523.83833075195,264505.7840974989,1355890.3274222582
FRA,85,France,State,air_pollution_pm25_1998-2023,13159923.537916023,13295576.59134766,65600105.08885808
FSM,163,Micronesia (Federated States of),State,air_pollution_pm25_1998-2023,0.0,33224.54389970843,96612.12793625303
FJI,276,Fiji,State,air_pollution_pm25_1998-2023,190340.2627712,294958.4864608859,881256.9404341856
GBR,256,United Kingdom of Great Britain & Northern Ireland,State,air_pollution_pm25_1998-2023,13502711.414513173,13876627.771307765,67081011.07342319
GAB,89,Gabon,State,air_pollution_pm25_1998-2023,982183.812318994,1061384.3246983562,2481901.429977897
GIN,106,Guinea,State,air_pollution_pm25_1998-2023,6946318.077074149,6962287.36771465,14521541.651037283
GMB,90,Gambia,State,air_pollution_pm25_1998-2023,1230834.998383052,1289237.894744835,2704730.2334902566
GEO,92,Georgia,State,air_pollution_pm25_1998-2023,935033.7126538598,936649.800456076,3789540.2679977566
GHA,94,Ghana,State,air_pollution_pm25_1998-2023,13379517.852497056,14402609.60914621,33944101.02159335
GRD,99,Grenada,State,air_pollution_pm25_1998-2023,16500.211773742296,26597.016812792004,103446.63029357528
GNQ,76,Equatorial Guinea,State,air_pollution_pm25_1998-2023,775227.2218714897,808399.358870398,1834492.347763331
GNB,105,Guinea-Bissau,State,air_pollution_pm25_1998-2023,773421.575024617,991855.9531200428,2159573.759235356
HND,111,Honduras,State,air_pollution_pm25_1998-2023,3901160.348122723,3943858.633544406,10680596.343706677
GUY,107,Guyana,State,air_pollution_pm25_1998-2023,222036.39772732867,281356.9749974066,806516.1305592475
GRC,97,Greece,State,air_pollution_pm25_1998-2023,1453735.1372929914,1614944.8978723926,9640961.847937165
GTM,103,Guatemala,State,air_pollution_pm25_1998-2023,6942518.772784061,6957737.932168799,18248624.36506566
HUN,113,Hungary,State,air_pollution_pm25_1998-2023,1697607.485187399,1702871.456354855,9688358.543239586
HTI,108,Haiti,State,air_pollution_pm25_1998-2023,4290684.112236479,4369564.049571165,11561678.239898574
HRV,62,Croatia,State,air_pollution_pm25_1998-2023,653866.0682946993,663754.4829499392,3787648.900208083
IND,115,India,State,air_pollution_pm25_1998-2023,424744422.74664587,429150837.0347463,1424016519.1033232
IRN,117,Iran (Islamic Republic of),State,air_pollution_pm25_1998-2023,23896311.36690625,24294847.97922197,90460500.98066571
IRL,119,Ireland,State,air_pollution_pm25_1998-2023,1058522.636923216,1175298.1726323552,5126029.325195856
IRQ,118,Iraq,State,air_pollution_pm25_1998-2023,19684959.459036805,19703403.363175876,45558484.665153936
ISR,121,Israel,State,air_pollution_pm25_1998-2023,2526603.385536225,2536958.630299905,9132753.896187162
IDN,272,Indonesia,State,air_pollution_pm25_1998-2023,74376971.82543787,81336242.80827138,274194497.692384
ISL,114,Iceland,State,air_pollution_pm25_1998-2023,51284.07506661691,83771.06825152114,373316.9137436817
ITA,122,Italy,State,air_pollution_pm25_1998-2023,8154734.447057444,8867068.845870716,58822714.11049495
JAM,123,Jamaica,State,air_pollution_pm25_1998-2023,652347.7358228881,670183.368410588,2793799.338805232
JOR,130,Jordan,State,air_pollution_pm25_1998-2023,4258511.621413205,4258511.621413205,11523987.80478274
JPN,126,Japan,State,air_pollution_pm25_1998-2023,14986104.314077778,17150403.38074865,120698048.04212923
KAZ,132,Kazakhstan,State,air_pollution_pm25_1998-2023,6955689.628515213,7013864.848751672,20544135.467350338
KEN,133,Kenya,State,air_pollution_pm25_1998-2023,23694958.916227885,24625532.74676259,55527033.47588344
KGZ,138,Kyrgyzstan,State,air_pollution_pm25_1998-2023,2662344.060085784,2689821.243125588,7128243.330953766
KHM,44,Cambodia,State,air_pollution_pm25_1998-2023,5940296.417683665,6211092.529221759,17474540.400970142
KWT,137,Kuwait,State,air_pollution_pm25_1998-2023,522939.6209546091,1065069.932155687,4806398.575371386
KIR,135,Kiribati,State,air_pollution_pm25_1998-2023,181.1780459505086,47860.0387403717,69139.46460305456
KNA,208,Saint Kitts and Nevis,State,air_pollution_pm25_1998-2023,5176.849925625594,10339.276502371737,42147.38899991664
LBN,141,Lebanon,State,air_pollution_pm25_1998-2023,1848417.4200268,1848615.762826691,5710221.290856774
LAO,139,Lao People's Democratic Republic,State,air_pollution_pm25_1998-2023,2793566.018676616,2799986.696374424,7773182.864683836
LBR,144,Liberia,State,air_pollution_pm25_1998-2023,2589226.7482266347,2595882.198157564,5503269.313599072
LBY,145,Libya,State,air_pollution_pm25_1998-2023,2264039.524597555,2369493.490321165,7084741.747273151
KOR,202,Republic of Korea,State,air_pollution_pm25_1998-2023,6404196.633754852,6896494.420032748,51290326.88351894
LIE,146,Liechtenstein,State,air_pollution_pm25_1998-2023,6875.375215402418,6875.375215402418,39265.798917740125
LCA,209,Saint Lucia,State,air_pollution_pm25_1998-2023,29343.976515078968,38966.40784049173,173094.362651723
LKA,231,Sri Lanka,State,air_pollution_pm25_1998-2023,5597947.244880299,6180127.650252735,22673393.6513328
LSO,142,Lesotho,State,air_pollution_pm25_1998-2023,953829.4465429004,953829.4465429004,2322762.20800154
LUX,148,Luxembourg,State,air_pollution_pm25_1998-2023,125867.0302164336,125867.0302164336,665461.0224727879
LVA,140,Latvia,State,air_pollution_pm25_1998-2023,349724.45535756566,352447.4739531807,1873820.8873327945
LTU,147,Lithuania,State,air_pollution_pm25_1998-2023,508279.826901632,509385.6883266349,2866930.8639708417
MCO,166,Monaco,State,air_pollution_pm25_1998-2023,0.0,5178.621745262308,24716.447033930755
MAR,169,Morocco,State,air_pollution_pm25_1998-2023,11540489.283607308,11626168.77165228,37655880.82746978
MDV,154,Maldives,State,air_pollution_pm25_1998-2023,4.863451217582412,59349.66565709454,163271.1006168642
MDA,165,Moldova,State,air_pollution_pm25_1998-2023,714902.8831512461,714905.6482122904,3053511.398903851
MKD,241,North Macedonia,State,air_pollution_pm25_1998-2023,372072.9239721354,372434.5531768669,1828061.7942779767
MHL,157,Marshall Islands,State,air_pollution_pm25_1998-2023,0.0,14173.83942979302,15824.26651432398
MDG,150,Madagascar,State,air_pollution_pm25_1998-2023,12932278.602238962,14049899.752839388,30747097.794693783
MLT,156,Malta,State,air_pollution_pm25_1998-2023,32473.92585753277,82027.04247281347,521203.7170215886
MEX,162,Mexico,State,air_pollution_pm25_1998-2023,38118207.40695568,38372191.92413434,128401422.60932018
MLI,155,Mali,State,air_pollution_pm25_1998-2023,12871433.115001108,12887973.337785391,24125255.446502432
MNE,2647,Montenegro,State,air_pollution_pm25_1998-2023,137307.90075040085,138273.13204878976,622926.3984072178
MMR,273,Myanmar,State,air_pollution_pm25_1998-2023,15498345.357337955,15614932.645745546,53615227.438729495
MNG,167,Mongolia,State,air_pollution_pm25_1998-2023,1281570.432814808,1283535.6980812473,3451239.787931378
MOZ,170,Mozambique,State,air_pollution_pm25_1998-2023,16122639.832007425,17344887.783022903,33765765.03042519
MRT,159,Mauritania,State,air_pollution_pm25_1998-2023,2465858.8026695256,2509825.9873942845,5054053.02165273
MWI,152,Malawi,State,air_pollution_pm25_1998-2023,9570785.23001458,10332558.442614015,21364800.04979633
MUS,160,Mauritius,State,air_pollution_pm25_1998-2023,163211.63842587784,241168.6401741304,1248863.3642199
NAM,172,Namibia,State,air_pollution_pm25_1998-2023,1267636.9219868367,1268276.2367407663,2949995.5281335344
NER,181,Niger,State,air_pollution_pm25_1998-2023,14400380.534801006,14400380.534801004,26793747.33668633
MYS,153,Malaysia,State,air_pollution_pm25_1998-2023,8404933.725789836,9337446.095826345,34831578.590280674
NGA,182,Nigeria,State,air_pollution_pm25_1998-2023,109494921.5217974,110642672.82595986,229602955.22762072
NIC,180,Nicaragua,State,air_pollution_pm25_1998-2023,2311490.0851982804,2382957.4848574656,6844251.065995058
NOR,186,Norway,State,air_pollution_pm25_1998-2023,881338.4406828961,1020161.175198474,5140728.735529602
NRU,173,Nauru,State,air_pollution_pm25_1998-2023,0.0,5059.941487204168,8613.227694908777
NPL,175,Nepal,State,air_pollution_pm25_1998-2023,10250179.137424326,10250380.76052714,29642061.05948545
NLD,177,Netherlands,State,air_pollution_pm25_1998-2023,3277629.8760065697,3317680.644660952,18029909.14211523
OMN,187,Oman,State,air_pollution_pm25_1998-2023,1041533.1225782376,1426698.4030115115,5015295.953208735
PAK,188,Pakistan,State,air_pollution_pm25_1998-2023,107727234.37492904,107779127.4822447,248748128.7174384
PAN,191,Panama,State,air_pollution_pm25_1998-2023,1259526.8035716969,1320561.909545777,4412833.490769271
PER,195,Peru,State,air_pollution_pm25_1998-2023,9859058.334432146,9874602.15450758,33712165.25763947
CAN,46,Canada,State,air_pollution_pm25_1998-2023,6879878.536941018,7173034.415601475,38864323.06922447
PLW,189,Palau,State,air_pollution_pm25_1998-2023,0.0,3711.195883749523,12098.356533180977
PNG,274,Papua New Guinea,State,air_pollution_pm25_1998-2023,3308330.2554160147,3771705.4209643006,9642352.64026671
POL,198,Poland,State,air_pollution_pm25_1998-2023,6936770.889965882,6980330.991230042,38556859.43418746
PHL,275,Philippines,State,air_pollution_pm25_1998-2023,30432099.34549654,38920920.68168254,111747457.38693188
PRY,194,Paraguay,State,air_pollution_pm25_1998-2023,2342568.4098842503,2361024.731337233,7007412.950467329
PRK,67,Democratic People's Republic of Korea,State,air_pollution_pm25_1998-2023,5344738.559026148,5968303.7754671965,26296509.18734705
PRT,199,Portugal,State,air_pollution_pm25_1998-2023,1483117.7347271782,1561451.1712607562,9846609.236506822
QAT,201,Qatar,State,air_pollution_pm25_1998-2023,284377.87288039457,525150.8330377394,3007344.2949948334
PSE,3000,State of Palestine,State,air_pollution_pm25_1998-2023,2443002.4778768634,2443377.101390832,5402734.348390189
RWA,205,Rwanda,State,air_pollution_pm25_1998-2023,6245930.872546429,6267135.85694935,14097780.61437473
ROU,203,Romania,State,air_pollution_pm25_1998-2023,3596846.123683141,3678230.56968678,19057570.685911324
