iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
TLS,TLS,242,Timor-Leste,State,drought_spei_copernicus_1940-2024,163817.61676608876,565995.9888864048,1365395.355152788
KEN,KEN,133,Kenya,State,drought_spei_copernicus_1940-2024,3834962.243504851,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,drought_spei_copernicus_1940-2024,572399.394653822,7424701.040917176,45709518.59673531
PRT,PRT,199,Portugal,State,drought_spei_copernicus_1940-2024,6345.0242863501735,1624803.0371882406,10228127.387623696
THA,THA,240,Thailand,State,drought_spei_copernicus_1940-2024,3929426.8231167495,13243611.66919859,71288672.25113598
ALB,ALB,3,Albania,State,drought_spei_copernicus_1940-2024,57967.48096240864,574511.4808340942,2783425.0836327416
MKD,MKD,241,North Macedonia,State,drought_spei_copernicus_1940-2024,8805.373219339797,372490.5697058588,1828061.161859414
GRC,GRC,97,Greece,State,drought_spei_copernicus_1940-2024,86885.5773859769,1654436.3195682033,9904165.152781531
AUS,AUS,17,Australia,State,drought_spei_copernicus_1940-2024,1688636.713917314,5499542.0350664165,25397473.732017536
UGA,UGA,253,Uganda,State,drought_spei_copernicus_1940-2024,1208495.3775792497,25134625.61854001,49341903.8205682
RWA,RWA,205,Rwanda,State,drought_spei_copernicus_1940-2024,0.0,6275485.638842308,14114278.491264649
COM,COM,58,Comoros,State,drought_spei_copernicus_1940-2024,0.0,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,drought_spei_copernicus_1940-2024,0.0,492725.3372446519,1234802.3254113812
TUR,TUR,249,Republic of Türkiye,State,drought_spei_copernicus_1940-2024,2831556.53351265,22276770.081133075,85409189.03409901
MWI,MWI,152,Malawi,State,drought_spei_copernicus_1940-2024,516918.8364607863,10359088.198783088,21411324.39606215
SSD,SSD,287,South Sudan,State,drought_spei_copernicus_1940-2024,102305.59944840694,5565488.362447016,11783073.744321762
ZMB,ZMB,270,Zambia,State,drought_spei_copernicus_1940-2024,1660201.4454086449,10234008.09204713,21039446.984683145
ZAF,ZAF,227,South Africa,State,drought_spei_copernicus_1940-2024,1694682.8113194257,19655007.770259347,63190561.02224362
