ISO3,name,ucode,child_population_exposed
JPN,Japan,JPN_V1,1.5231916858079055E7
KAZ,Kazakhstan,KAZ_V1,855743.4551656203
KEN,Kenya,KEN_V1,2.4148180838811662E7
KGZ,Kyrgyzstan,KGZ_V1,171498.8110813816
KHM,Cambodia,KHM_V1,5096287.746684956
KIR,Kiribati,KIR_V1,1564.9872967011784
KNA,Saint Kitts and Nevis,KNA_V1,0.0
KOR,Republic of Korea,KOR_V1,945522.6562887384
KWT,Kuwait,KWT_V1,4345.70966782327
LAO,Lao People's Democratic Republic,LAO_V1,1949855.5314064228
LBN,Lebanon,LBN_V1,1476739.3198121856
LBR,Liberia,LBR_V1,406331.5688553776
LBY,Libya,LBY_V1,1726045.3145699846
LCA,Saint Lucia,LCA_V1,0.0
LIE,Liechtenstein,LIE_V1,3110.7567988531114
LKA,Sri Lanka,LKA_V1,5764076.709490324
LSO,Lesotho,LSO_V1,327190.563206555
LTU,Lithuania,LTU_V1,0.0
LUX,Luxembourg,LUX_V1,0.0
LVA,Latvia,LVA_V1,0.0
MAR,Morocco,MAR_V1,152250.5815061601
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,403423.65399496997
MDG,Madagascar,MDG_V1,5875207.558103948
MDV,Maldives,MDV_V1,0.0
MEX,Mexico,MEX_V1,1.929403348931319E7
MHL,Marshall Islands,MHL_V1,3736.2593557550927
MKD,North Macedonia,MKD_V1,71661.08175568072
MLI,Mali,MLI_V1,1.225402006284838E7
MLT,Malta,MLT_V1,0.0
MMR,Myanmar,MMR_V1,3209777.264763419
MNE,Montenegro,MNE_V1,123.8469898113433
MNG,Mongolia,MNG_V1,1157687.718227388
MOZ,Mozambique,MOZ_V1,8312742.22461175
MRT,Mauritania,MRT_V1,1379185.8806574447
MUS,Mauritius,MUS_V1,197772.3509333459
MWI,Malawi,MWI_V1,9689171.855896428
MYS,Malaysia,MYS_V1,7748207.138770899
NAM,Namibia,NAM_V1,345.1808602805322
NER,Niger,NER_V1,1.3597590555939978E7
NGA,Nigeria,NGA_V1,5.821854247749237E7
NIC,Nicaragua,NIC_V1,1122378.9647100547
NLD,Netherlands,NLD_V1,0.0
NOR,Norway,NOR_V1,0.0
NPL,Nepal,NPL_V1,8300927.167752007
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,987888.0559131235
OMN,Oman,OMN_V1,1165791.1717477848
PAK,Pakistan,PAK_V1,1.0738779543878715E8
PAN,Panama,PAN_V1,161100.70554854957
PER,Peru,PER_V1,8856781.868875302
PHL,Philippines,PHL_V1,1.506376139258448E7
PLW,Palau,PLW_V1,2201.030705654684
PNG,Papua New Guinea,PNG_V1,1485640.7375353891
POL,Poland,POL_V1,421862.6769635222
PRK,Democratic People's Republic of Korea,PRK_V1,5190826.061645695
PRT,Portugal,PRT_V1,3.9677259943564422
PRY,Paraguay,PRY_V1,1703386.1709548773
PSE,State of Palestine,PSE_V1,2500155.507208631
QAT,Qatar,QAT_V1,93624.22430802678
ROU,Romania,ROU_V1,1154349.9541237415
RUS,Russian Federation,RUS_V1,4277473.588580884
RWA,Rwanda,RWA_V1,5143503.156275828
SAU,Saudi Arabia,SAU_V1,7982392.828610471
SDN,Sudan,SDN_V1,2.272803787530344E7
SEN,Senegal,SEN_V1,7961983.941242654
SGP,Singapore,SGP_V1,862000.1816723318
SLB,Solomon Islands,SLB_V1,249570.46448291448
SLE,Sierra Leone,SLE_V1,1296957.6223695013
SLV,El Salvador,SLV_V1,73621.1821372784
SMR,San Marino,SMR_V1,0.0
SOM,Somalia,SOM_V1,5466815.451953507
SRB,Serbia,SRB_V1,1024176.7659504586
SSD,South Sudan,SSD_V1,3426481.7251145267
STP,Sao Tome and Principe,STP_V1,56575.46857895827
SUR,Suriname,SUR_V1,128729.67205023453
SVK,Slovakia,SVK_V1,887721.3339400789
SVN,Slovenia,SVN_V1,358108.36145476636
SWE,Sweden,SWE_V1,0.0
SWZ,Eswatini,SWZ_V1,490369.3484614739
SYC,Seychelles,SYC_V1,18240.964619777762
SYR,Syrian Arab Republic,SYR_V1,3048389.027690327
TCD,Chad,TCD_V1,9888637.408213826
TGO,Togo,TGO_V1,3817172.9471127754
THA,Thailand,THA_V1,264213.2213395032
TJK,Tajikistan,TJK_V1,235038.86093391638
TKM,Turkmenistan,TKM_V1,75615.7106843796
TLS,Timor-Leste,TLS_V1,220955.8424607341
TON,Tonga,TON_V1,30686.190170400994
TTO,Trinidad and Tobago,TTO_V1,162388.74231457422
TUN,Tunisia,TUN_V1,14887.617039634846
TUR,Republic of Türkiye,TUR_V1,1.2723474180237727E7
TUV,Tuvalu,TUV_V1,471.4222945360941
TZA,United Republic of Tanzania,TZA_V1,3.3060728451775886E7
UGA,Uganda,UGA_V1,1.832006261863729E7
