child_population_exposed,adm0_ucode,level,ucode,child_population_total
0.0,AFG_V1,2,AFG_0008_0004_V1,66759.88982593943
0.0,AFG_V1,2,AFG_0008_0014_V1,44556.4928965741
0.0,AFG_V1,2,AFG_0008_0009_V1,48931.50345683671
0.0,AFG_V1,2,AFG_0008_0013_V1,119902.13508762854
0.0,AFG_V1,2,AFG_0008_0006_V1,46616.2207900443
0.0,AFG_V1,2,AFG_0008_0001_V1,170715.020335063
0.0,AFG_V1,2,AFG_0008_0005_V1,66476.94917558513
0.0,AFG_V1,2,AFG_0008_0011_V1,66499.44139996148
0.0,AFG_V1,2,AFG_0008_0012_V1,45270.83199352459
0.0,AFG_V1,2,AFG_0008_0010_V1,10287.944979805308
0.0,AFG_V1,2,AFG_0008_0007_V1,73046.65803975258
0.0,AFG_V1,2,AFG_0008_0003_V1,18632.42873513658
0.0,AFG_V1,2,AFG_0008_0002_V1,46135.32166495903
0.0,AFG_V1,2,AFG_0008_0008_V1,9542.27134292832
0.0,AFG_V1,2,AFG_0009_0005_V1,134100.02648612938
0.0,AFG_V1,2,AFG_0009_0018_V1,44259.34491672177
0.0,AFG_V1,2,AFG_0009_0016_V1,72031.46895946017
0.0,AFG_V1,2,AFG_0009_0014_V1,115608.09216246405
0.0,AFG_V1,2,AFG_0009_0019_V1,22149.55302659881
0.0,AFG_V1,2,AFG_0009_0002_V1,26748.77802652798
0.0,AFG_V1,2,AFG_0009_0009_V1,5776.327161363527
0.0,AFG_V1,2,AFG_0009_0001_V1,30471.9319855683
0.0,AFG_V1,2,AFG_0009_0010_V1,64183.80483268254
0.0,AFG_V1,2,AFG_0009_0011_V1,41868.47192423075
0.0,AFG_V1,2,AFG_0009_0008_V1,35988.17024333857
0.0,AFG_V1,2,AFG_0009_0006_V1,131088.38302156888
0.0,AFG_V1,2,AFG_0009_0003_V1,32702.62016671042
0.0,AFG_V1,2,AFG_0009_0004_V1,19436.934579409102
0.0,AFG_V1,2,AFG_0009_0012_V1,3620.163155144687
0.0,AFG_V1,2,AFG_0009_0017_V1,24169.40046439302
0.0,AFG_V1,2,AFG_0009_0007_V1,16467.659682019847
0.0,AFG_V1,2,AFG_0009_0013_V1,92437.97143907736
0.0,AFG_V1,2,AFG_0009_0015_V1,18555.89361725836
0.0,AFG_V1,2,AFG_0010_0006_V1,62199.24879609247
0.0,AFG_V1,2,AFG_0010_0010_V1,23366.70219983073
0.0,AFG_V1,2,AFG_0010_0002_V1,22854.12607263584
0.0,AFG_V1,2,AFG_0010_0005_V1,73276.3210584056
0.0,AFG_V1,2,AFG_0010_0009_V1,102472.47067559576
0.0,AFG_V1,2,AFG_0010_0004_V1,35504.1493295652
0.0,AFG_V1,2,AFG_0010_0007_V1,24160.47844039412
0.0,AFG_V1,2,AFG_0010_0001_V1,39546.72254243967
0.0,AFG_V1,2,AFG_0010_0003_V1,17378.428815691732
0.0,AFG_V1,2,AFG_0010_0008_V1,64658.68946004733
0.0,AFG_V1,2,AFG_0011_0008_V1,24910.890515105213
0.0,AFG_V1,2,AFG_0011_0013_V1,79360.96211638968
0.0,AFG_V1,2,AFG_0011_0002_V1,31838.729934836207
0.0,AFG_V1,2,AFG_0011_0004_V1,124905.2907115926
0.0,AFG_V1,2,AFG_0011_0003_V1,82894.53247183365
0.0,AFG_V1,2,AFG_0011_0009_V1,25086.62305207076
0.0,AFG_V1,2,AFG_0011_0010_V1,24104.675241834502
0.0,AFG_V1,2,AFG_0011_0001_V1,16550.619611362938
0.0,AFG_V1,2,AFG_0011_0012_V1,65908.7102225213
0.0,AFG_V1,2,AFG_0011_0011_V1,175728.1068519128
0.0,AFG_V1,2,AFG_0011_0005_V1,138652.92046541517
0.0,AFG_V1,2,AFG_0011_0007_V1,153706.75605162847
0.0,AFG_V1,2,AFG_0011_0006_V1,125325.85162751692
0.0,AFG_V1,2,AFG_0012_0007_V1,123420.7094336905
0.0,AFG_V1,2,AFG_0012_0011_V1,61546.19396855321
0.0,AFG_V1,2,AFG_0012_0013_V1,64024.89675109372
0.0,AFG_V1,2,AFG_0012_0004_V1,516392.20011853584
0.0,AFG_V1,2,AFG_0012_0001_V1,48078.32870585787
0.0,AFG_V1,2,AFG_0012_0008_V1,55347.12038442703
0.0,AFG_V1,2,AFG_0012_0014_V1,91739.37891426274
0.0,AFG_V1,2,AFG_0012_0016_V1,49814.70029344033
0.0,AFG_V1,2,AFG_0012_0012_V1,13321.41440155582
0.0,AFG_V1,2,AFG_0012_0005_V1,40334.28888186181
0.0,AFG_V1,2,AFG_0012_0002_V1,83662.65017658343
0.0,AFG_V1,2,AFG_0012_0003_V1,143764.10662289787
0.0,AFG_V1,2,AFG_0012_0006_V1,101323.7112750482
0.0,AFG_V1,2,AFG_0012_0009_V1,121176.2458616486
0.0,AFG_V1,2,AFG_0012_0015_V1,19874.395947712303
0.0,AFG_V1,2,AFG_0012_0010_V1,157602.13493444177
0.0,AFG_V1,2,AFG_0013_0004_V1,9728.982859318514
0.0,AFG_V1,2,AFG_0013_0002_V1,19892.345563434268
0.0,AFG_V1,2,AFG_0013_0011_V1,68709.03052330259
0.0,AFG_V1,2,AFG_0013_0010_V1,13823.007463259062
0.0,AFG_V1,2,AFG_0013_0007_V1,15534.778526943805
0.0,AFG_V1,2,AFG_0013_0006_V1,10090.556568886435
0.0,AFG_V1,2,AFG_0013_0005_V1,13740.314365527944
0.0,AFG_V1,2,AFG_0013_0003_V1,5800.993876352816
0.0,AFG_V1,2,AFG_0013_0001_V1,17609.637300993738
0.0,AFG_V1,2,AFG_0013_0008_V1,10018.135575085556
0.0,AFG_V1,2,AFG_0013_0009_V1,26959.93183124584
0.0,AFG_V1,2,AFG_0014_0007_V1,12038.885213939404
0.0,AFG_V1,2,AFG_0014_0008_V1,49864.01459490336
0.0,AFG_V1,2,AFG_0014_0004_V1,23923.9580952271
0.0,AFG_V1,2,AFG_0014_0013_V1,51463.594420549416
0.0,AFG_V1,2,AFG_0014_0001_V1,46249.5922214052
0.0,AFG_V1,2,AFG_0014_0012_V1,111503.9436807446
0.0,AFG_V1,2,AFG_0014_0005_V1,79611.21679519376
0.0,AFG_V1,2,AFG_0014_0010_V1,17278.14559423877
0.0,AFG_V1,2,AFG_0014_0003_V1,17536.5504862423
0.0,AFG_V1,2,AFG_0014_0014_V1,28268.18896601552
0.0,AFG_V1,2,AFG_0014_0011_V1,25957.19284736853
0.0,AFG_V1,2,AFG_0014_0002_V1,41999.241874652864
0.0,AFG_V1,2,AFG_0014_0015_V1,60894.13188559682
0.0,AFG_V1,2,AFG_0014_0006_V1,19666.35784864176
0.0,AFG_V1,2,AFG_0014_0009_V1,2713575.014966913
0.0,AFG_V1,2,AFG_0015_0007_V1,58598.96661428936
0.0,AFG_V1,2,AFG_0015_0009_V1,505100.4548175048
0.0,AFG_V1,2,AFG_0015_0013_V1,3895.759645361453
0.0,AFG_V1,2,AFG_0015_0006_V1,112201.1105743462
0.0,AFG_V1,2,AFG_0015_0015_V1,64526.56577319825
0.0,AFG_V1,2,AFG_0015_0012_V1,31579.861560186582
0.0,AFG_V1,2,AFG_0015_0016_V1,29625.90460251317
0.0,AFG_V1,2,AFG_0015_0008_V1,13916.847838004864
0.0,AFG_V1,2,AFG_0015_0001_V1,5637.634034418534
0.0,AFG_V1,2,AFG_0015_0002_V1,79951.17585600649
0.0,AFG_V1,2,AFG_0015_0010_V1,27855.250870962893
0.0,AFG_V1,2,AFG_0015_0003_V1,78269.9417521994
0.0,AFG_V1,2,AFG_0015_0005_V1,10846.982592717952
0.0,AFG_V1,2,AFG_0015_0014_V1,7815.406642912532
0.0,AFG_V1,2,AFG_0015_0004_V1,4381.893910740111
0.0,AFG_V1,2,AFG_0015_0011_V1,7265.00955796976
0.0,AFG_V1,2,AFG_0016_0006_V1,24160.36852695031
0.0,AFG_V1,2,AFG_0016_0002_V1,14948.39344915929
0.0,AFG_V1,2,AFG_0016_0003_V1,69145.03838850341
