ucode,max,mean,median,min
ATA_V1,,,,
AIA_V1,,,,
ESH_V1,22.101999282836918,1.406610867495348,0.9358141175064608,0.1000000014901161
PYF_V1,,,,
PYF1_V1,,,,
NCL_V1,,,,
BMU_V1,,,,
GIB_V1,2.052999973297119,0.6056793085505777,0.2479999959468841,0.1030000001192092
VGB_V1,,,,
CYM_V1,,,,
FLK_V1,,,,
MSR_V1,,,,
PCN_V1,,,,
SHN1_V1,,,,
SHN3_V1,,,,
SHN2_V1,,,,
SHN_V1,,,,
TKL_V1,,,,
TCA_V1,,,,
ASM_V1,,,,
GUM_V1,,,,
VIR_V1,,,,
GRL_V1,168.7899932861328,4.9662089637418045,1.1480696459009188,0.1000000014901161
EGY1_V1,1.0,1.0,1.0,1.0
xAP_V1,136.84300231933594,13.342416893904042,8.515725256935019,0.1000000014901161
xSK_V1,,,,
xRI_V1,,,,
SDN1_V1,1.569000005722046,0.9969607950596568,1.0,0.1689999997615814
SSD1_V1,4.056000232696533,0.7798114952020878,1.0000073245441634,0.1000000014901161
xAB_V1,4.429999828338623,0.946098811277379,0.9221267980916416,0.1000000014901161
xAC_V1,52.54199981689453,1.232585290128059,1.0178371183659187,0.1000000014901161
xJK_V1,103.35800170898438,4.3343678433657535,1.7398648304173487,0.1000000014901161
xJL_V1,,,,
xPI_V1,,,,
xSI_V1,,,,
xSR_V1,,,,
xxx_V1,33.564998626708984,2.5703733781467144,1.8764515202101544,0.101000003516674
MAC_V1,10.388999938964844,5.302369918270199,5.488999843597412,0.289000004529953
HKG_V1,5.105999946594238,3.2040229293898244,3.494013993920332,0.1000000014901161
TWN_V1,120.4469985961914,3.612515362300569,2.246798651592193,0.1000000014901161
AFG_V1,139.56900024414062,2.0092761170173605,1.4055414851389116,0.1000000014901161
AGO_V1,70.22000122070312,3.9377317778455305,1.1109246724007922,0.1000000014901161
ALB_V1,59.32500076293945,2.204815799013471,1.426835569601664,0.1000000014901161
AND_V1,,,,
ARE_V1,25.10400009155273,2.038585883840724,1.1861709549974344,0.1000000014901161
ARG_V1,80.60399627685547,1.982344051092408,1.1389562616495044,0.1000000014901161
ARM_V1,69.46299743652344,1.3290602687394435,1.0191629146553958,0.1000000014901161
ATG_V1,,,,
AUS_V1,92.90799713134766,1.723487084640849,1.2080661618639452,0.1000000014901161
AUT_V1,54.87200164794922,3.116775766092165,1.6201841276212277,0.1000000014901161
AZE_V1,31.47599983215332,1.1607513554702058,0.9359224925158148,0.1000000014901161
BDI_V1,23.24099922180176,1.333849843102392,1.000610449360145,0.1000000014901161
BEL_V1,20.64900016784668,2.455469063751988,1.5591976446131426,0.1000000014901161
BEN_V1,24.68899917602539,2.571969553059128,2.058872302474632,0.1000000014901161
BFA_V1,11.074999809265137,1.7022702196272907,1.280696714811913,0.1000000014901161
BGD_V1,30.28499984741211,2.9788795485385187,2.560948501770303,0.1000000014901161
BGR_V1,25.767000198364254,3.418812630052132,2.3086659025245257,0.1000000014901161
BHR_V1,,,,
