name,ucode
Zimbabwe,ZWE_V1
Ashmore and Cartier Islands,AUS1_V1
Christmas Island,CXR_V1
Cocos (Keeling) Islands,CCK_V1
Heard Island and McDonald Islands,HMD_V1
Norfolk Island,NFK_V1
Faroe Islands,FRO_V1
Canary Islands,ESP1_V1
Åland Islands,ALA_V1
Bassas da India,ATF1_V1
French Guiana,GUF_V1
French Southern Territories,ATF_V1
Europa Island,ATF2_V1
Guadeloupe,GLP_V1
Juan de Nova Island,ATF3_V1
Martinique,MTQ_V1
Saint Barthélemy,BLM_V1
Mayotte,MYT_V1
Réunion,REU_V1
Saint Pierre et Miquelon,SPM_V1
Tromelin Island,xFR1_V1
Wallis and Futuna,WLF_V1
Saint Martin,MAF_V1
Glorioso Islands,xFR2_V1
Chagos Archipelagio,IOT_V1
Guernsey,GGY_V1
Isle of Man,IMN_V1
Jersey,JEY_V1
South Georgia and the South Sandwich Islands,SGS_V1
Akrotiri,xUK1_V1
Dekelia,xUK2_V1
Aruba,ABW_V1
Curaçao,CUW_V1
Saba,BES1_V1
Sint Eustatius,BES2_V1
Bonaire,BES3_V1
Sint Maarten,SXM_V1
Bouvet Island,BVT_V1
Svalbard and Jan Mayen Islands,SJM_V1
Cook Islands,COK_V1
Niue,NIU_V1
Azores Islands,PRT1_V1
Madeira Islands,PRT2_V1
Baker Island,UMI1_V1
Wake Island,UMI2_V1
Howland Island,UMI3_V1
Jarvis Island,UMI4_V1
Johnston Atoll,UMI5_V1
Kingman Reef,UMI6_V1
Midway Islands,UMI7_V1
Palmyra Atoll,UMI8_V1
Navassa Island,UMI9_V1
Northern Mariana Is. (USA),MNP_V1
Puerto Rico (USA),PRI_V1
Bird Island,VEN1_V1
