ucode,max,mean,median,min
ATA_0001_V1,,,,
AIA_0001_V1,,,,
AIA_0006_V1,,,,
AIA_0009_V1,,,,
AIA_0004_V1,,,,
AIA_0010_V1,,,,
AIA_0003_V1,,,,
AIA_0005_V1,,,,
AIA_0008_V1,,,,
AIA_0002_V1,,,,
AIA_0007_V1,,,,
ASM_0001_V1,,,,
CYM_0001_V1,,,,
CYM_0003_V1,,,,
CYM_0002_V1,,,,
ESH_0001_V1,14.484999656677246,1.4447103006579731,0.8443285700078348,0.1000000014901161
ESH_0004_V1,22.101999282836918,1.3218235887773238,0.9352965968053756,0.1000000014901161
ESH_0002_V1,11.144000053405762,1.162871686210312,0.7802882031622757,0.1000000014901161
ESH_0003_V1,21.11599922180176,2.2116549044039764,1.4382912426596783,0.1000000014901161
GUM_0001_V1,,,,
MSR_0005_V1,,,,
MSR_0006_V1,,,,
MSR_0004_V1,,,,
MSR_0007_V1,,,,
MSR_0001_V1,,,,
MSR_0002_V1,,,,
MSR_0003_V1,,,,
TCA_0002_V1,,,,
TCA_0005_V1,,,,
TCA_0003_V1,,,,
TCA_0004_V1,,,,
TCA_0006_V1,,,,
TCA_0001_V1,,,,
VGB_0002_V1,,,,
VGB_0001_V1,,,,
VGB_0003_V1,,,,
VGB_0005_V1,,,,
VGB_0004_V1,,,,
BMU_0001_V1,,,,
FLK_0001_V1,,,,
GIB_0001_V1,2.052999973297119,0.6056793085505777,0.2479999959468841,0.1030000001192092
NCL_0001_V1,,,,
PCN_0001_V1,,,,
PYF1_0001_V1,,,,
PYF_0001_V1,,,,
SHN1_0001_V1,,,,
SHN2_0001_V1,,,,
SHN3_0001_V1,,,,
SHN_0001_V1,,,,
TKL_0001_V1,,,,
VIR_0001_V1,,,,
GRL_0003_V1,168.7899932861328,4.633414311463248,1.1308537456492842,0.1000000014901161
GRL_0002_V1,155.60299682617188,4.854461173919742,1.181690903007634,0.1000000014901161
GRL_0001_V1,95.58399963378906,9.305441719200603,2.243089792831873,0.1000000014901161
xJK_0001_V1,80.06700134277344,6.350950755888027,3.2391863381915744,0.1000000014901161
xJK_0002_V1,57.823001861572266,7.034993898623852,5.8562724224459135,0.1000000014901161
EGY1_0001_V1,1.0,1.0,1.0,1.0
SDN1_0001_V1,1.569000005722046,0.9969714168068792,1.0,0.1689999997615814
SSD1_0001_V1,4.056000232696533,0.7798611035532315,1.000007326358159,0.1000000014901161
xAB_0001_V1,4.429999828338623,0.9463901213728616,0.9221254570664909,0.1000000014901161
xAC_0001_V1,43.96599960327149,1.2213146560443464,1.0182086588376351,0.1000000014901161
xAP_0001_V1,136.84300231933594,14.51898764432239,10.490851108614349,0.1000000014901161
xAP_0003_V1,7.315999984741211,6.015347905690144,6.039000034332275,3.4609999656677246
xAP_0002_V1,41.16299819946289,3.449823447304495,2.6316182396011136,0.1000000014901161
xJK_0003_V1,87.44499969482422,3.518512923493455,1.0542961876396932,0.1000000014901161
xJK_0007_V1,7.717000007629394,2.359113637935079,2.320053101121581,0.1000000014901161
xJK_0012_V1,61.44100189208984,3.289779647996923,2.3804110127720235,0.1000000014901161
xJK_0005_V1,10.899999618530272,1.9049333153467132,1.5924662086985837,0.1000000014901161
xJK_0009_V1,6.580999851226807,2.482776938607981,2.422257171358381,0.1000000014901161
xJK_0010_V1,22.15699958801269,1.5776917468563365,0.9367294993987794,0.1000000014901161
xJK_0006_V1,11.416999816894531,1.2317523998803757,0.8345252481451467,0.1000000014901161
xJK_0008_V1,103.35800170898438,13.907354582205292,9.730872971670967,0.1000000014901161
xJK_0004_V1,59.05199813842773,8.105649709521778,4.373604254740032,0.1000000014901161
xJK_0011_V1,31.584999084472656,6.512181771185703,1.436039349565941,0.1000000014901161
xJL_0001_V1,,,,
xPI_0001_V1,,,,
xRI_0001_V1,,,,
xSI_0001_V1,,,,
xSK_0001_V1,,,,
xSR_0001_V1,,,,
xxx_0001_V1,33.564998626708984,2.5870390111074646,1.8756885900329952,0.101000003516674
HKG_0001_V1,5.105999946594238,3.133287202131785,3.397703289810869,0.1000000014901161
MAC_0001_V1,10.388999938964844,5.302369918270199,5.488999843597412,0.289000004529953
TWN_0001_V1,120.4469985961914,3.6390700911316873,2.247297409348798,0.1000000014901161
AFG_0034_V1,24.792999267578125,1.9645797230650148,1.563304381279247,0.1000000014901161
AFG_0005_V1,110.49600219726562,6.72303886285709,2.2536607017767127,0.1000000014901161
AFG_0030_V1,85.02300262451172,4.1699946626335125,1.074778908209072,0.1000000014901161
AFG_0032_V1,38.07099914550781,1.949759397943866,1.088170827435348,0.1000000014901161
AFG_0031_V1,120.84700012207033,5.047700437177197,1.7386803394165535,0.1000000014901161
AFG_0012_V1,42.02899932861328,1.7749765964496271,1.0958860323224404,0.1000000014901161
AFG_0018_V1,19.30500030517578,3.4590065498074405,2.066378433960083,0.1000000014901161
AFG_0002_V1,124.04499816894533,8.29338901517106,4.243186213945659,0.1000000014901161
AFG_0003_V1,28.8700008392334,2.083752149647869,1.0132072144731572,0.1000000014901161
AFG_0016_V1,77.47599792480469,13.017919924600076,1.6903982690213537,0.1019999980926513
AFG_0013_V1,16.18199920654297,1.0328079068075746,0.6865437834521706,0.1000000014901161
AFG_0021_V1,23.48600006103516,1.267331282542794,1.022810949187441,0.1000000014901161
AFG_0014_V1,65.53700256347656,3.352099042126618,1.7381270656512835,0.1000000014901161
AFG_0026_V1,61.81399917602539,1.051847137539504,0.6203399079306174,0.1000000014901161
AFG_0023_V1,36.321998596191406,1.9450678639243768,1.371297047324142,0.1000000014901161
AFG_0008_V1,109.77899932861328,2.283480327286231,1.2372172446655627,0.1000000014901161
AFG_0029_V1,65.53700256347656,5.150726995738954,1.0998731670366426,0.1000000014901161
AFG_0010_V1,90.0790023803711,9.41447001089166,5.227713185366692,0.1000000014901161
AFG_0024_V1,19.354999542236328,1.5678848318948992,1.1848988312624256,0.1000000014901161
AFG_0028_V1,25.926000595092773,3.8776800083585337,2.058384614113049,0.1040000021457672
AFG_0007_V1,34.76499938964844,1.7882385416119428,0.8669541172195002,0.1000000014901161
AFG_0006_V1,47.16899871826172,8.253222684367149,6.620563456249721,0.1000000014901161
AFG_0001_V1,86.16400146484375,5.190892408602894,2.7526854029747554,0.1000000014901161
AFG_0017_V1,13.071000099182127,1.3706640437476612,1.0082165987385427,0.1000000014901161
AFG_0027_V1,23.91900062561035,0.8942796388674229,0.5593204839854848,0.1000000014901161
AFG_0025_V1,139.56900024414062,6.651415286723306,2.44556226803637,0.1030000001192092
AFG_0011_V1,55.04100036621094,1.9706274566865107,1.1047155755293674,0.1000000014901161
AFG_0022_V1,49.6259994506836,4.767986541694147,2.123007969077365,0.1000000014901161
AFG_0033_V1,50.27299880981445,4.211029283986225,2.62083815055279,0.1000000014901161
AFG_0004_V1,97.68800354003906,2.193392173652987,1.1915740596617248,0.1000000014901161
AFG_0019_V1,10.574000358581545,2.367121886829325,1.9058244383229923,0.1000000014901161
AFG_0020_V1,19.944000244140625,5.368910902515367,1.941630882704818,0.1000000014901161
AFG_0009_V1,51.220001220703125,1.552932900026534,0.8677852349587767,0.1000000014901161
AFG_0015_V1,26.843000411987305,1.6851841135977923,0.8090425537540447,0.1000000014901161
AGO_0004_V1,11.37399959564209,1.9456307827514183,1.5304897400503834,0.1000000014901161
AGO_0006_V1,14.439000129699709,1.3174428557226716,1.003273810254754,0.1000000014901161
AGO_0005_V1,70.22000122070312,23.36410544083757,7.248739433040648,0.1000000014901161
AGO_0009_V1,16.32699966430664,2.098038525144623,1.560611166187,0.1000000014901161
AGO_0011_V1,15.940999984741213,1.8273797888352976,1.5962119850213825,0.1000000014901161
AGO_0017_V1,46.82500076293945,4.218805521407861,2.8724390737912904,0.1000000014901161
AGO_0018_V1,70.21900177001953,30.622452100860837,28.721423574586733,0.1000000014901161
AGO_0001_V1,21.06100082397461,1.040483765585862,0.6852797222081686,0.1000000014901161
AGO_0002_V1,38.75400161743164,2.793220633742205,1.6219962351925166,0.1000000014901161
AGO_0003_V1,44.999000549316406,2.2986344447859195,1.060710524867717,0.1000000014901161
AGO_0008_V1,40.34099960327149,2.310083657047575,1.6214482860706183,0.1000000014901161
AGO_0010_V1,13.937000274658203,2.090491293042689,1.655550403046642,0.1000000014901161
AGO_0012_V1,39.76599884033203,3.213107857675056,2.373262604954585,0.1000000014901161
AGO_0007_V1,31.996000289916992,2.95611644355391,1.816850882057203,0.1000000014901161
AGO_0015_V1,12.996999740600586,1.345069003153485,1.0016473176572347,0.1000000014901161
AGO_0013_V1,16.488000869750977,2.915556631326905,2.312812201004812,0.1000000014901161
