ucode,max,mean,median,min
AFG_0009_0016_V1,0.0,0.0,0.0,0.0
AFG_0009_0014_V1,0.0,0.0,0.0,0.0
AFG_0009_0019_V1,0.0,0.0,0.0,0.0
AFG_0009_0002_V1,0.0,0.0,0.0,0.0
AFG_0009_0009_V1,0.0,0.0,0.0,0.0
AFG_0009_0001_V1,0.0,0.0,0.0,0.0
AFG_0009_0010_V1,0.0,0.0,0.0,0.0
AFG_0009_0011_V1,0.0,0.0,0.0,0.0
AFG_0009_0008_V1,0.0,0.0,0.0,0.0
AFG_0009_0006_V1,0.0,0.0,0.0,0.0
AFG_0009_0003_V1,0.0,0.0,0.0,0.0
AFG_0009_0004_V1,0.0,0.0,0.0,0.0
AFG_0009_0012_V1,0.0,0.0,0.0,0.0
AFG_0009_0017_V1,0.0,0.0,0.0,0.0
AFG_0009_0007_V1,0.0,0.0,0.0,0.0
AFG_0009_0013_V1,0.0,0.0,0.0,0.0
AFG_0009_0015_V1,0.0,0.0,0.0,0.0
AFG_0010_0006_V1,0.0,0.0,0.0,0.0
AFG_0010_0010_V1,0.0,0.0,0.0,0.0
AFG_0010_0002_V1,0.0,0.0,0.0,0.0
AFG_0010_0005_V1,0.0,0.0,0.0,0.0
AFG_0010_0009_V1,0.0,0.0,0.0,0.0
AFG_0010_0004_V1,0.0,0.0,0.0,0.0
AFG_0010_0007_V1,0.0,0.0,0.0,0.0
AFG_0010_0001_V1,0.0,0.0,0.0,0.0
AFG_0010_0003_V1,0.0,0.0,0.0,0.0
AFG_0010_0008_V1,0.0,0.0,0.0,0.0
AFG_0011_0008_V1,0.0,0.0,0.0,0.0
AFG_0011_0013_V1,0.0,0.0,0.0,0.0
AFG_0011_0002_V1,0.0,0.0,0.0,0.0
AFG_0011_0004_V1,0.0,0.0,0.0,0.0
AFG_0011_0003_V1,0.0,0.0,0.0,0.0
AFG_0011_0009_V1,0.0,0.0,0.0,0.0
AFG_0011_0010_V1,0.0,0.0,0.0,0.0
AFG_0011_0001_V1,0.0,0.0,0.0,0.0
AFG_0011_0012_V1,0.0,0.0,0.0,0.0
AFG_0011_0011_V1,0.0,0.0,0.0,0.0
AFG_0011_0005_V1,0.0,0.0,0.0,0.0
AFG_0011_0007_V1,0.0,0.0,0.0,0.0
AFG_0011_0006_V1,0.0,0.0,0.0,0.0
AFG_0012_0007_V1,0.0,0.0,0.0,0.0
AFG_0012_0011_V1,0.0,0.0,0.0,0.0
AFG_0012_0013_V1,0.0,0.0,0.0,0.0
AFG_0012_0004_V1,0.0,0.0,0.0,0.0
AFG_0012_0001_V1,0.0,0.0,0.0,0.0
AFG_0012_0008_V1,0.0,0.0,0.0,0.0
AFG_0012_0014_V1,0.0,0.0,0.0,0.0
AFG_0012_0016_V1,0.0,0.0,0.0,0.0
AFG_0012_0012_V1,0.0,0.0,0.0,0.0
AFG_0012_0005_V1,0.0,0.0,0.0,0.0
AFG_0012_0002_V1,0.0,0.0,0.0,0.0
