child_population_exposed,adm0_ucode,level,ucode,child_population_total
675.6975979694257,AFG_V1,2,AFG_0001_0023_V1,18182.232974502724
531.8075383074729,AFG_V1,2,AFG_0001_0022_V1,19778.325188253613
166.85092558498476,AFG_V1,2,AFG_0001_0015_V1,48596.53350806477
822.3393117599627,AFG_V1,2,AFG_0001_0007_V1,46150.37117536393
3525.585007831922,AFG_V1,2,AFG_0001_0019_V1,32207.383971147123
2729.266726960418,AFG_V1,2,AFG_0001_0027_V1,30789.22191760396
1362.5959004543574,AFG_V1,2,AFG_0001_0003_V1,16383.73002548656
1905.7935643044168,AFG_V1,2,AFG_0001_0017_V1,47173.63922417528
1343.3929735422134,AFG_V1,2,AFG_0001_0005_V1,19219.83348513468
582.8443193127418,AFG_V1,2,AFG_0001_0021_V1,25122.086068996643
525.8692586123943,AFG_V1,2,AFG_0001_0018_V1,15585.655813229843
1466.0292956431565,AFG_V1,2,AFG_0001_0028_V1,45178.01633493351
336.74628165820064,AFG_V1,2,AFG_0001_0010_V1,39141.464552784906
2243.376874446869,AFG_V1,2,AFG_0001_0002_V1,38683.95916365058
238.34766914834285,AFG_V1,2,AFG_0001_0006_V1,28427.00131141291
631.2740967571735,AFG_V1,2,AFG_0001_0011_V1,26025.316990616397
2814.835520252292,AFG_V1,2,AFG_0001_0020_V1,28513.75278251574
215.10390431062848,AFG_V1,2,AFG_0001_0026_V1,75447.86349158362
709.512406617403,AFG_V1,2,AFG_0001_0009_V1,10078.484910320183
267.9843999147415,AFG_V1,2,AFG_0001_0008_V1,14466.112274063453
5421.115918905536,AFG_V1,2,AFG_0001_0014_V1,81342.0197132823
489.8888111074181,AFG_V1,2,AFG_0001_0016_V1,63385.16765191151
429.3265345038444,AFG_V1,2,AFG_0001_0025_V1,17325.915394356045
935.4672093796668,AFG_V1,2,AFG_0001_0024_V1,27628.130655099663
4102.374071906711,AFG_V1,2,AFG_0001_0013_V1,27128.90820546021
1900.4483219861693,AFG_V1,2,AFG_0001_0012_V1,36612.4437570269
2.781041134105009,AFG_V1,2,AFG_0001_0001_V1,44478.23101910726
0.0,AFG_V1,2,AFG_0001_0004_V1,19990.649280338428
4850.57650526613,AFG_V1,2,AFG_0002_0002_V1,37773.03117321353
13649.615845003767,AFG_V1,2,AFG_0002_0001_V1,61671.96443922461
293.705535824071,AFG_V1,2,AFG_0002_0004_V1,46317.09834930601
2277.8154789475834,AFG_V1,2,AFG_0002_0007_V1,54860.617538946986
1183.4464573818093,AFG_V1,2,AFG_0002_0006_V1,55120.471768266085
1229.0672248899937,AFG_V1,2,AFG_0002_0005_V1,31886.533239203676
652.084682311556,AFG_V1,2,AFG_0002_0003_V1,9116.455802749566
1904.435257843838,AFG_V1,2,AFG_0003_0009_V1,26298.5627023642
1198.1985679864883,AFG_V1,2,AFG_0003_0008_V1,38496.14629950313
190.8083691596985,AFG_V1,2,AFG_0003_0006_V1,41985.651395271314
231.5984162936608,AFG_V1,2,AFG_0003_0002_V1,5612.933227902244
328.6625780720337,AFG_V1,2,AFG_0003_0013_V1,70887.56785056609
10.606330394744871,AFG_V1,2,AFG_0003_0001_V1,31233.04090681427
542.1766615957022,AFG_V1,2,AFG_0003_0007_V1,13465.506433105116
2686.1831033552685,AFG_V1,2,AFG_0003_0005_V1,88615.22709517952
